<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AUDJPY,20141231,2100,97.704,97.733,97.694,97.694,14750000
AUDJPY,20150101,2200,97.940,97.974,97.795,97.905,1285810000
AUDJPY,20150101,2300,97.906,98.107,97.868,98.056,3332260000
AUDJPY,20150102,0000,98.057,98.097,97.954,98.077,2250610000
AUDJPY,20150102,0100,98.079,98.086,97.811,97.839,6018350000
AUDJPY,20150102,0200,97.839,97.902,97.784,97.848,3131270000
AUDJPY,20150102,0300,97.848,97.876,97.798,97.828,2287870000
AUDJPY,20150102,0400,97.826,97.935,97.825,97.880,2213160000
AUDJPY,20150102,0500,97.880,98.001,97.879,97.975,1828580000
AUDJPY,20150102,0600,97.975,98.055,97.943,98.032,2429480000
AUDJPY,20150102,0700,98.032,98.087,97.919,98.026,5571850000
AUDJPY,20150102,0800,98.023,98.065,97.973,97.998,6937210000
AUDJPY,20150102,0900,98.000,98.061,97.931,98.036,8500710000
AUDJPY,20150102,1000,98.037,98.055,97.890,97.924,6862550000
AUDJPY,20150102,1100,97.923,97.950,97.783,97.819,6147120000
AUDJPY,20150102,1200,97.822,97.871,97.772,97.846,5694130000
AUDJPY,20150102,1300,97.846,97.869,97.769,97.788,6608370000
AUDJPY,20150102,1400,97.790,97.887,97.767,97.845,6301390000
AUDJPY,20150102,1500,97.846,97.859,97.459,97.657,11542070000
AUDJPY,20150102,1600,97.658,97.668,97.406,97.572,8449960000
AUDJPY,20150102,1700,97.572,97.666,97.502,97.541,4601330000
AUDJPY,20150102,1800,97.533,97.594,97.489,97.546,2321630000
AUDJPY,20150102,1900,97.545,97.665,97.533,97.640,3368220000
AUDJPY,20150102,2000,97.641,97.654,97.463,97.540,4244700000
AUDJPY,20150102,2100,97.539,97.542,97.344,97.430,3096220000
AUDJPY,20150104,2200,97.243,97.532,97.187,97.320,4519400000
AUDJPY,20150104,2300,97.321,97.358,96.971,97.126,4917920000
AUDJPY,20150105,0000,97.126,97.443,97.086,97.325,8972340000
AUDJPY,20150105,0100,97.321,97.403,97.219,97.316,7554340000
AUDJPY,20150105,0200,97.316,97.380,97.101,97.127,4325440000
AUDJPY,20150105,0300,97.130,97.218,96.973,97.163,5928390000
AUDJPY,20150105,0400,97.162,97.215,97.070,97.156,4380780000
AUDJPY,20150105,0500,97.155,97.208,96.814,96.930,5121350000
AUDJPY,20150105,0600,96.930,96.959,96.800,96.867,3759880000
AUDJPY,20150105,0700,96.867,97.129,96.839,96.872,8123600000
AUDJPY,20150105,0800,96.871,97.213,96.868,97.196,8313830000
AUDJPY,20150105,0900,97.199,97.227,97.110,97.212,7648280000
AUDJPY,20150105,1000,97.212,97.296,97.038,97.075,7366490000
AUDJPY,20150105,1100,97.075,97.130,96.897,96.955,6703920000
AUDJPY,20150105,1200,96.955,96.976,96.847,96.902,7527170000
AUDJPY,20150105,1300,96.904,96.957,96.771,96.773,8945540000
AUDJPY,20150105,1400,96.770,96.841,96.640,96.675,10455430000
AUDJPY,20150105,1500,96.675,96.847,96.538,96.831,11498460000
AUDJPY,20150105,1600,96.831,96.967,96.800,96.848,9251720000
AUDJPY,20150105,1700,96.850,96.909,96.732,96.776,5127900000
AUDJPY,20150105,1800,96.772,96.894,96.716,96.854,4037770000
AUDJPY,20150105,1900,96.855,96.875,96.701,96.702,4417390000
AUDJPY,20150105,2000,96.703,96.842,96.684,96.775,3593590000
AUDJPY,20150105,2100,96.777,96.784,96.693,96.695,2303280000
AUDJPY,20150105,2200,96.692,96.734,96.381,96.428,3945710000
AUDJPY,20150105,2300,96.432,96.768,96.431,96.694,6520420000
AUDJPY,20150106,0000,96.694,96.973,96.591,96.794,7926920000
AUDJPY,20150106,0100,96.795,96.953,96.729,96.940,6179990000
AUDJPY,20150106,0200,96.940,97.220,96.831,97.099,8699770000
AUDJPY,20150106,0300,97.099,97.125,97.009,97.041,4222070000
AUDJPY,20150106,0400,97.048,97.056,96.759,96.890,6251690000
AUDJPY,20150106,0500,96.890,96.964,96.744,96.859,6526670000
AUDJPY,20150106,0600,96.859,97.003,96.768,96.797,8194840000
AUDJPY,20150106,0700,96.797,96.873,96.731,96.828,9177430000
