<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
EURJPY,20251231,2100,184.015,184.029,184.005,184.017,85530000
EURJPY,20260101,2200,184.079,184.118,184.078,184.100,68580000
EURJPY,20260101,2300,184.099,184.272,184.025,184.160,5660210000
EURJPY,20260102,0000,184.161,184.205,184.019,184.060,4089370000
EURJPY,20260102,0100,184.058,184.244,184.036,184.215,4417090000
EURJPY,20260102,0200,184.217,184.248,184.145,184.244,2688300000
EURJPY,20260102,0300,184.245,184.367,184.226,184.363,2566810000
EURJPY,20260102,0400,184.364,184.416,184.336,184.352,3408870000
EURJPY,20260102,0500,184.355,184.427,184.326,184.389,2702610000
EURJPY,20260102,0600,184.389,184.420,184.296,184.321,4564350000
EURJPY,20260102,0700,184.321,184.365,184.008,184.073,9533400000
EURJPY,20260102,0800,184.072,184.239,183.987,183.987,10895480000
EURJPY,20260102,0900,183.991,184.074,183.890,183.922,8859170000
EURJPY,20260102,1000,183.929,183.932,183.713,183.832,7695950000
EURJPY,20260102,1100,183.832,183.955,183.797,183.935,5925510000
EURJPY,20260102,1200,183.928,184.101,183.900,183.991,5296760000
EURJPY,20260102,1300,183.986,184.001,183.837,183.916,9656490000
EURJPY,20260102,1400,183.919,183.995,183.818,183.964,12995410000
EURJPY,20260102,1500,183.965,184.037,183.821,184.001,15630830000
EURJPY,20260102,1600,184.003,184.044,183.917,183.952,13381760000
EURJPY,20260102,1700,183.953,183.971,183.870,183.901,8298700000
EURJPY,20260102,1800,183.903,183.952,183.838,183.863,6975440000
EURJPY,20260102,1900,183.863,183.901,183.838,183.883,6990210000
EURJPY,20260102,2000,183.883,183.895,183.785,183.823,8840860000
EURJPY,20260102,2100,183.823,183.864,183.765,183.767,4322830000
EURJPY,20260104,2200,183.642,183.828,183.546,183.595,3855190000
EURJPY,20260104,2300,183.595,183.781,183.495,183.769,6596250000
EURJPY,20260105,0000,183.770,184.061,183.708,183.938,10557420000
EURJPY,20260105,0100,183.937,183.944,183.690,183.711,9636540000
EURJPY,20260105,0200,183.709,183.776,183.591,183.682,7691680000
EURJPY,20260105,0300,183.683,183.732,183.464,183.572,7159900000
EURJPY,20260105,0400,183.571,183.738,183.571,183.731,5664870000
EURJPY,20260105,0500,183.733,183.737,183.580,183.672,4860200000
EURJPY,20260105,0600,183.675,183.712,183.530,183.580,7279340000
EURJPY,20260105,0700,183.578,183.602,183.445,183.459,8324370000
EURJPY,20260105,0800,183.457,183.493,183.191,183.235,13149540000
EURJPY,20260105,0900,183.235,183.342,183.139,183.327,8983230000
EURJPY,20260105,1000,183.326,183.342,183.001,183.064,9814640000
EURJPY,20260105,1100,183.066,183.067,182.897,182.957,10401900000
EURJPY,20260105,1200,182.956,182.956,182.811,182.819,8521300000
EURJPY,20260105,1300,182.821,183.115,182.819,183.082,15684380000
EURJPY,20260105,1400,183.082,183.194,182.979,183.142,14581130000
EURJPY,20260105,1500,183.140,183.323,183.025,183.266,16825460000
EURJPY,20260105,1600,183.267,183.280,183.110,183.131,12803470000
EURJPY,20260105,1700,183.131,183.181,183.078,183.130,7648200000
EURJPY,20260105,1800,183.131,183.235,183.093,183.128,6071140000
EURJPY,20260105,1900,183.126,183.231,183.039,183.217,6337750000
EURJPY,20260105,2000,183.216,183.304,183.163,183.299,5293600000
EURJPY,20260105,2100,183.298,183.365,183.280,183.303,2885520000
EURJPY,20260105,2200,183.145,183.405,183.145,183.402,1615340000
EURJPY,20260105,2300,183.402,183.497,183.391,183.464,3437940000
EURJPY,20260106,0000,183.465,183.646,183.380,183.411,8863420000
EURJPY,20260106,0100,183.403,183.546,183.398,183.445,8130520000
EURJPY,20260106,0200,183.443,183.477,183.359,183.463,6368740000
EURJPY,20260106,0300,183.461,183.561,183.436,183.479,5099730000
EURJPY,20260106,0400,183.480,183.530,183.335,183.491,5495890000
EURJPY,20260106,0500,183.490,183.517,183.429,183.472,5677440000
EURJPY,20260106,0600,183.471,183.610,183.468,183.516,6730510000
EURJPY,20260106,0700,183.518,183.527,183.328,183.361,8894630000
EURJPY,20260106,0800,183.363,183.434,183.240,183.335,11174510000
EURJPY,20260106,0900,183.335,183.347,183.053,183.168,11053910000
EURJPY,20260106,1000,183.166,183.261,183.052,183.239,7905410000
EURJPY,20260106,1100,183.239,183.259,183.125,183.141,7414450000
EURJPY,20260106,1200,183.137,183.137,183.011,183.115,10466970000
EURJPY,20260106,1300,183.114,183.180,183.065,183.122,15522670000
EURJPY,20260106,1400,183.122,183.182,183.039,183.136,13978400000
EURJPY,20260106,1500,183.135,183.203,183.010,183.120,16542310000
EURJPY,20260106,1600,183.120,183.198,183.107,183.157,11015290000
EURJPY,20260106,1700,183.154,183.348,183.149,183.336,7900540000
EURJPY,20260106,1800,183.335,183.384,183.181,183.198,6393030000
EURJPY,20260106,1900,183.198,183.202,183.075,183.094,8595600000
EURJPY,20260106,2000,183.091,183.098,183.033,183.074,6225160000
EURJPY,20260106,2100,183.074,183.124,183.055,183.058,2931740000
EURJPY,20260106,2200,183.059,183.069,182.956,183.045,1121110000
EURJPY,20260106,2300,183.045,183.165,183.045,183.097,2013320000
EURJPY,20260107,0000,183.098,183.242,183.034,183.131,9481120000
EURJPY,20260107,0100,183.131,183.357,183.052,183.289,8460460000
EURJPY,20260107,0200,183.287,183.371,183.210,183.215,3748770000
EURJPY,20260107,0300,183.215,183.240,183.098,183.151,4154070000
EURJPY,20260107,0400,183.154,183.205,183.004,183.011,5476070000
EURJPY,20260107,0500,183.010,183.010,182.850,182.861,4483140000
EURJPY,20260107,0600,182.860,182.933,182.778,182.880,7275680000
EURJPY,20260107,0700,182.878,182.902,182.707,182.816,8855170000
EURJPY,20260107,0800,182.816,182.933,182.711,182.909,10414940000
EURJPY,20260107,0900,182.911,182.958,182.764,182.809,7213890000
EURJPY,20260107,1000,182.808,182.984,182.798,182.955,6843210000
EURJPY,20260107,1100,182.955,183.037,182.929,182.952,4785660000
EURJPY,20260107,1200,182.950,182.953,182.829,182.924,6641410000
EURJPY,20260107,1300,182.923,182.940,182.756,182.872,9817150000
EURJPY,20260107,1400,182.878,183.036,182.848,182.953,10438020000
EURJPY,20260107,1500,182.988,183.177,182.897,183.162,20410810000
EURJPY,20260107,1600,183.160,183.231,183.100,183.205,9489630000
EURJPY,20260107,1700,183.210,183.210,183.022,183.053,6255300000
EURJPY,20260107,1800,183.050,183.149,183.037,183.069,4298080000
EURJPY,20260107,1900,183.067,183.131,183.023,183.107,4262910000
EURJPY,20260107,2000,183.106,183.152,183.094,183.101,3570550000
EURJPY,20260107,2100,183.101,183.101,182.986,182.986,2729470000
EURJPY,20260107,2200,182.976,183.046,182.910,182.974,1385360000
EURJPY,20260107,2300,182.974,183.037,182.928,182.983,3365870000
EURJPY,20260108,0000,182.985,183.108,182.954,183.066,6210860000
EURJPY,20260108,0100,183.065,183.220,183.013,183.200,5884140000
EURJPY,20260108,0200,183.199,183.245,183.154,183.196,4259990000
EURJPY,20260108,0300,183.194,183.198,182.986,183.053,5595510000
EURJPY,20260108,0400,183.052,183.063,182.973,183.028,3476760000
EURJPY,20260108,0500,183.030,183.091,182.961,183.036,5057060000
EURJPY,20260108,0600,183.038,183.038,182.776,182.915,7510020000
EURJPY,20260108,0700,182.915,183.020,182.726,182.729,8660840000
EURJPY,20260108,0800,182.725,182.914,182.713,182.901,9515120000
EURJPY,20260108,0900,182.900,183.035,182.839,183.031,7595490000
EURJPY,20260108,1000,183.030,183.109,182.973,183.008,6155980000
EURJPY,20260108,1100,183.005,183.084,182.978,183.066,4024040000
EURJPY,20260108,1200,183.069,183.073,182.905,182.953,4703020000
EURJPY,20260108,1300,182.953,183.069,182.917,183.069,10791860000
EURJPY,20260108,1400,183.074,183.158,183.012,183.108,13514020000
EURJPY,20260108,1500,183.107,183.249,182.998,183.012,12711460000
EURJPY,20260108,1600,183.013,183.026,182.844,182.870,11114520000
EURJPY,20260108,1700,182.867,182.870,182.632,182.701,7681060000
EURJPY,20260108,1800,182.699,182.770,182.683,182.711,4769010000
EURJPY,20260108,1900,182.712,182.886,182.677,182.872,4369590000
EURJPY,20260108,2000,182.870,182.938,182.863,182.876,4481840000
EURJPY,20260108,2100,182.874,182.932,182.845,182.888,5010500000
EURJPY,20260108,2200,182.888,182.888,182.704,182.845,2305520000
EURJPY,20260108,2300,182.845,182.954,182.840,182.883,1816920000
EURJPY,20260109,0000,182.886,183.049,182.881,182.975,5780680000
EURJPY,20260109,0100,182.976,183.121,182.960,183.088,6859420000
EURJPY,20260109,0200,183.086,183.227,183.070,183.192,7012980000
EURJPY,20260109,0300,183.191,183.290,183.180,183.286,3388040000
EURJPY,20260109,0400,183.289,183.321,183.213,183.228,3725270000
EURJPY,20260109,0500,183.226,183.380,183.226,183.365,4528230000
EURJPY,20260109,0600,183.366,183.425,183.339,183.360,5765940000
EURJPY,20260109,0700,183.360,183.511,183.327,183.482,7559070000
EURJPY,20260109,0800,183.483,183.653,183.444,183.646,9683120000
EURJPY,20260109,0900,183.649,183.673,183.550,183.614,8037720000
EURJPY,20260109,1000,183.615,183.653,183.512,183.618,5036980000
EURJPY,20260109,1100,183.620,183.620,183.508,183.523,4235740000
EURJPY,20260109,1200,183.522,183.605,183.458,183.532,5906820000
EURJPY,20260109,1300,183.531,183.571,183.349,183.405,18316060000
EURJPY,20260109,1400,183.406,183.912,183.364,183.773,24974400000
EURJPY,20260109,1500,183.766,183.897,183.676,183.776,22165460000
EURJPY,20260109,1600,183.776,183.952,183.752,183.901,12405630000
EURJPY,20260109,1700,183.901,183.901,183.736,183.848,9176760000
EURJPY,20260109,1800,183.849,183.871,183.700,183.727,5762060000
EURJPY,20260109,1900,183.726,183.747,183.687,183.703,5490160000
EURJPY,20260109,2000,183.702,183.743,183.670,183.697,3889800000
EURJPY,20260109,2100,183.697,183.746,183.654,183.701,3710380000
EURJPY,20260111,2200,183.795,183.877,183.716,183.797,1259480000
EURJPY,20260111,2300,183.798,183.889,183.754,183.814,3146940000
EURJPY,20260112,0000,183.813,183.930,183.747,183.805,15008720000
EURJPY,20260112,0100,183.804,183.951,183.774,183.870,11393900000
EURJPY,20260112,0200,183.868,184.221,183.860,184.202,6952860000
EURJPY,20260112,0300,184.201,184.311,184.145,184.291,4813610000
EURJPY,20260112,0400,184.291,184.366,184.281,184.296,3340330000
EURJPY,20260112,0500,184.296,184.453,184.260,184.376,4520160000
EURJPY,20260112,0600,184.374,184.430,184.313,184.398,5878600000
EURJPY,20260112,0700,184.395,184.484,184.287,184.440,9704290000
EURJPY,20260112,0800,184.438,184.438,184.209,184.410,10445560000
EURJPY,20260112,0900,184.408,184.552,184.357,184.446,7519850000
EURJPY,20260112,1000,184.445,184.505,184.414,184.454,5877640000
EURJPY,20260112,1100,184.455,184.526,184.332,184.396,6622330000
EURJPY,20260112,1200,184.400,184.486,184.385,184.395,6006720000
EURJPY,20260112,1300,184.397,184.561,184.373,184.560,9492760000
EURJPY,20260112,1400,184.560,184.561,184.416,184.424,14354390000
EURJPY,20260112,1500,184.427,184.541,184.341,184.527,10687200000
EURJPY,20260112,1600,184.531,184.665,184.474,184.591,7502220000
EURJPY,20260112,1700,184.593,184.603,184.444,184.460,6032930000
EURJPY,20260112,1800,184.461,184.542,184.409,184.518,5656150000
EURJPY,20260112,1900,184.519,184.594,184.517,184.578,3291840000
EURJPY,20260112,2000,184.580,184.581,184.507,184.524,4668050000
EURJPY,20260112,2100,184.524,184.537,184.490,184.517,2616190000
EURJPY,20260112,2200,184.467,184.495,184.319,184.412,3478000000
EURJPY,20260112,2300,184.412,184.532,184.255,184.316,6224860000
EURJPY,20260113,0000,184.315,184.590,184.295,184.470,7660510000
EURJPY,20260113,0100,184.469,184.785,184.466,184.767,6789810000
EURJPY,20260113,0200,184.767,185.018,184.610,184.995,6892570000
EURJPY,20260113,0300,184.995,185.166,184.979,185.151,4953580000
EURJPY,20260113,0400,185.152,185.286,185.007,185.155,8713250000
EURJPY,20260113,0500,185.153,185.246,185.139,185.187,5149310000
EURJPY,20260113,0600,185.187,185.281,185.068,185.093,6684700000
EURJPY,20260113,0700,185.092,185.397,185.089,185.392,8923510000
EURJPY,20260113,0800,185.389,185.537,185.308,185.461,10561600000
EURJPY,20260113,0900,185.463,185.498,185.345,185.452,8445780000
EURJPY,20260113,1000,185.452,185.528,185.254,185.265,6481940000
EURJPY,20260113,1100,185.264,185.440,185.264,185.360,5608420000
EURJPY,20260113,1200,185.358,185.390,185.173,185.189,6583050000
EURJPY,20260113,1300,185.187,185.392,185.069,185.385,19018570000
EURJPY,20260113,1400,185.390,185.453,185.305,185.348,14933880000
EURJPY,20260113,1500,185.353,185.389,185.119,185.179,16114910000
EURJPY,20260113,1600,185.180,185.321,185.154,185.244,12317880000
EURJPY,20260113,1700,185.246,185.291,185.153,185.200,5868200000
EURJPY,20260113,1800,185.199,185.355,185.157,185.333,5295220000
EURJPY,20260113,1900,185.333,185.378,185.291,185.353,4095670000
EURJPY,20260113,2000,185.352,185.378,185.289,185.296,3988970000
EURJPY,20260113,2100,185.296,185.341,185.275,185.276,2428630000
EURJPY,20260113,2200,185.241,185.317,185.114,185.257,2329560000
EURJPY,20260113,2300,185.257,185.378,185.253,185.336,2882820000
EURJPY,20260114,0000,185.338,185.396,185.197,185.346,7988030000
EURJPY,20260114,0100,185.348,185.567,185.348,185.437,6474440000
EURJPY,20260114,0200,185.439,185.485,185.328,185.373,5601060000
EURJPY,20260114,0300,185.371,185.405,185.268,185.373,4592850000
EURJPY,20260114,0400,185.375,185.427,185.343,185.373,3949910000
EURJPY,20260114,0500,185.375,185.504,185.345,185.496,3897030000
EURJPY,20260114,0600,185.495,185.569,185.364,185.385,6065500000
EURJPY,20260114,0700,185.389,185.444,185.303,185.376,6293560000
EURJPY,20260114,0800,185.374,185.392,184.982,185.109,15673420000
EURJPY,20260114,0900,185.108,185.133,184.827,184.985,10154160000
EURJPY,20260114,1000,184.984,185.019,184.821,184.948,9804720000
EURJPY,20260114,1100,184.946,184.978,184.696,184.848,8421900000
EURJPY,20260114,1200,184.849,184.873,184.312,184.872,15004670000
EURJPY,20260114,1300,184.876,184.878,184.681,184.762,12242960000
EURJPY,20260114,1400,184.762,184.841,184.391,184.404,20302370000
EURJPY,20260114,1500,184.398,184.614,184.315,184.369,17592610000
EURJPY,20260114,1600,184.370,184.490,184.290,184.300,9797070000
EURJPY,20260114,1700,184.299,184.419,184.285,184.369,7061690000
EURJPY,20260114,1800,184.372,184.464,184.297,184.418,6747910000
EURJPY,20260114,1900,184.420,184.459,184.352,184.435,6172360000
EURJPY,20260114,2000,184.440,184.646,184.425,184.646,8542490000
EURJPY,20260114,2100,184.646,184.678,184.498,184.505,3673400000
EURJPY,20260114,2200,184.455,184.479,184.244,184.271,1774250000
EURJPY,20260114,2300,184.270,184.506,184.261,184.478,3185580000
EURJPY,20260115,0000,184.479,184.611,184.308,184.350,7940090000
EURJPY,20260115,0100,184.350,184.388,184.174,184.299,11149250000
EURJPY,20260115,0200,184.301,184.532,184.269,184.518,5137650000
EURJPY,20260115,0300,184.518,184.616,184.476,184.490,5028590000
EURJPY,20260115,0400,184.492,184.583,184.417,184.514,3651480000
EURJPY,20260115,0500,184.512,184.533,184.305,184.337,5483380000
EURJPY,20260115,0600,184.335,184.525,184.321,184.512,7532910000
EURJPY,20260115,0700,184.513,184.592,184.256,184.408,9722870000
EURJPY,20260115,0800,184.406,184.632,184.375,184.565,8943890000
EURJPY,20260115,0900,184.566,184.591,184.190,184.303,10425770000
EURJPY,20260115,1000,184.303,184.431,184.224,184.382,6234400000
EURJPY,20260115,1100,184.385,184.436,184.355,184.423,4906930000
EURJPY,20260115,1200,184.425,184.481,184.288,184.332,6894650000
EURJPY,20260115,1300,184.333,184.355,184.187,184.259,16012520000
