<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GBPJPY,20251231,2100,211.077,211.089,211.052,211.056,78900000
GBPJPY,20260101,2200,210.689,211.068,210.574,211.068,1266240000
GBPJPY,20260101,2300,211.067,211.347,211.018,211.161,4726510000
GBPJPY,20260102,0000,211.162,211.221,211.029,211.069,3367200000
GBPJPY,20260102,0100,211.068,211.272,211.014,211.257,4023380000
GBPJPY,20260102,0200,211.258,211.341,211.198,211.330,2081440000
GBPJPY,20260102,0300,211.332,211.376,211.299,211.355,1960660000
GBPJPY,20260102,0400,211.356,211.431,211.345,211.369,2412540000
GBPJPY,20260102,0500,211.371,211.435,211.311,211.375,2240650000
GBPJPY,20260102,0600,211.374,211.438,211.269,211.380,3288030000
GBPJPY,20260102,0700,211.374,211.417,211.068,211.195,5454290000
GBPJPY,20260102,0800,211.192,211.391,211.033,211.056,8277790000
GBPJPY,20260102,0900,211.058,211.154,210.975,211.125,7058450000
GBPJPY,20260102,1000,211.126,211.158,210.876,210.946,5928830000
GBPJPY,20260102,1100,210.943,210.970,210.747,210.905,4945550000
GBPJPY,20260102,1200,210.904,211.059,210.876,211.013,5074180000
GBPJPY,20260102,1300,211.006,211.202,210.914,211.149,7675200000
GBPJPY,20260102,1400,211.149,211.221,211.022,211.189,11228450000
GBPJPY,20260102,1500,211.192,211.437,211.028,211.341,15113470000
GBPJPY,20260102,1600,211.342,211.405,211.208,211.227,8419130000
GBPJPY,20260102,1700,211.226,211.252,211.032,211.055,5377050000
GBPJPY,20260102,1800,211.051,211.146,210.997,211.036,5246710000
GBPJPY,20260102,1900,211.036,211.120,211.001,211.041,5050560000
GBPJPY,20260102,2000,211.041,211.105,211.023,211.098,4153540000
GBPJPY,20260102,2100,211.098,211.174,211.000,211.019,3691270000
GBPJPY,20260104,2200,210.638,210.967,210.638,210.750,2343870000
GBPJPY,20260104,2300,210.740,211.013,210.740,210.967,4211150000
GBPJPY,20260105,0000,210.965,211.335,210.909,211.251,8438980000
GBPJPY,20260105,0100,211.252,211.277,211.003,211.026,8541070000
GBPJPY,20260105,0200,211.025,211.114,210.915,211.062,6306760000
GBPJPY,20260105,0300,211.063,211.170,210.860,210.937,6570850000
GBPJPY,20260105,0400,210.936,211.167,210.935,211.154,4109700000
GBPJPY,20260105,0500,211.153,211.163,210.995,211.058,4575040000
GBPJPY,20260105,0600,211.061,211.124,210.916,210.978,7501250000
GBPJPY,20260105,0700,210.973,210.978,210.708,210.718,7721830000
GBPJPY,20260105,0800,210.717,210.762,210.517,210.557,11679160000
GBPJPY,20260105,0900,210.555,210.964,210.510,210.948,7608090000
GBPJPY,20260105,1000,210.945,210.991,210.765,210.832,9524050000
GBPJPY,20260105,1100,210.834,210.941,210.707,210.802,7558570000
GBPJPY,20260105,1200,210.801,210.923,210.715,210.776,6636360000
GBPJPY,20260105,1300,210.778,211.014,210.704,210.970,12686370000
GBPJPY,20260105,1400,210.972,211.223,210.882,211.151,14242090000
GBPJPY,20260105,1500,211.141,211.510,211.062,211.420,16227810000
GBPJPY,20260105,1600,211.418,211.496,211.323,211.427,9826940000
GBPJPY,20260105,1700,211.431,211.588,211.403,211.548,7145830000
GBPJPY,20260105,1800,211.549,211.584,211.428,211.463,4900550000
GBPJPY,20260105,1900,211.462,211.599,211.337,211.581,5888800000
GBPJPY,20260105,2000,211.580,211.741,211.537,211.724,4254440000
GBPJPY,20260105,2100,211.724,211.835,211.698,211.698,2201730000
GBPJPY,20260105,2200,211.587,211.933,211.587,211.915,1415960000
GBPJPY,20260105,2300,211.915,211.989,211.843,211.930,4365330000
GBPJPY,20260106,0000,211.928,212.145,211.841,211.879,7826550000
GBPJPY,20260106,0100,211.878,212.078,211.864,211.922,7084880000
GBPJPY,20260106,0200,211.922,211.962,211.807,211.899,7667080000
GBPJPY,20260106,0300,211.897,212.033,211.859,212.003,4312310000
GBPJPY,20260106,0400,212.005,212.047,211.860,211.986,3982240000
GBPJPY,20260106,0500,211.987,211.992,211.849,211.951,5181440000
GBPJPY,20260106,0600,211.948,212.081,211.930,211.952,7829020000
GBPJPY,20260106,0700,211.959,212.009,211.775,211.839,7181910000
GBPJPY,20260106,0800,211.831,211.977,211.775,211.868,9730570000
GBPJPY,20260106,0900,211.870,211.894,211.666,211.668,10387080000
GBPJPY,20260106,1000,211.666,211.774,211.531,211.712,7029010000
GBPJPY,20260106,1100,211.711,211.759,211.479,211.524,6004510000
GBPJPY,20260106,1200,211.522,211.532,211.370,211.450,9046150000
GBPJPY,20260106,1300,211.444,211.497,211.306,211.466,12490610000
GBPJPY,20260106,1400,211.465,211.635,211.414,211.541,11484970000
GBPJPY,20260106,1500,211.540,211.621,211.375,211.490,13707130000
GBPJPY,20260106,1600,211.490,211.550,211.418,211.462,8817620000
GBPJPY,20260106,1700,211.464,211.722,211.447,211.689,7268020000
GBPJPY,20260106,1800,211.689,211.740,211.560,211.565,4667580000
GBPJPY,20260106,1900,211.567,211.575,211.423,211.452,4606710000
GBPJPY,20260106,2000,211.451,211.485,211.390,211.449,4210700000
GBPJPY,20260106,2100,211.448,211.544,211.426,211.426,2187900000
GBPJPY,20260106,2200,211.418,211.479,211.263,211.445,1274350000
GBPJPY,20260106,2300,211.425,211.562,211.425,211.488,1569140000
GBPJPY,20260107,0000,211.487,211.674,211.387,211.490,8148710000
GBPJPY,20260107,0100,211.488,211.720,211.406,211.655,9144010000
GBPJPY,20260107,0200,211.656,211.753,211.615,211.623,5325350000
GBPJPY,20260107,0300,211.621,211.655,211.523,211.579,3851530000
GBPJPY,20260107,0400,211.575,211.579,211.379,211.401,5331110000
GBPJPY,20260107,0500,211.400,211.404,211.194,211.248,5283110000
GBPJPY,20260107,0600,211.247,211.354,211.124,211.268,6498550000
GBPJPY,20260107,0700,211.263,211.308,211.052,211.132,9006750000
GBPJPY,20260107,0800,211.129,211.312,211.021,211.248,8850020000
GBPJPY,20260107,0900,211.249,211.305,211.064,211.135,7101990000
GBPJPY,20260107,1000,211.136,211.303,211.119,211.275,6428160000
GBPJPY,20260107,1100,211.273,211.420,211.259,211.293,5157620000
GBPJPY,20260107,1200,211.291,211.293,211.111,211.154,6688850000
GBPJPY,20260107,1300,211.150,211.169,210.973,211.076,9948440000
GBPJPY,20260107,1400,211.081,211.249,210.977,211.155,10003230000
GBPJPY,20260107,1500,211.142,211.345,211.071,211.212,17308830000
GBPJPY,20260107,1600,211.211,211.283,211.071,211.143,9023330000
GBPJPY,20260107,1700,211.137,211.143,210.931,211.012,6600050000
GBPJPY,20260107,1800,211.012,211.083,210.953,211.051,4712590000
GBPJPY,20260107,1900,211.049,211.074,210.963,211.037,4639280000
GBPJPY,20260107,2000,211.038,211.096,211.024,211.053,4238340000
GBPJPY,20260107,2100,211.051,211.077,210.919,210.926,2007030000
GBPJPY,20260107,2200,210.909,210.975,210.850,210.867,1135160000
GBPJPY,20260107,2300,210.880,210.948,210.816,210.882,2058470000
GBPJPY,20260108,0000,210.881,211.020,210.855,211.001,5890060000
GBPJPY,20260108,0100,211.000,211.156,210.925,211.134,5238280000
GBPJPY,20260108,0200,211.135,211.141,211.033,211.041,5532900000
GBPJPY,20260108,0300,211.039,211.046,210.863,210.991,4940910000
GBPJPY,20260108,0400,210.988,210.997,210.859,210.907,3971120000
GBPJPY,20260108,0500,210.911,210.911,210.777,210.847,5597490000
GBPJPY,20260108,0600,210.846,210.847,210.567,210.744,8620960000
GBPJPY,20260108,0700,210.743,210.809,210.372,210.372,8495930000
GBPJPY,20260108,0800,210.373,210.622,210.304,210.585,9678920000
GBPJPY,20260108,0900,210.582,210.647,210.527,210.633,6917070000
GBPJPY,20260108,1000,210.635,210.738,210.606,210.685,6699360000
GBPJPY,20260108,1100,210.684,210.825,210.673,210.753,7507780000
GBPJPY,20260108,1200,210.751,210.807,210.585,210.606,4674170000
GBPJPY,20260108,1300,210.610,210.702,210.506,210.689,9445130000
GBPJPY,20260108,1400,210.694,210.946,210.650,210.894,13579050000
GBPJPY,20260108,1500,210.893,211.047,210.786,210.840,11780770000
GBPJPY,20260108,1600,210.838,210.885,210.711,210.714,8785940000
GBPJPY,20260108,1700,210.708,210.722,210.561,210.687,4616400000
GBPJPY,20260108,1800,210.683,210.709,210.561,210.589,4447950000
GBPJPY,20260108,1900,210.588,210.828,210.547,210.813,3552380000
GBPJPY,20260108,2000,210.814,210.932,210.798,210.882,3932210000
GBPJPY,20260108,2100,210.885,210.943,210.772,210.772,4089240000
GBPJPY,20260108,2200,210.424,210.817,210.344,210.696,2157180000
GBPJPY,20260108,2300,210.696,210.855,210.676,210.764,1457550000
GBPJPY,20260109,0000,210.761,210.961,210.758,210.890,6060050000
GBPJPY,20260109,0100,210.890,211.041,210.873,211.033,5579970000
GBPJPY,20260109,0200,211.031,211.191,211.010,211.130,6254500000
GBPJPY,20260109,0300,211.129,211.274,211.108,211.268,3427960000
GBPJPY,20260109,0400,211.270,211.303,211.203,211.219,4923900000
GBPJPY,20260109,0500,211.220,211.380,211.220,211.354,4367760000
GBPJPY,20260109,0600,211.353,211.405,211.288,211.348,5935050000
GBPJPY,20260109,0700,211.359,211.506,211.247,211.478,6782010000
GBPJPY,20260109,0800,211.477,211.604,211.372,211.474,9362810000
GBPJPY,20260109,0900,211.475,211.537,211.397,211.488,6273570000
GBPJPY,20260109,1000,211.489,211.532,211.309,211.387,4486120000
GBPJPY,20260109,1100,211.382,211.418,211.293,211.353,4644310000
GBPJPY,20260109,1200,211.357,211.558,211.303,211.554,7055060000
GBPJPY,20260109,1300,211.551,211.739,211.376,211.585,21003740000
GBPJPY,20260109,1400,211.585,212.000,211.489,211.801,26881840000
GBPJPY,20260109,1500,211.798,212.031,211.717,211.821,21589840000
GBPJPY,20260109,1600,211.823,212.057,211.798,211.980,12290410000
GBPJPY,20260109,1700,211.984,211.984,211.730,211.831,8056090000
GBPJPY,20260109,1800,211.837,211.847,211.655,211.693,5434130000
GBPJPY,20260109,1900,211.692,211.704,211.627,211.667,6057680000
GBPJPY,20260109,2000,211.666,211.726,211.629,211.665,3482570000
