<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CHFJPY,20151231,2100,119.820,119.820,119.820,119.820,5830000
CHFJPY,20160103,2200,120.043,120.343,120.043,120.272,1212340000
CHFJPY,20160103,2300,120.274,120.371,120.203,120.340,2907390000
CHFJPY,20160104,0000,120.340,120.372,120.185,120.240,2969340000
CHFJPY,20160104,0100,120.237,120.251,119.958,119.979,5151790000
CHFJPY,20160104,0200,119.976,119.981,119.684,119.920,6093350000
CHFJPY,20160104,0300,119.919,119.920,119.758,119.801,3030910000
CHFJPY,20160104,0400,119.799,119.848,119.649,119.765,4410520000
CHFJPY,20160104,0500,119.767,120.059,119.728,120.018,5459730000
CHFJPY,20160104,0600,120.020,120.034,119.805,119.820,3558580000
CHFJPY,20160104,0700,119.821,119.840,119.479,119.551,6645550000
CHFJPY,20160104,0800,119.556,119.774,119.437,119.625,9812830000
CHFJPY,20160104,0900,119.628,119.673,119.425,119.600,6211300000
CHFJPY,20160104,1000,119.599,119.676,119.164,119.167,6734640000
CHFJPY,20160104,1100,119.172,119.193,118.957,119.025,6124310000
CHFJPY,20160104,1200,119.025,119.277,119.020,119.215,5444730000
CHFJPY,20160104,1300,119.216,119.235,118.961,118.998,7275160000
CHFJPY,20160104,1400,118.999,119.053,118.694,118.710,7961530000
CHFJPY,20160104,1500,118.713,118.831,118.602,118.684,9404020000
CHFJPY,20160104,1600,118.679,118.856,118.568,118.794,8417170000
CHFJPY,20160104,1700,118.794,119.085,118.774,118.998,4058930000
CHFJPY,20160104,1800,119.003,119.115,118.938,119.038,3611480000
CHFJPY,20160104,1900,119.040,119.099,118.949,119.024,3395680000
CHFJPY,20160104,2000,119.025,119.161,118.981,119.107,3408090000
CHFJPY,20160104,2100,119.109,119.207,119.107,119.142,1322320000
CHFJPY,20160104,2200,119.143,119.191,118.993,119.005,2306970000
CHFJPY,20160104,2300,119.007,119.151,118.975,119.141,2464440000
CHFJPY,20160105,0000,119.148,119.170,118.958,119.001,3675140000
CHFJPY,20160105,0100,119.001,119.269,118.892,119.252,5732250000
CHFJPY,20160105,0200,119.258,119.368,119.167,119.367,3787890000
CHFJPY,20160105,0300,119.367,119.437,119.280,119.303,3069450000
CHFJPY,20160105,0400,119.305,119.373,119.202,119.344,2838090000
CHFJPY,20160105,0500,119.343,119.363,119.222,119.284,3856170000
CHFJPY,20160105,0600,119.284,119.316,119.174,119.204,3268710000
CHFJPY,20160105,0700,119.204,119.260,118.933,118.967,5677580000
CHFJPY,20160105,0800,118.967,118.987,118.474,118.529,8917680000
CHFJPY,20160105,0900,118.529,118.603,118.201,118.222,7713600000
CHFJPY,20160105,1000,118.222,118.308,118.001,118.222,8565110000
CHFJPY,20160105,1100,118.221,118.233,117.743,117.797,6629490000
CHFJPY,20160105,1200,117.798,117.897,117.597,117.861,8112080000
CHFJPY,20160105,1300,117.861,118.089,117.813,117.977,8044040000
CHFJPY,20160105,1400,117.976,118.093,117.848,117.969,9067590000
CHFJPY,20160105,1500,117.968,117.972,117.605,117.799,10153140000
CHFJPY,20160105,1600,117.795,117.935,117.715,117.806,7253810000
CHFJPY,20160105,1700,117.805,117.935,117.638,117.929,4374750000
CHFJPY,20160105,1800,117.929,117.938,117.782,117.800,3413630000
CHFJPY,20160105,1900,117.800,117.976,117.799,117.966,3415350000
CHFJPY,20160105,2000,117.966,118.032,117.918,117.985,3691730000
CHFJPY,20160105,2100,117.985,118.058,117.963,118.023,1555300000
CHFJPY,20160105,2200,118.007,118.131,117.966,118.091,2563290000
CHFJPY,20160105,2300,118.090,118.196,118.074,118.077,3400810000
CHFJPY,20160106,0000,118.076,118.120,117.949,117.983,3967170000
CHFJPY,20160106,0100,117.988,118.003,117.462,117.602,10569470000
CHFJPY,20160106,0200,117.597,117.715,117.477,117.574,7870810000
CHFJPY,20160106,0300,117.573,117.609,117.420,117.544,6028120000
CHFJPY,20160106,0400,117.547,117.754,117.544,117.637,4226840000
CHFJPY,20160106,0500,117.637,117.660,117.517,117.601,4625560000
CHFJPY,20160106,0600,117.605,117.703,117.435,117.520,3652290000
CHFJPY,20160106,0700,117.516,117.650,117.381,117.646,6014760000
CHFJPY,20160106,0800,117.646,117.682,117.342,117.443,8782170000
CHFJPY,20160106,0900,117.444,117.451,117.180,117.327,7465390000
CHFJPY,20160106,1000,117.327,117.416,117.201,117.295,6102810000
CHFJPY,20160106,1100,117.295,117.397,117.176,117.365,8195490000
CHFJPY,20160106,1200,117.364,117.481,117.247,117.266,6465080000
CHFJPY,20160106,1300,117.264,117.570,117.089,117.506,10352220000
CHFJPY,20160106,1400,117.502,117.655,117.311,117.491,10286880000
CHFJPY,20160106,1500,117.492,117.658,117.408,117.596,11847970000
CHFJPY,20160106,1600,117.591,117.657,117.458,117.536,7304580000
CHFJPY,20160106,1700,117.535,117.552,117.421,117.421,3892680000
CHFJPY,20160106,1800,117.421,117.521,117.389,117.442,4053360000
CHFJPY,20160106,1900,117.440,117.713,117.428,117.597,10619200000
CHFJPY,20160106,2000,117.593,117.731,117.570,117.652,4515920000
CHFJPY,20160106,2100,117.649,117.717,117.553,117.562,1906280000
CHFJPY,20160106,2200,117.553,117.625,117.522,117.549,1485010000
CHFJPY,20160106,2300,117.555,117.773,117.509,117.729,2632190000
CHFJPY,20160107,0000,117.730,117.821,117.710,117.762,4119360000
CHFJPY,20160107,0100,117.764,117.872,117.059,117.255,12690630000
CHFJPY,20160107,0200,117.261,117.606,117.216,117.564,8622160000
CHFJPY,20160107,0300,117.567,117.897,117.522,117.822,5538360000
CHFJPY,20160107,0400,117.823,117.839,117.633,117.664,4141340000
CHFJPY,20160107,0500,117.661,117.791,117.639,117.774,3337320000
CHFJPY,20160107,0600,117.775,117.777,117.541,117.637,5284650000
CHFJPY,20160107,0700,117.632,117.712,117.288,117.297,8774970000
CHFJPY,20160107,0800,117.299,117.369,116.796,116.946,11864510000
CHFJPY,20160107,0900,116.947,117.369,116.887,117.232,12919430000
CHFJPY,20160107,1000,117.232,117.515,117.208,117.367,9667210000
CHFJPY,20160107,1100,117.367,117.672,117.351,117.468,8525810000
CHFJPY,20160107,1200,117.470,117.562,117.314,117.483,7051730000
CHFJPY,20160107,1300,117.482,117.720,117.427,117.713,8240430000
CHFJPY,20160107,1400,117.711,117.886,117.658,117.772,12004960000
CHFJPY,20160107,1500,117.772,117.905,117.662,117.662,12004990000
CHFJPY,20160107,1600,117.662,117.861,117.609,117.777,9873270000
CHFJPY,20160107,1700,117.779,117.892,117.702,117.835,5777610000
CHFJPY,20160107,1800,117.835,118.141,117.771,118.050,8274480000
CHFJPY,20160107,1900,118.050,118.357,118.003,118.289,7138910000
CHFJPY,20160107,2000,118.289,118.474,118.252,118.420,6858320000
CHFJPY,20160107,2100,118.420,118.481,118.378,118.459,2040550000
CHFJPY,20160107,2200,118.422,118.453,118.263,118.302,2955000000
CHFJPY,20160107,2300,118.308,118.400,118.197,118.237,3123490000
CHFJPY,20160108,0000,118.239,118.496,118.215,118.483,5924980000
CHFJPY,20160108,0100,118.480,118.931,118.194,118.630,15576830000
CHFJPY,20160108,0200,118.630,118.683,118.520,118.617,5882000000
CHFJPY,20160108,0300,118.617,118.733,118.606,118.685,3206650000
CHFJPY,20160108,0400,118.685,118.686,118.586,118.637,3239920000
CHFJPY,20160108,0500,118.636,118.734,118.536,118.638,4758830000
CHFJPY,20160108,0600,118.643,118.708,118.523,118.544,3385290000
CHFJPY,20160108,0700,118.543,118.623,118.351,118.583,5698030000
CHFJPY,20160108,0800,118.583,118.640,118.376,118.396,8169350000
CHFJPY,20160108,0900,118.395,118.397,118.106,118.172,5940780000
CHFJPY,20160108,1000,118.173,118.326,118.077,118.316,5830880000
CHFJPY,20160108,1100,118.316,118.391,118.220,118.384,6632910000
CHFJPY,20160108,1200,118.387,118.432,118.276,118.400,6017460000
CHFJPY,20160108,1300,118.398,118.444,118.097,118.166,13453800000
CHFJPY,20160108,1400,118.168,118.439,118.021,118.357,14280610000
CHFJPY,20160108,1500,118.359,118.549,118.221,118.308,13659220000
CHFJPY,20160108,1600,118.308,118.339,118.026,118.065,11586280000
CHFJPY,20160108,1700,118.062,118.246,117.998,118.097,6731090000
CHFJPY,20160108,1800,118.098,118.210,118.084,118.207,5342650000
CHFJPY,20160108,1900,118.207,118.252,118.124,118.150,5128460000
CHFJPY,20160108,2000,118.141,118.238,118.096,118.125,5440340000
CHFJPY,20160108,2100,118.121,118.254,117.729,117.729,3150190000
CHFJPY,20160110,2200,117.707,117.712,117.292,117.597,3056800000
CHFJPY,20160110,2300,117.610,118.271,117.593,117.935,6226980000
CHFJPY,20160111,0000,117.935,117.992,117.811,117.877,7018080000
CHFJPY,20160111,0100,117.876,118.141,117.829,118.042,8505480000
CHFJPY,20160111,0200,118.041,118.045,117.895,117.938,4997250000
CHFJPY,20160111,0300,117.936,118.044,117.869,117.996,3015860000
CHFJPY,20160111,0400,117.997,118.063,117.971,118.019,2296380000
CHFJPY,20160111,0500,118.019,118.021,117.908,118.000,3731050000
CHFJPY,20160111,0600,118.000,118.071,117.886,117.927,4240590000
CHFJPY,20160111,0700,117.931,117.953,117.818,117.907,7265750000
CHFJPY,20160111,0800,117.908,118.129,117.844,118.077,11364230000
CHFJPY,20160111,0900,118.079,118.115,117.881,118.064,7562560000
CHFJPY,20160111,1000,118.064,118.146,118.013,118.104,6941950000
CHFJPY,20160111,1100,118.102,118.183,118.038,118.108,6290000000
CHFJPY,20160111,1200,118.109,118.202,118.051,118.077,6185990000
CHFJPY,20160111,1300,118.076,118.301,118.044,118.158,9950260000
CHFJPY,20160111,1400,118.161,118.199,117.917,118.014,11188200000
CHFJPY,20160111,1500,118.010,118.010,117.101,117.152,13544230000
CHFJPY,20160111,1600,117.155,117.616,117.123,117.464,10752730000
CHFJPY,20160111,1700,117.464,117.564,117.361,117.371,6724280000
CHFJPY,20160111,1800,117.373,117.468,117.295,117.460,5717000000
CHFJPY,20160111,1900,117.462,117.562,117.435,117.518,7082590000
CHFJPY,20160111,2000,117.513,117.624,117.442,117.539,5996190000
CHFJPY,20160111,2100,117.539,117.595,117.489,117.586,1850670000
CHFJPY,20160111,2200,117.586,117.649,117.491,117.513,3103880000
CHFJPY,20160111,2300,117.504,117.535,117.359,117.477,2656610000
CHFJPY,20160112,0000,117.475,117.643,117.393,117.588,6075810000
CHFJPY,20160112,0100,117.587,117.734,117.443,117.634,8954170000
CHFJPY,20160112,0200,117.638,117.664,117.516,117.656,5825980000
CHFJPY,20160112,0300,117.652,117.684,117.489,117.564,4320210000
CHFJPY,20160112,0400,117.564,117.614,117.506,117.602,3668700000
CHFJPY,20160112,0500,117.601,117.638,117.491,117.536,4769810000
CHFJPY,20160112,0600,117.539,117.539,117.350,117.386,5131850000
CHFJPY,20160112,0700,117.384,117.692,117.349,117.630,6329140000
CHFJPY,20160112,0800,117.630,117.859,117.545,117.747,9463280000
CHFJPY,20160112,0900,117.750,117.859,117.653,117.706,9730940000
CHFJPY,20160112,1000,117.705,117.731,117.556,117.672,8466360000
CHFJPY,20160112,1100,117.671,117.782,117.625,117.681,7049810000
CHFJPY,20160112,1200,117.682,117.792,117.623,117.729,6864690000
CHFJPY,20160112,1300,117.726,117.799,117.707,117.772,8697380000
CHFJPY,20160112,1400,117.770,117.797,117.623,117.647,10862430000
CHFJPY,20160112,1500,117.645,117.709,117.486,117.523,13279510000
CHFJPY,20160112,1600,117.528,117.599,117.325,117.428,10817860000
CHFJPY,20160112,1700,117.427,117.444,117.213,117.313,8023390000
CHFJPY,20160112,1800,117.316,117.423,117.208,117.208,7147970000
CHFJPY,20160112,1900,117.207,117.450,117.207,117.315,8243870000
CHFJPY,20160112,2000,117.313,117.470,117.268,117.406,5391880000
CHFJPY,20160112,2100,117.406,117.454,117.362,117.375,1862840000
CHFJPY,20160112,2200,117.372,117.421,117.325,117.420,2635140000
CHFJPY,20160112,2300,117.420,117.499,117.370,117.453,3426180000
CHFJPY,20160113,0000,117.453,117.506,117.357,117.448,4949220000
CHFJPY,20160113,0100,117.449,117.577,117.386,117.489,7569740000
CHFJPY,20160113,0200,117.483,117.774,117.483,117.756,6490320000
CHFJPY,20160113,0300,117.759,117.763,117.562,117.641,3779860000
CHFJPY,20160113,0400,117.641,117.751,117.631,117.747,2801360000
CHFJPY,20160113,0500,117.746,117.773,117.647,117.707,4047230000
CHFJPY,20160113,0600,117.709,117.736,117.537,117.592,3251000000
CHFJPY,20160113,0700,117.592,117.649,117.440,117.613,7244130000
CHFJPY,20160113,0800,117.613,117.698,117.527,117.583,10531100000
CHFJPY,20160113,0900,117.585,117.608,117.390,117.442,7811200000
CHFJPY,20160113,1000,117.445,117.488,117.309,117.339,6260270000
CHFJPY,20160113,1100,117.340,117.421,117.244,117.259,6652720000
CHFJPY,20160113,1200,117.261,117.264,116.896,116.963,6742540000
