<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CHFJPY,20241231,2100,173.201,173.218,173.201,173.210,8100000
CHFJPY,20250101,2200,172.954,173.302,172.954,173.131,579210000
CHFJPY,20250101,2300,173.316,173.789,173.097,173.718,4946170000
CHFJPY,20250102,0000,173.720,173.796,173.508,173.595,6592220000
CHFJPY,20250102,0100,173.602,173.851,173.560,173.842,6640280000
CHFJPY,20250102,0200,173.841,173.863,173.739,173.768,3846570000
CHFJPY,20250102,0300,173.767,173.807,173.653,173.712,3576950000
CHFJPY,20250102,0400,173.714,173.726,173.571,173.600,3050490000
CHFJPY,20250102,0500,173.600,173.720,173.561,173.710,3244600000
CHFJPY,20250102,0600,173.707,173.707,173.130,173.141,6141030000
CHFJPY,20250102,0700,173.141,173.298,173.009,173.166,10392000000
CHFJPY,20250102,0800,173.173,173.350,172.834,173.247,11416570000
CHFJPY,20250102,0900,173.244,173.501,173.244,173.294,6644080000
CHFJPY,20250102,1000,173.301,173.525,173.176,173.191,8084060000
CHFJPY,20250102,1100,173.192,173.417,173.097,173.178,8731930000
CHFJPY,20250102,1200,173.179,173.220,172.963,172.975,7681610000
CHFJPY,20250102,1300,172.974,173.008,172.538,172.585,12792560000
CHFJPY,20250102,1400,172.584,172.790,172.452,172.666,14267530000
CHFJPY,20250102,1500,172.666,172.758,172.412,172.558,15831080000
CHFJPY,20250102,1600,172.554,172.815,172.409,172.800,15552860000
CHFJPY,20250102,1700,172.800,172.951,172.620,172.697,10193850000
CHFJPY,20250102,1800,172.699,172.798,172.640,172.648,5962370000
CHFJPY,20250102,1900,172.648,172.672,172.561,172.562,4652390000
CHFJPY,20250102,2000,172.560,172.712,172.560,172.702,3248140000
CHFJPY,20250102,2100,172.704,172.727,172.617,172.654,2665990000
CHFJPY,20250102,2200,172.462,172.572,172.462,172.536,867120000
CHFJPY,20250102,2300,172.531,172.697,172.482,172.511,1871430000
CHFJPY,20250103,0000,172.513,172.569,172.416,172.461,4155010000
CHFJPY,20250103,0100,172.461,172.629,172.405,172.528,3640850000
CHFJPY,20250103,0200,172.523,172.680,172.502,172.649,3445850000
CHFJPY,20250103,0300,172.652,172.655,172.352,172.473,3822540000
CHFJPY,20250103,0400,172.468,172.494,172.403,172.474,3030630000
CHFJPY,20250103,0500,172.475,172.617,172.442,172.572,3554200000
CHFJPY,20250103,0600,172.576,172.602,172.486,172.545,2618090000
CHFJPY,20250103,0700,172.546,172.784,172.442,172.624,6278750000
CHFJPY,20250103,0800,172.628,172.861,172.610,172.796,6672530000
CHFJPY,20250103,0900,172.792,172.997,172.770,172.950,6235680000
CHFJPY,20250103,1000,172.950,172.995,172.813,172.954,4099590000
CHFJPY,20250103,1100,172.958,173.028,172.907,172.912,3897820000
CHFJPY,20250103,1200,172.914,172.946,172.739,172.856,4499670000
CHFJPY,20250103,1300,172.858,172.920,172.736,172.840,6172380000
CHFJPY,20250103,1400,172.840,173.032,172.783,172.932,6866860000
CHFJPY,20250103,1500,172.975,173.122,172.818,172.829,12596780000
CHFJPY,20250103,1600,172.828,173.008,172.790,172.801,5101390000
CHFJPY,20250103,1700,172.802,172.857,172.604,172.840,5537020000
CHFJPY,20250103,1800,172.838,172.851,172.753,172.800,2596450000
CHFJPY,20250103,1900,172.797,172.917,172.780,172.915,2711880000
CHFJPY,20250103,2000,172.915,173.102,172.895,173.098,2227980000
CHFJPY,20250103,2100,173.098,173.157,173.042,173.113,1756810000
CHFJPY,20250105,2200,172.688,173.038,172.688,172.953,733380000
CHFJPY,20250105,2300,172.892,173.272,172.870,173.179,3254420000
CHFJPY,20250106,0000,173.187,173.342,173.162,173.199,5759180000
CHFJPY,20250106,0100,173.196,173.277,173.138,173.225,4651210000
CHFJPY,20250106,0200,173.227,173.427,173.201,173.385,4150890000
CHFJPY,20250106,0300,173.388,173.455,173.314,173.418,3693710000
CHFJPY,20250106,0400,173.420,173.470,173.373,173.436,2461750000
CHFJPY,20250106,0500,173.431,173.556,173.409,173.445,3165230000
CHFJPY,20250106,0600,173.445,173.456,173.262,173.285,2998780000
CHFJPY,20250106,0700,173.286,173.626,173.237,173.602,3646850000
CHFJPY,20250106,0800,173.602,173.990,173.595,173.972,6758160000
CHFJPY,20250106,0900,173.971,174.176,173.843,174.091,7322240000
CHFJPY,20250106,1000,174.094,174.262,173.972,174.163,4479960000
CHFJPY,20250106,1100,174.163,174.493,174.159,174.304,17428010000
CHFJPY,20250106,1200,174.303,174.314,173.646,173.842,13019270000
CHFJPY,20250106,1300,173.849,173.879,173.317,173.557,13151100000
CHFJPY,20250106,1400,173.560,173.976,173.236,173.949,18929600000
CHFJPY,20250106,1500,173.948,174.190,173.889,174.065,14512300000
CHFJPY,20250106,1600,174.067,174.249,174.021,174.193,7866800000
CHFJPY,20250106,1700,174.193,174.231,174.076,174.229,4984310000
CHFJPY,20250106,1800,174.228,174.238,174.051,174.082,5814090000
CHFJPY,20250106,1900,174.083,174.196,174.054,174.177,3494160000
CHFJPY,20250106,2000,174.171,174.246,174.139,174.236,2525900000
CHFJPY,20250106,2100,174.238,174.288,174.213,174.251,2515150000
CHFJPY,20250106,2200,173.763,174.210,173.763,174.146,3103660000
CHFJPY,20250106,2300,174.166,174.352,174.135,174.297,2191740000
CHFJPY,20250107,0000,174.297,174.717,174.285,174.614,8860300000
CHFJPY,20250107,0100,174.608,174.900,174.551,174.850,6702570000
CHFJPY,20250107,0200,174.851,174.881,174.726,174.817,4444350000
CHFJPY,20250107,0300,174.819,174.831,174.706,174.750,3268600000
CHFJPY,20250107,0400,174.749,174.803,174.664,174.790,3087360000
CHFJPY,20250107,0500,174.790,174.864,174.638,174.650,4394370000
CHFJPY,20250107,0600,174.650,174.668,174.458,174.519,5165320000
CHFJPY,20250107,0700,174.519,174.698,174.001,174.066,9943490000
CHFJPY,20250107,0800,174.068,174.321,174.037,174.288,10821160000
CHFJPY,20250107,0900,174.289,174.469,174.192,174.315,6781650000
CHFJPY,20250107,1000,174.310,174.359,174.157,174.289,6636570000
CHFJPY,20250107,1100,174.285,174.308,174.002,174.081,4969450000
CHFJPY,20250107,1200,174.077,174.108,173.811,173.828,6376090000
CHFJPY,20250107,1300,173.830,173.938,173.760,173.823,6449970000
CHFJPY,20250107,1400,173.824,173.964,173.704,173.755,12128880000
CHFJPY,20250107,1500,173.770,174.263,173.687,173.957,17011380000
CHFJPY,20250107,1600,173.949,174.022,173.655,173.875,13215330000
CHFJPY,20250107,1700,173.872,173.895,173.637,173.744,8006310000
CHFJPY,20250107,1800,173.741,173.752,173.585,173.654,5618610000
CHFJPY,20250107,1900,173.653,173.680,173.601,173.645,3617070000
CHFJPY,20250107,2000,173.647,173.688,173.543,173.611,3179700000
CHFJPY,20250107,2100,173.609,173.764,173.609,173.707,1915200000
CHFJPY,20250107,2200,173.585,173.762,173.585,173.725,1032010000
CHFJPY,20250107,2300,173.758,173.984,173.714,173.939,3047050000
CHFJPY,20250108,0000,173.931,173.958,173.711,173.918,5854010000
CHFJPY,20250108,0100,173.917,173.925,173.724,173.751,4352110000
CHFJPY,20250108,0200,173.755,173.946,173.733,173.895,3068810000
CHFJPY,20250108,0300,173.895,173.978,173.856,173.955,2685200000
CHFJPY,20250108,0400,173.954,174.065,173.935,174.039,3447170000
CHFJPY,20250108,0500,174.037,174.067,173.906,174.005,2871290000
CHFJPY,20250108,0600,174.004,174.009,173.742,173.861,4143750000
CHFJPY,20250108,0700,173.864,173.864,173.561,173.622,6018610000
CHFJPY,20250108,0800,173.618,173.652,173.462,173.501,6408290000
CHFJPY,20250108,0900,173.501,173.585,173.394,173.439,5555610000
CHFJPY,20250108,1000,173.442,173.643,173.375,173.634,4812570000
CHFJPY,20250108,1100,173.634,173.831,173.579,173.679,9749160000
CHFJPY,20250108,1200,173.681,173.831,173.606,173.762,7781520000
CHFJPY,20250108,1300,173.768,173.810,173.505,173.792,16399300000
CHFJPY,20250108,1400,173.792,173.921,173.721,173.799,10264500000
CHFJPY,20250108,1500,173.798,173.904,173.725,173.791,10278710000
CHFJPY,20250108,1600,173.790,173.831,173.706,173.823,7254680000
CHFJPY,20250108,1700,173.824,173.851,173.739,173.752,5626370000
CHFJPY,20250108,1800,173.755,173.867,173.622,173.623,7364470000
CHFJPY,20250108,1900,173.658,173.895,173.595,173.797,5605930000
CHFJPY,20250108,2000,173.794,173.797,173.729,173.745,4784780000
CHFJPY,20250108,2100,173.748,173.810,173.741,173.762,2231760000
CHFJPY,20250108,2200,173.671,173.829,173.597,173.716,1278010000
