<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
EURJPY,20131231,1900,145.000,145.000,145.000,145.000,4
EURJPY,20140101,2300,145.000,145.110,144.910,144.980,236
EURJPY,20140102,0000,144.970,145.020,144.820,144.920,240
EURJPY,20140102,0100,144.930,144.930,144.780,144.910,240
EURJPY,20140102,0200,144.920,144.940,144.860,144.860,240
EURJPY,20140102,0300,144.870,144.990,144.860,144.920,240
EURJPY,20140102,0400,144.910,144.920,144.700,144.700,240
EURJPY,20140102,0500,144.710,144.870,144.700,144.860,240
EURJPY,20140102,0600,144.850,144.860,144.730,144.820,240
EURJPY,20140102,0700,144.810,144.830,144.600,144.670,240
EURJPY,20140102,0800,144.680,144.710,144.490,144.550,240
EURJPY,20140102,0900,144.560,144.770,144.560,144.660,240
EURJPY,20140102,1000,144.670,144.670,144.500,144.630,240
EURJPY,20140102,1100,144.620,144.630,144.230,144.260,240
EURJPY,20140102,1200,144.270,144.280,143.740,143.800,240
EURJPY,20140102,1300,143.810,143.820,143.420,143.440,240
EURJPY,20140102,1400,143.430,143.490,142.970,143.190,240
EURJPY,20140102,1500,143.180,143.250,142.880,143.250,240
EURJPY,20140102,1600,143.240,143.500,143.230,143.310,240
EURJPY,20140102,1700,143.300,143.380,143.180,143.350,240
EURJPY,20140102,1800,143.360,143.370,143.020,143.060,240
EURJPY,20140102,1900,143.070,143.110,142.830,142.960,240
EURJPY,20140102,2000,142.970,143.120,142.910,143.100,240
EURJPY,20140102,2100,143.110,143.280,143.040,143.250,240
EURJPY,20140102,2200,143.260,143.270,143.120,143.220,236
EURJPY,20140102,2300,143.210,143.280,143.150,143.250,240
EURJPY,20140103,0000,143.250,143.290,143.190,143.200,236
EURJPY,20140103,0100,143.200,143.250,143.060,143.070,240
EURJPY,20140103,0200,143.070,143.070,142.210,142.390,240
EURJPY,20140103,0300,142.380,142.560,142.290,142.390,240
EURJPY,20140103,0400,142.380,142.510,142.350,142.360,240
EURJPY,20140103,0500,142.370,142.380,142.080,142.200,240
EURJPY,20140103,0600,142.210,142.390,142.150,142.360,240
EURJPY,20140103,0700,142.370,142.610,142.300,142.500,240
EURJPY,20140103,0800,142.490,142.510,142.070,142.350,240
EURJPY,20140103,0900,142.360,142.380,142.240,142.310,240
EURJPY,20140103,1000,142.320,142.500,142.320,142.490,240
EURJPY,20140103,1100,142.500,142.550,142.400,142.440,240
EURJPY,20140103,1200,142.430,142.680,142.280,142.540,240
EURJPY,20140103,1300,142.530,142.550,142.340,142.400,240
EURJPY,20140103,1400,142.410,142.440,141.950,142.110,240
EURJPY,20140103,1500,142.120,142.190,141.960,142.190,240
EURJPY,20140103,1600,142.180,142.390,142.120,142.120,240
EURJPY,20140103,1700,142.110,142.170,142.040,142.100,240
