<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GBPJPY,20141231,1800,186.610,186.670,186.610,186.660,4
GBPJPY,20150101,2300,186.690,186.810,186.600,186.740,236
GBPJPY,20150102,0000,186.750,186.840,186.650,186.840,208
GBPJPY,20150102,0100,186.830,187.180,186.820,187.050,240
GBPJPY,20150102,0200,187.060,187.190,187.000,187.060,240
GBPJPY,20150102,0300,187.050,187.220,186.930,187.130,240
GBPJPY,20150102,0400,187.120,187.270,187.120,187.200,240
GBPJPY,20150102,0500,187.190,187.210,187.100,187.180,240
GBPJPY,20150102,0600,187.180,187.250,187.030,187.150,240
GBPJPY,20150102,0700,187.140,187.280,187.070,187.120,240
GBPJPY,20150102,0800,187.130,187.220,186.740,186.930,240
GBPJPY,20150102,0900,186.940,186.980,186.250,186.400,240
GBPJPY,20150102,1000,186.410,186.410,185.900,185.930,240
GBPJPY,20150102,1100,185.940,186.110,185.820,185.970,240
GBPJPY,20150102,1200,185.960,186.100,185.780,186.080,240
GBPJPY,20150102,1300,186.070,186.120,185.840,185.910,240
GBPJPY,20150102,1400,185.900,186.000,185.700,185.750,240
GBPJPY,20150102,1500,185.760,185.790,184.770,184.920,240
GBPJPY,20150102,1600,184.910,185.000,184.310,184.610,240
GBPJPY,20150102,1700,184.600,184.840,184.530,184.620,240
GBPJPY,20150102,1800,184.610,184.710,184.560,184.700,240
GBPJPY,20150102,1900,184.690,184.760,184.490,184.580,240
GBPJPY,20150102,2000,184.570,184.730,184.410,184.730,240
GBPJPY,20150104,2300,184.070,184.280,183.790,184.060,240
GBPJPY,20150105,0000,184.050,184.240,183.670,184.080,236
GBPJPY,20150105,0100,184.090,184.220,183.940,184.190,240
GBPJPY,20150105,0200,184.200,184.220,183.910,183.960,240
GBPJPY,20150105,0300,183.950,184.330,183.910,184.330,240
GBPJPY,20150105,0400,184.320,184.400,184.160,184.230,236
GBPJPY,20150105,0500,184.240,184.320,183.920,184.030,240
GBPJPY,20150105,0600,184.020,184.110,183.890,183.900,240
GBPJPY,20150105,0700,183.910,184.220,183.840,184.070,240
GBPJPY,20150105,0800,184.060,184.340,184.020,184.170,240
GBPJPY,20150105,0900,184.160,184.220,183.830,183.970,240
GBPJPY,20150105,1000,183.960,184.040,183.710,183.750,240
GBPJPY,20150105,1100,183.740,183.770,183.380,183.450,240
GBPJPY,20150105,1200,183.440,183.450,182.730,182.730,240
GBPJPY,20150105,1300,182.720,182.800,182.190,182.230,240
GBPJPY,20150105,1400,182.220,182.340,181.900,181.960,240
GBPJPY,20150105,1500,181.950,182.320,181.690,182.230,240
GBPJPY,20150105,1600,182.250,182.410,181.970,182.240,240
GBPJPY,20150105,1700,182.250,182.440,182.010,182.050,240
GBPJPY,20150105,1800,182.060,182.540,182.030,182.450,240
GBPJPY,20150105,1900,182.440,182.490,182.260,182.290,240
GBPJPY,20150105,2000,182.300,182.660,182.250,182.480,240
GBPJPY,20150105,2100,182.470,182.530,182.330,182.420,240
GBPJPY,20150105,2200,182.410,182.420,181.860,181.910,240
GBPJPY,20150105,2300,181.900,182.260,181.900,182.190,240
GBPJPY,20150106,0000,182.180,182.300,181.890,181.940,208
GBPJPY,20150106,0100,181.930,182.190,181.860,182.190,240
GBPJPY,20150106,0200,182.200,182.250,181.930,182.110,240
GBPJPY,20150106,0300,182.100,182.140,182.000,182.020,240
GBPJPY,20150106,0400,182.010,182.010,181.710,181.890,240
GBPJPY,20150106,0500,181.900,181.910,181.390,181.480,240
GBPJPY,20150106,0600,181.490,181.610,181.160,181.250,240
GBPJPY,20150106,0700,181.240,181.650,181.230,181.430,240
GBPJPY,20150106,0800,181.420,181.550,180.910,181.230,240
GBPJPY,20150106,0900,181.210,181.260,180.320,180.540,240
GBPJPY,20150106,1000,180.550,180.630,180.340,180.610,240
GBPJPY,20150106,1100,180.600,181.350,180.600,181.310,240
GBPJPY,20150106,1200,181.300,181.370,180.790,180.880,240
GBPJPY,20150106,1300,180.870,180.880,180.440,180.670,240
GBPJPY,20150106,1400,180.660,180.800,180.200,180.310,240
GBPJPY,20150106,1500,180.300,180.700,180.060,180.170,240
GBPJPY,20150106,1600,180.160,180.210,179.370,179.460,240
GBPJPY,20150106,1700,179.450,179.830,179.220,179.710,240
GBPJPY,20150106,1800,179.720,179.720,179.250,179.680,240
GBPJPY,20150106,1900,179.670,179.960,179.590,179.830,240
GBPJPY,20150106,2000,179.840,180.010,179.540,179.610,240
GBPJPY,20150106,2100,179.600,179.630,179.300,179.310,240
GBPJPY,20150106,2200,179.320,179.620,179.210,179.510,240
GBPJPY,20150106,2300,179.500,179.600,179.400,179.590,240
GBPJPY,20150107,0000,179.580,179.850,179.540,179.620,204
GBPJPY,20150107,0100,179.630,180.140,179.610,180.140,240
GBPJPY,20150107,0200,180.130,180.380,180.110,180.230,240
GBPJPY,20150107,0300,180.230,180.260,180.000,180.180,240
GBPJPY,20150107,0400,180.170,180.310,180.130,180.200,240
GBPJPY,20150107,0500,180.190,180.230,179.810,179.890,240
GBPJPY,20150107,0600,179.900,180.110,179.830,180.060,240
GBPJPY,20150107,0700,180.070,180.520,180.000,180.290,240
GBPJPY,20150107,0800,180.280,180.450,180.070,180.070,240
GBPJPY,20150107,0900,180.080,180.170,179.560,179.600,240
GBPJPY,20150107,1000,179.590,180.340,179.550,180.310,240
GBPJPY,20150107,1100,180.320,180.350,180.010,180.090,240
GBPJPY,20150107,1200,180.100,180.330,180.050,180.270,240
GBPJPY,20150107,1300,180.260,180.600,180.220,180.290,240
GBPJPY,20150107,1400,180.280,180.360,179.960,180.230,240
GBPJPY,20150107,1500,180.220,180.500,180.000,180.000,240
GBPJPY,20150107,1600,179.990,180.180,179.710,180.130,240
GBPJPY,20150107,1700,180.140,180.230,180.000,180.230,240
GBPJPY,20150107,1800,180.240,180.310,179.920,180.000,240
GBPJPY,20150107,1900,180.010,180.250,179.720,179.830,240
GBPJPY,20150107,2000,179.820,180.060,179.800,180.020,240
GBPJPY,20150107,2100,180.010,180.180,179.860,180.170,240
GBPJPY,20150107,2200,180.180,180.290,180.100,180.230,240
GBPJPY,20150107,2300,180.220,180.350,180.090,180.160,240
GBPJPY,20150108,0000,180.160,180.440,180.080,180.420,212
GBPJPY,20150108,0100,180.410,180.710,180.310,180.670,240
GBPJPY,20150108,0200,180.680,180.710,180.510,180.640,240
GBPJPY,20150108,0300,180.630,180.770,180.560,180.610,240
GBPJPY,20150108,0400,180.610,180.730,180.510,180.590,240
GBPJPY,20150108,0500,180.580,180.620,180.420,180.540,240
GBPJPY,20150108,0600,180.550,180.870,180.550,180.830,240
GBPJPY,20150108,0700,180.840,180.900,180.470,180.520,240
GBPJPY,20150108,0800,180.530,180.550,179.980,180.020,240
GBPJPY,20150108,0900,180.030,180.290,180.010,180.220,240
GBPJPY,20150108,1000,180.230,180.560,180.220,180.380,240
GBPJPY,20150108,1100,180.390,180.550,180.270,180.440,240
GBPJPY,20150108,1200,180.430,180.600,180.270,180.430,240
GBPJPY,20150108,1300,180.420,180.500,180.080,180.160,240
GBPJPY,20150108,1400,180.150,180.320,179.960,180.280,240
GBPJPY,20150108,1500,180.290,180.590,180.240,180.490,240
GBPJPY,20150108,1600,180.480,180.790,180.420,180.630,240
GBPJPY,20150108,1700,180.640,180.660,180.500,180.610,240
GBPJPY,20150108,1800,180.620,180.780,180.590,180.650,240
GBPJPY,20150108,1900,180.660,180.770,180.490,180.490,240
GBPJPY,20150108,2000,180.480,180.580,180.410,180.410,236
GBPJPY,20150108,2100,180.400,180.560,180.390,180.530,240
GBPJPY,20150108,2200,180.530,180.680,180.480,180.650,240
GBPJPY,20150108,2300,180.660,180.810,180.520,180.690,240
GBPJPY,20150109,0000,180.680,180.870,180.610,180.810,196
GBPJPY,20150109,0100,180.820,180.830,180.350,180.400,240
GBPJPY,20150109,0200,180.390,180.510,180.250,180.360,240
GBPJPY,20150109,0300,180.350,180.480,180.290,180.420,240
GBPJPY,20150109,0400,180.430,180.430,180.010,180.090,240
