<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NAS100,20211231,2100,16333.40,16333.40,16332.60,16332.80,6
NAS100,20220102,2300,16361.90,16421.30,16361.90,16385.50,3841
NAS100,20220103,0000,16386.30,16422.10,16385.90,16417.80,3199
NAS100,20220103,0100,16417.60,16429.00,16401.00,16404.40,4541
NAS100,20220103,0200,16404.30,16417.80,16395.00,16417.80,3688
NAS100,20220103,0300,16417.60,16419.50,16402.00,16408.40,2329
NAS100,20220103,0400,16408.60,16411.60,16404.30,16411.60,1455
NAS100,20220103,0500,16411.80,16414.90,16403.80,16409.90,1820
NAS100,20220103,0600,16409.50,16413.80,16385.80,16399.50,2646
NAS100,20220103,0700,16399.60,16404.60,16384.60,16401.60,2842
NAS100,20220103,0800,16401.30,16410.80,16387.80,16389.40,4865
NAS100,20220103,0900,16389.60,16414.00,16389.60,16413.30,4002
NAS100,20220103,1000,16413.40,16430.30,16410.80,16428.40,2614
NAS100,20220103,1100,16428.80,16453.80,16428.00,16449.40,3242
NAS100,20220103,1200,16449.60,16449.60,16429.40,16432.60,3619
NAS100,20220103,1300,16431.90,16444.50,16385.40,16388.60,5885
NAS100,20220103,1400,16387.50,16486.80,16294.40,16319.30,15151
NAS100,20220103,1500,16321.10,16444.30,16307.90,16438.40,19217
NAS100,20220103,1600,16439.30,16446.00,16380.00,16397.80,15904
NAS100,20220103,1700,16396.50,16436.60,16380.00,16426.30,11244
NAS100,20220103,1800,16426.50,16472.50,16409.80,16465.50,10086
NAS100,20220103,1900,16465.80,16504.10,16455.80,16480.30,10089
NAS100,20220103,2000,16481.00,16501.90,16456.90,16495.90,12031
NAS100,20220103,2100,16495.40,16513.90,16487.30,16500.80,3687
NAS100,20220103,2300,16501.80,16512.30,16484.10,16487.40,2822
NAS100,20220104,0000,16487.30,16499.30,16480.50,16496.10,4165
NAS100,20220104,0100,16495.80,16499.10,16487.60,16489.90,5091
NAS100,20220104,0200,16490.30,16507.60,16488.10,16506.60,3962
NAS100,20220104,0300,16507.10,16510.30,16499.30,16506.80,2629
NAS100,20220104,0400,16506.40,16530.50,16503.30,16526.60,2831
NAS100,20220104,0500,16527.00,16541.40,16525.50,16537.50,3982
NAS100,20220104,0600,16537.60,16544.90,16530.60,16535.10,2558
NAS100,20220104,0700,16535.30,16544.40,16524.10,16544.40,3197
NAS100,20220104,0800,16542.90,16543.30,16488.50,16492.60,7154
NAS100,20220104,0900,16492.90,16523.40,16489.60,16522.50,4432
NAS100,20220104,1000,16522.30,16552.50,16522.30,16549.00,4800
NAS100,20220104,1100,16548.60,16567.40,16540.50,16541.80,4542
NAS100,20220104,1200,16541.60,16544.90,16494.80,16519.30,5950
NAS100,20220104,1300,16518.90,16535.80,16507.50,16526.90,6703
NAS100,20220104,1400,16527.30,16530.30,16448.30,16463.50,13162
NAS100,20220104,1500,16464.10,16468.60,16229.00,16232.40,17932
NAS100,20220104,1600,16232.80,16256.80,16169.00,16210.70,17379
NAS100,20220104,1700,16210.40,16236.80,16181.90,16189.50,13787
NAS100,20220104,1800,16189.10,16228.80,16147.80,16152.50,13784
NAS100,20220104,1900,16152.30,16235.50,16149.60,16231.30,13058
NAS100,20220104,2000,16231.50,16330.50,16229.80,16280.00,14742
NAS100,20220104,2100,16279.90,16281.10,16258.90,16267.40,4133
NAS100,20220104,2300,16267.60,16273.60,16234.90,16239.00,3551
