<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
XAGUSD,20231229,2100,23.781,23.786,23.773,23.776,192000
XAGUSD,20240101,2300,23.805,23.849,23.768,23.809,14749300
XAGUSD,20240102,0000,23.810,23.824,23.763,23.824,17705500
XAGUSD,20240102,0100,23.822,23.933,23.799,23.809,57423200
XAGUSD,20240102,0200,23.806,23.878,23.771,23.877,34164500
XAGUSD,20240102,0300,23.878,23.950,23.862,23.934,21775900
XAGUSD,20240102,0400,23.931,23.950,23.898,23.915,14360300
XAGUSD,20240102,0500,23.918,24.060,23.918,24.038,37003200
XAGUSD,20240102,0600,24.040,24.078,23.986,24.047,31291600
XAGUSD,20240102,0700,24.045,24.082,23.988,23.989,46150500
XAGUSD,20240102,0800,23.996,24.036,23.955,24.028,63793100
XAGUSD,20240102,0900,24.028,24.086,24.028,24.057,39988300
XAGUSD,20240102,1000,24.055,24.070,23.972,24.060,39711600
XAGUSD,20240102,1100,24.063,24.068,23.902,23.931,60336100
XAGUSD,20240102,1200,23.937,23.938,23.843,23.880,57178200
XAGUSD,20240102,1300,23.885,24.004,23.792,23.918,109877400
XAGUSD,20240102,1400,23.919,23.991,23.805,23.989,138580300
XAGUSD,20240102,1500,23.990,24.014,23.693,23.722,148588900
XAGUSD,20240102,1600,23.723,23.898,23.713,23.804,78408300
XAGUSD,20240102,1700,23.805,23.825,23.688,23.699,44941000
XAGUSD,20240102,1800,23.705,23.729,23.637,23.644,36834300
XAGUSD,20240102,1900,23.648,23.674,23.635,23.640,23690700
XAGUSD,20240102,2000,23.637,23.661,23.632,23.639,22443300
XAGUSD,20240102,2100,23.643,23.657,23.627,23.637,7889900
XAGUSD,20240102,2300,23.633,23.643,23.611,23.630,12591700
XAGUSD,20240103,0000,23.628,23.698,23.624,23.681,16293200
XAGUSD,20240103,0100,23.676,23.707,23.629,23.646,34454200
XAGUSD,20240103,0200,23.650,23.701,23.632,23.693,21736300
XAGUSD,20240103,0300,23.697,23.722,23.659,23.687,14951300
XAGUSD,20240103,0400,23.685,23.696,23.665,23.675,7319500
XAGUSD,20240103,0500,23.675,23.678,23.600,23.614,18019500
XAGUSD,20240103,0600,23.616,23.665,23.599,23.639,28090600
XAGUSD,20240103,0700,23.641,23.641,23.542,23.571,48642400
XAGUSD,20240103,0800,23.573,23.577,23.417,23.484,63146300
XAGUSD,20240103,0900,23.483,23.522,23.395,23.426,52287900
XAGUSD,20240103,1000,23.422,23.467,23.366,23.412,50802900
XAGUSD,20240103,1100,23.413,23.424,23.238,23.244,62175460
XAGUSD,20240103,1200,23.248,23.338,23.211,23.300,91143500
XAGUSD,20240103,1300,23.296,23.337,22.980,23.026,164707570
XAGUSD,20240103,1400,23.032,23.088,22.910,22.977,145971300
XAGUSD,20240103,1500,22.980,23.171,22.826,22.861,147036780
XAGUSD,20240103,1600,22.859,22.992,22.856,22.934,89177200
XAGUSD,20240103,1700,22.936,22.958,22.855,22.887,62720400
XAGUSD,20240103,1800,22.893,22.988,22.876,22.947,40630600
XAGUSD,20240103,1900,22.955,23.106,22.882,23.006,92324100
XAGUSD,20240103,2000,23.005,23.062,22.996,23.011,56204800
XAGUSD,20240103,2100,23.012,23.015,22.962,22.978,13328000
XAGUSD,20240103,2300,22.986,23.025,22.966,23.012,15712600
XAGUSD,20240104,0000,23.013,23.018,22.961,22.976,14739200
XAGUSD,20240104,0100,22.979,23.009,22.917,22.936,41479700
XAGUSD,20240104,0200,22.941,22.957,22.910,22.922,25367900
XAGUSD,20240104,0300,22.922,23.001,22.915,22.957,15638600
XAGUSD,20240104,0400,22.957,22.978,22.940,22.952,13850400
XAGUSD,20240104,0500,22.946,23.018,22.937,23.008,18578700
XAGUSD,20240104,0600,22.998,23.023,22.972,23.007,35781400
XAGUSD,20240104,0700,23.013,23.040,22.972,22.994,37412500
XAGUSD,20240104,0800,22.995,23.054,22.977,23.017,59892400
XAGUSD,20240104,0900,23.020,23.068,22.987,23.007,55332900
XAGUSD,20240104,1000,23.005,23.057,22.973,22.997,48165700
XAGUSD,20240104,1100,22.991,23.017,22.949,22.955,29378500
XAGUSD,20240104,1200,22.956,23.003,22.923,22.969,36007900
XAGUSD,20240104,1300,22.972,23.039,22.896,22.901,84495750
XAGUSD,20240104,1400,22.898,22.903,22.676,22.734,95736100
XAGUSD,20240104,1500,22.735,22.992,22.732,22.968,86035800
XAGUSD,20240104,1600,22.969,23.034,22.945,22.983,48736400
XAGUSD,20240104,1700,22.982,23.006,22.943,22.987,37841800
XAGUSD,20240104,1800,22.988,23.011,22.949,23.003,31336200
XAGUSD,20240104,1900,23.003,23.035,22.973,23.013,22827300
XAGUSD,20240104,2000,23.014,23.039,23.001,23.014,25662000
XAGUSD,20240104,2100,23.015,23.027,22.979,22.992,8559550
XAGUSD,20240104,2300,22.977,23.033,22.963,23.029,7588900
XAGUSD,20240105,0000,23.026,23.035,23.006,23.011,12994300
XAGUSD,20240105,0100,23.011,23.181,23.005,23.124,49656900
XAGUSD,20240105,0200,23.124,23.188,23.115,23.121,22544500
XAGUSD,20240105,0300,23.120,23.129,23.058,23.077,20604300
XAGUSD,20240105,0400,23.073,23.159,23.053,23.106,13574700
XAGUSD,20240105,0500,23.111,23.111,23.064,23.091,17974100
XAGUSD,20240105,0600,23.096,23.117,22.987,23.019,34475300
XAGUSD,20240105,0700,23.020,23.132,23.005,23.042,40616600
XAGUSD,20240105,0800,23.038,23.062,22.995,23.015,42462900
XAGUSD,20240105,0900,23.013,23.037,22.943,22.962,54059000
XAGUSD,20240105,1000,22.963,22.993,22.927,22.988,54531400
XAGUSD,20240105,1100,22.987,23.009,22.953,22.975,37396800
XAGUSD,20240105,1200,22.974,23.036,22.957,23.004,57655500
XAGUSD,20240105,1300,23.005,23.119,22.762,23.043,218198650
XAGUSD,20240105,1400,23.043,23.137,22.964,23.115,174462250
XAGUSD,20240105,1500,23.104,23.507,23.104,23.281,242439100
XAGUSD,20240105,1600,23.281,23.355,23.197,23.226,105618500
XAGUSD,20240105,1700,23.221,23.254,23.130,23.146,88405800
XAGUSD,20240105,1800,23.147,23.256,23.099,23.249,73247500
XAGUSD,20240105,1900,23.255,23.294,23.159,23.183,58884100
XAGUSD,20240105,2000,23.185,23.195,23.144,23.171,42519400
XAGUSD,20240105,2100,23.169,23.184,23.147,23.182,13075000
XAGUSD,20240107,2300,23.118,23.140,23.077,23.107,15953800
XAGUSD,20240108,0000,23.105,23.179,23.100,23.175,14023500
XAGUSD,20240108,0100,23.178,23.202,23.106,23.125,42567900
