<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
XAGUSD,20131231,2145,19.426,19.426,19.426,19.426,20000
XAGUSD,20140101,2300,19.506,19.530,19.479,19.516,3660000
XAGUSD,20140101,2315,19.518,19.537,19.505,19.531,1840000
XAGUSD,20140101,2330,19.532,19.534,19.507,19.528,1200000
XAGUSD,20140101,2345,19.529,19.532,19.520,19.526,660000
XAGUSD,20140102,0000,19.525,19.525,19.480,19.496,1180000
XAGUSD,20140102,0015,19.497,19.508,19.478,19.480,1240000
XAGUSD,20140102,0030,19.481,19.481,19.444,19.474,1460000
XAGUSD,20140102,0045,19.473,19.509,19.465,19.509,1760000
XAGUSD,20140102,0100,19.511,19.721,19.511,19.708,15920000
XAGUSD,20140102,0115,19.707,19.782,19.707,19.769,10980000
XAGUSD,20140102,0130,19.770,19.864,19.754,19.775,13640000
XAGUSD,20140102,0145,19.774,19.774,19.727,19.755,5200000
XAGUSD,20140102,0200,19.753,19.768,19.748,19.748,2900000
XAGUSD,20140102,0215,19.747,19.794,19.746,19.787,3200000
XAGUSD,20140102,0230,19.788,19.862,19.780,19.858,10480000
XAGUSD,20140102,0245,19.859,20.033,19.849,19.991,23200000
XAGUSD,20140102,0300,19.991,19.994,19.928,19.962,12010000
XAGUSD,20140102,0315,19.963,20.032,19.962,19.997,19220000
XAGUSD,20140102,0330,19.993,20.411,19.981,20.127,26852000
XAGUSD,20140102,0345,20.128,20.156,20.089,20.111,15230000
XAGUSD,20140102,0400,20.112,20.164,20.108,20.113,5550000
XAGUSD,20140102,0415,20.114,20.134,20.088,20.091,7130000
XAGUSD,20140102,0430,20.091,20.091,20.011,20.037,19160000
XAGUSD,20140102,0445,20.039,20.040,20.015,20.031,6210000
XAGUSD,20140102,0500,20.032,20.079,20.019,20.022,6320000
XAGUSD,20140102,0515,20.021,20.053,20.021,20.049,4180000
XAGUSD,20140102,0530,20.050,20.128,20.034,20.117,26560000
XAGUSD,20140102,0545,20.116,20.122,20.070,20.080,17390000
XAGUSD,20140102,0600,20.082,20.089,20.031,20.070,22470000
XAGUSD,20140102,0615,20.070,20.096,20.047,20.085,15650000
XAGUSD,20140102,0630,20.084,20.090,20.047,20.066,14830000
XAGUSD,20140102,0645,20.065,20.099,20.054,20.064,13360000
XAGUSD,20140102,0700,20.063,20.100,19.968,19.999,17910000
XAGUSD,20140102,0715,20.000,20.037,19.974,19.978,11220000
XAGUSD,20140102,0730,19.976,19.983,19.872,19.898,6840000
XAGUSD,20140102,0745,19.899,19.933,19.880,19.923,6160000
XAGUSD,20140102,0800,19.927,20.001,19.915,19.939,6210000
XAGUSD,20140102,0815,19.942,19.953,19.888,19.913,10100000
XAGUSD,20140102,0830,19.912,19.968,19.909,19.968,4600000
XAGUSD,20140102,0845,19.967,20.014,19.964,19.973,4430000
XAGUSD,20140102,0900,19.974,19.979,19.953,19.955,3960000
XAGUSD,20140102,0915,19.954,19.960,19.949,19.952,2840000
XAGUSD,20140102,0930,19.953,19.958,19.919,19.931,3420000
XAGUSD,20140102,0945,19.935,19.965,19.935,19.951,3100000
XAGUSD,20140102,1000,19.955,19.964,19.924,19.938,2640000
XAGUSD,20140102,1015,19.937,19.951,19.929,19.948,2480000
XAGUSD,20140102,1030,19.949,20.013,19.938,19.996,5580000
XAGUSD,20140102,1045,19.998,20.008,19.970,20.001,4700000
XAGUSD,20140102,1100,19.998,19.998,19.916,19.943,9730000
XAGUSD,20140102,1115,19.948,19.959,19.902,19.911,7100000
XAGUSD,20140102,1130,19.908,19.939,19.899,19.909,5560000
XAGUSD,20140102,1145,19.908,19.942,19.901,19.917,5780000
XAGUSD,20140102,1200,19.916,19.952,19.904,19.934,7380000
XAGUSD,20140102,1215,19.935,19.956,19.913,19.922,5520000
XAGUSD,20140102,1230,19.923,19.937,19.884,19.937,5300000
