<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
XAGUSD,20201231,2145,26.375,26.375,26.370,26.370,48700
XAGUSD,20210103,2300,26.616,26.747,26.557,26.716,14378800
XAGUSD,20210103,2315,26.715,26.790,26.688,26.779,7668000
XAGUSD,20210103,2330,26.777,26.907,26.770,26.875,13664000
XAGUSD,20210103,2345,26.875,26.881,26.803,26.839,7441400
XAGUSD,20210104,0000,26.838,26.843,26.745,26.756,8619800
XAGUSD,20210104,0015,26.756,26.779,26.737,26.756,6731800
XAGUSD,20210104,0030,26.746,26.783,26.697,26.717,6478700
XAGUSD,20210104,0045,26.717,26.810,26.703,26.805,10731600
XAGUSD,20210104,0100,26.805,27.132,26.805,27.072,62204500
XAGUSD,20210104,0115,27.071,27.079,26.978,27.029,38069700
XAGUSD,20210104,0130,27.029,27.092,26.972,27.036,40958000
XAGUSD,20210104,0145,27.039,27.052,26.957,26.986,36973300
XAGUSD,20210104,0200,26.988,27.045,26.854,27.025,35546600
XAGUSD,20210104,0215,27.030,27.052,27.000,27.013,14481800
XAGUSD,20210104,0230,27.013,27.072,26.997,27.031,25960400
XAGUSD,20210104,0245,27.031,27.114,27.031,27.085,15560900
XAGUSD,20210104,0300,27.090,27.095,27.032,27.036,12942300
XAGUSD,20210104,0315,27.033,27.110,27.033,27.096,9669100
XAGUSD,20210104,0330,27.096,27.099,27.060,27.084,6934000
XAGUSD,20210104,0345,27.084,27.089,27.030,27.058,10560400
XAGUSD,20210104,0400,27.058,27.063,27.034,27.056,6044600
XAGUSD,20210104,0415,27.056,27.060,27.014,27.031,6231800
XAGUSD,20210104,0430,27.033,27.041,26.956,27.038,7736100
XAGUSD,20210104,0445,27.041,27.069,27.021,27.044,4650100
XAGUSD,20210104,0500,27.044,27.068,27.013,27.019,5918500
XAGUSD,20210104,0515,27.019,27.019,26.940,26.983,9370400
XAGUSD,20210104,0530,26.983,27.027,26.903,26.927,14953400
XAGUSD,20210104,0545,26.926,27.006,26.915,26.991,16069800
XAGUSD,20210104,0600,26.999,27.073,26.941,27.051,29682400
XAGUSD,20210104,0615,27.051,27.138,27.041,27.087,25412900
XAGUSD,20210104,0630,27.083,27.159,27.081,27.092,21179000
XAGUSD,20210104,0645,27.091,27.105,27.069,27.092,18771300
XAGUSD,20210104,0700,27.091,27.121,27.075,27.103,6168200
XAGUSD,20210104,0715,27.103,27.116,27.082,27.094,7798200
XAGUSD,20210104,0730,27.098,27.137,27.090,27.127,8407700
XAGUSD,20210104,0745,27.123,27.152,27.081,27.137,13189900
XAGUSD,20210104,0800,27.137,27.259,27.133,27.249,23720000
XAGUSD,20210104,0815,27.250,27.341,27.215,27.304,24306700
XAGUSD,20210104,0830,27.307,27.307,27.236,27.268,23239000
XAGUSD,20210104,0845,27.267,27.289,27.211,27.227,12147300
