<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
XAGUSD,20241231,2145,28.887,28.887,28.887,28.887,12000
XAGUSD,20250101,2300,28.889,28.976,28.860,28.967,10993500
XAGUSD,20250101,2315,28.969,28.974,28.933,28.946,4158000
XAGUSD,20250101,2330,28.888,28.960,28.877,28.923,2536500
XAGUSD,20250101,2345,28.923,28.975,28.923,28.973,2367000
XAGUSD,20250102,0000,28.975,28.995,28.950,28.981,2235000
XAGUSD,20250102,0015,28.981,28.987,28.960,28.979,1450500
XAGUSD,20250102,0030,28.977,29.012,28.958,29.009,1614000
XAGUSD,20250102,0045,29.008,29.021,28.980,29.004,3606000
XAGUSD,20250102,0100,28.967,29.284,28.967,29.250,19974900
XAGUSD,20250102,0115,29.244,29.283,29.227,29.272,11383500
XAGUSD,20250102,0130,29.273,29.302,29.239,29.241,10225500
XAGUSD,20250102,0145,29.237,29.251,29.197,29.208,9241500
XAGUSD,20250102,0200,29.212,29.262,29.208,29.236,8263500
XAGUSD,20250102,0215,29.235,29.257,29.226,29.247,4728000
XAGUSD,20250102,0230,29.244,29.246,29.194,29.230,7272000
XAGUSD,20250102,0245,29.232,29.309,29.218,29.296,7248000
XAGUSD,20250102,0300,29.295,29.314,29.215,29.215,6379500
XAGUSD,20250102,0315,29.215,29.268,29.215,29.242,5758500
XAGUSD,20250102,0330,29.238,29.259,29.218,29.249,3520500
XAGUSD,20250102,0345,29.251,29.271,29.249,29.271,2032500
XAGUSD,20250102,0400,29.270,29.282,29.257,29.267,1800000
XAGUSD,20250102,0415,29.264,29.299,29.264,29.290,2682000
XAGUSD,20250102,0430,29.290,29.296,29.275,29.291,1758000
XAGUSD,20250102,0445,29.288,29.319,29.286,29.311,2062500
XAGUSD,20250102,0500,29.312,29.326,29.292,29.310,2962500
XAGUSD,20250102,0515,29.310,29.343,29.305,29.340,3015000
XAGUSD,20250102,0530,29.335,29.351,29.310,29.315,6795000
XAGUSD,20250102,0545,29.314,29.347,29.305,29.330,5464500
XAGUSD,20250102,0600,29.331,29.332,29.283,29.288,6337500
XAGUSD,20250102,0615,29.287,29.327,29.274,29.317,4894500
XAGUSD,20250102,0630,29.317,29.351,29.302,29.348,4495500
XAGUSD,20250102,0645,29.345,29.388,29.341,29.378,5637000
XAGUSD,20250102,0700,29.377,29.387,29.350,29.375,4071000
XAGUSD,20250102,0715,29.373,29.380,29.330,29.332,4035000
XAGUSD,20250102,0730,29.334,29.335,29.288,29.304,4282500
XAGUSD,20250102,0745,29.307,29.309,29.277,29.292,6436400
XAGUSD,20250102,0800,29.298,29.321,29.253,29.297,7657500
XAGUSD,20250102,0815,29.297,29.297,29.187,29.203,3733500
XAGUSD,20250102,0830,29.202,29.259,29.180,29.240,3178300
XAGUSD,20250102,0845,29.241,29.324,29.237,29.267,4264500
XAGUSD,20250102,0900,29.269,29.339,29.269,29.328,4684500
XAGUSD,20250102,0915,29.327,29.350,29.306,29.337,3198000
XAGUSD,20250102,0930,29.339,29.350,29.286,29.300,2088000
XAGUSD,20250102,0945,29.302,29.309,29.283,29.289,1320000
XAGUSD,20250102,1000,29.289,29.337,29.258,29.330,2367000
XAGUSD,20250102,1015,29.327,29.426,29.308,29.404,14971500
XAGUSD,20250102,1030,29.404,29.431,29.387,29.410,4985100
XAGUSD,20250102,1045,29.409,29.423,29.371,29.386,4181200
XAGUSD,20250102,1100,29.385,29.432,29.384,29.426,7753500
XAGUSD,20250102,1115,29.423,29.432,29.366,29.387,4260000
XAGUSD,20250102,1130,29.389,29.408,29.358,29.392,3742500
XAGUSD,20250102,1145,29.390,29.413,29.378,29.412,3400500
XAGUSD,20250102,1200,29.413,29.421,29.380,29.403,3648000
XAGUSD,20250102,1215,29.405,29.423,29.382,29.417,2001000
