<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPX500,20201231,2200,3754.50,3754.70,3754.00,3754.50,30
SPX500,20210104,0000,3758.80,3762.40,3750.00,3756.50,1871
SPX500,20210104,0100,3756.30,3756.70,3745.80,3748.30,1840
SPX500,20210104,0200,3747.70,3756.80,3747.70,3755.00,1395
SPX500,20210104,0300,3754.80,3758.50,3753.80,3754.50,758
SPX500,20210104,0400,3754.70,3758.30,3754.00,3756.80,410
SPX500,20210104,0500,3757.00,3758.50,3754.30,3755.80,341
SPX500,20210104,0600,3755.50,3757.00,3752.80,3756.80,628
SPX500,20210104,0700,3756.50,3760.00,3756.00,3759.00,680
SPX500,20210104,0800,3759.50,3772.30,3759.50,3772.00,1182
SPX500,20210104,0900,3772.30,3773.80,3767.00,3770.30,1567
SPX500,20210104,1000,3770.00,3780.80,3770.00,3778.20,733
SPX500,20210104,1100,3778.30,3780.00,3774.50,3775.40,554
SPX500,20210104,1200,3775.50,3778.00,3774.00,3774.80,491
SPX500,20210104,1300,3774.50,3775.30,3770.50,3774.50,425
SPX500,20210104,1400,3774.40,3774.90,3768.50,3769.50,485
SPX500,20210104,1500,3769.80,3771.00,3743.80,3747.80,2727
SPX500,20210104,1600,3748.50,3750.00,3711.60,3713.40,5100
SPX500,20210104,1700,3713.40,3717.60,3680.00,3682.60,6186
SPX500,20210104,1800,3682.10,3685.40,3661.10,3675.40,6152
SPX500,20210104,1900,3674.60,3699.90,3673.10,3699.40,3287
SPX500,20210104,2000,3699.70,3699.70,3679.60,3693.20,4136
SPX500,20210104,2100,3692.90,3708.20,3684.20,3703.20,4843
SPX500,20210104,2200,3702.70,3707.70,3697.90,3705.40,758
SPX500,20210105,0000,3704.20,3704.40,3695.50,3702.30,1498
SPX500,20210105,0100,3702.00,3708.80,3701.30,3707.50,1495
SPX500,20210105,0200,3707.80,3713.80,3707.50,3709.80,1104
SPX500,20210105,0300,3709.50,3713.50,3709.30,3711.50,804
SPX500,20210105,0400,3711.80,3713.80,3698.30,3701.50,906
SPX500,20210105,0500,3701.50,3702.50,3694.80,3699.50,1060
SPX500,20210105,0600,3699.00,3704.50,3697.50,3702.80,1242
SPX500,20210105,0700,3702.70,3709.80,3701.80,3709.30,1410
SPX500,20210105,0800,3709.80,3709.80,3686.80,3688.30,2064
SPX500,20210105,0900,3688.80,3712.30,3688.30,3705.50,2913
SPX500,20210105,1000,3704.30,3711.80,3702.50,3707.30,1473
SPX500,20210105,1100,3707.80,3710.50,3705.80,3707.30,1043
SPX500,20210105,1200,3707.80,3712.80,3700.30,3702.80,1163
SPX500,20210105,1300,3703.30,3704.30,3689.80,3698.50,1657
SPX500,20210105,1400,3698.30,3700.80,3683.40,3683.50,1481
SPX500,20210105,1500,3684.00,3721.30,3682.30,3714.90,3149
SPX500,20210105,1600,3720.00,3722.80,3697.50,3701.40,4253
SPX500,20210105,1700,3702.60,3714.70,3696.70,3711.20,2886
SPX500,20210105,1800,3711.20,3718.90,3710.40,3718.40,2273
SPX500,20210105,1900,3718.90,3722.70,3717.20,3722.70,1074
SPX500,20210105,2000,3722.90,3739.20,3722.70,3728.40,1834
SPX500,20210105,2100,3728.70,3734.90,3721.60,3725.80,2990
SPX500,20210105,2200,3725.80,3728.10,3722.80,3725.80,753
SPX500,20210106,0000,3726.20,3727.30,3719.30,3722.30,1098
SPX500,20210106,0100,3722.10,3742.70,3721.10,3727.20,2535
SPX500,20210106,0200,3727.70,3730.80,3703.30,3715.30,5212
SPX500,20210106,0300,3715.50,3721.30,3700.10,3704.70,3778
SPX500,20210106,0400,3704.10,3710.10,3698.60,3701.60,3166
SPX500,20210106,0500,3701.80,3712.30,3694.80,3702.10,3534
SPX500,20210106,0600,3701.80,3713.30,3700.60,3705.00,1998
SPX500,20210106,0700,3705.10,3715.80,3704.30,3714.80,2025
SPX500,20210106,0800,3714.30,3727.30,3711.80,3719.60,3081
SPX500,20210106,0900,3718.60,3719.70,3695.60,3698.60,4389
SPX500,20210106,1000,3698.60,3719.60,3693.80,3716.80,2781
