<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USDJPY,20231229,2100,140.984,140.984,140.968,140.975,27000000
USDJPY,20240101,2200,140.843,140.961,140.839,140.875,577880000
USDJPY,20240101,2300,140.883,141.128,140.811,141.110,7594690000
USDJPY,20240102,0000,141.110,141.378,141.096,141.140,12055480000
USDJPY,20240102,0100,141.142,141.456,141.141,141.439,11158060000
USDJPY,20240102,0200,141.435,141.669,141.364,141.562,12562630001
USDJPY,20240102,0300,141.561,141.665,141.494,141.499,9904040000
USDJPY,20240102,0400,141.501,141.585,141.459,141.537,6251940000
USDJPY,20240102,0500,141.533,141.533,141.345,141.350,7614470000
USDJPY,20240102,0600,141.350,141.550,141.335,141.521,6203630000
USDJPY,20240102,0700,141.519,141.604,141.387,141.544,26172430000
USDJPY,20240102,0800,141.543,141.592,141.290,141.555,26942930000
USDJPY,20240102,0900,141.555,141.672,141.377,141.552,19067290000
USDJPY,20240102,1000,141.552,141.771,141.504,141.649,17117880000
USDJPY,20240102,1100,141.650,141.887,141.590,141.825,15500700000
USDJPY,20240102,1200,141.825,142.216,141.791,142.114,17286560000
USDJPY,20240102,1300,142.114,142.160,141.885,142.150,19733560000
USDJPY,20240102,1400,142.150,142.175,141.510,141.546,27272140000
USDJPY,20240102,1500,141.548,142.015,141.499,141.925,31396240000
USDJPY,20240102,1600,141.924,141.998,141.711,141.892,19643610000
USDJPY,20240102,1700,141.891,141.998,141.877,141.971,10681280000
USDJPY,20240102,1800,141.970,142.001,141.847,141.949,6110500000
USDJPY,20240102,1900,141.947,142.000,141.901,141.946,4451360000
USDJPY,20240102,2000,141.947,141.974,141.803,141.966,6766210000
USDJPY,20240102,2100,141.966,142.017,141.943,141.978,3763220000
USDJPY,20240102,2200,141.971,142.056,141.856,142.041,1319890000
USDJPY,20240102,2300,142.041,142.181,142.041,142.173,3681440000
USDJPY,20240103,0000,142.174,142.174,141.858,141.954,7172550000
USDJPY,20240103,0100,141.954,142.135,141.907,142.013,6511920000
USDJPY,20240103,0200,142.013,142.063,141.984,142.034,5039700000
USDJPY,20240103,0300,142.037,142.041,141.877,141.889,5944930000
USDJPY,20240103,0400,141.886,141.943,141.858,141.904,4723190000
USDJPY,20240103,0500,141.904,142.132,141.904,142.123,4840480000
USDJPY,20240103,0600,142.120,142.131,142.010,142.088,9318630002
USDJPY,20240103,0700,142.087,142.468,142.035,142.418,18910250000
USDJPY,20240103,0800,142.417,142.645,142.396,142.572,16040880000
USDJPY,20240103,0900,142.573,142.710,142.499,142.637,13666460000
USDJPY,20240103,1000,142.638,142.794,142.599,142.649,15323090000
USDJPY,20240103,1100,142.648,142.980,142.591,142.932,25590590000
USDJPY,20240103,1200,142.931,142.989,142.789,142.932,30311060000
USDJPY,20240103,1300,142.934,143.083,142.816,143.017,40546040000
USDJPY,20240103,1400,143.017,143.410,142.961,143.204,40462810000
USDJPY,20240103,1500,143.222,143.727,142.809,143.599,52395190000
USDJPY,20240103,1600,143.599,143.599,143.338,143.556,31860709999
USDJPY,20240103,1700,143.555,143.727,143.495,143.609,18436280000
USDJPY,20240103,1800,143.607,143.671,143.465,143.564,17694480000
USDJPY,20240103,1900,143.564,143.731,143.136,143.235,41831720000
USDJPY,20240103,2000,143.237,143.276,143.116,143.237,16910060000
USDJPY,20240103,2100,143.238,143.307,143.229,143.281,5693950000
USDJPY,20240103,2200,143.277,143.277,143.102,143.136,2426230000
USDJPY,20240103,2300,143.140,143.145,142.948,142.995,8563290000
USDJPY,20240104,0000,142.995,143.320,142.853,143.266,22350910000
USDJPY,20240104,0100,143.268,143.448,143.118,143.428,15368270000
USDJPY,20240104,0200,143.427,143.486,143.348,143.471,13177950000
USDJPY,20240104,0300,143.470,143.471,143.225,143.343,12263680000
USDJPY,20240104,0400,143.343,143.603,143.330,143.565,12038529999
USDJPY,20240104,0500,143.568,143.893,143.565,143.775,22041830000
USDJPY,20240104,0600,143.777,143.807,143.514,143.526,25450029999
USDJPY,20240104,0700,143.527,143.583,143.179,143.373,37073390000
USDJPY,20240104,0800,143.373,143.644,143.360,143.588,31505630000
USDJPY,20240104,0900,143.588,143.891,143.562,143.864,35497820000
USDJPY,20240104,1000,143.865,144.267,143.865,144.250,35224830000
USDJPY,20240104,1100,144.252,144.293,144.131,144.255,29156770000
USDJPY,20240104,1200,144.254,144.263,144.062,144.217,31697780000
USDJPY,20240104,1300,144.216,144.551,144.117,144.535,26324480000
USDJPY,20240104,1400,144.534,144.850,144.518,144.783,27091900000
USDJPY,20240104,1500,144.783,144.800,144.470,144.661,37176380000
USDJPY,20240104,1600,144.660,144.660,144.459,144.590,33625680000
USDJPY,20240104,1700,144.589,144.648,144.511,144.596,12697620000
USDJPY,20240104,1800,144.597,144.710,144.548,144.600,10573820000
USDJPY,20240104,1900,144.600,144.641,144.513,144.578,7083100000
USDJPY,20240104,2000,144.577,144.610,144.513,144.588,7323800000
USDJPY,20240104,2100,144.589,144.667,144.574,144.622,4105810000
USDJPY,20240104,2200,144.621,144.630,144.533,144.578,1574610000
USDJPY,20240104,2300,144.579,144.775,144.575,144.772,3658480000
USDJPY,20240105,0000,144.772,144.900,144.659,144.798,19370910000
USDJPY,20240105,0100,144.799,144.842,144.669,144.740,22807050000
USDJPY,20240105,0200,144.742,144.840,144.676,144.815,18943229999
USDJPY,20240105,0300,144.815,144.953,144.771,144.924,16817109999
USDJPY,20240105,0400,144.923,144.947,144.800,144.847,18318910000
USDJPY,20240105,0500,144.846,144.873,144.658,144.729,20223130001
USDJPY,20240105,0600,144.727,145.367,144.695,145.238,33534110001
USDJPY,20240105,0700,145.240,145.253,144.965,145.075,34993590000
USDJPY,20240105,0800,145.074,145.103,144.852,145.075,30715990000
USDJPY,20240105,0900,145.080,145.202,145.002,145.184,24540740000
USDJPY,20240105,1000,145.185,145.374,145.176,145.210,26021590000
USDJPY,20240105,1100,145.214,145.352,145.165,145.266,19142410000
USDJPY,20240105,1200,145.269,145.297,145.069,145.092,17060030000
USDJPY,20240105,1300,145.092,145.976,145.052,145.465,55950080001
USDJPY,20240105,1400,145.465,145.484,144.928,145.086,59490740006
USDJPY,20240105,1500,145.085,145.085,143.806,144.127,77497320001
USDJPY,20240105,1600,144.127,144.542,144.065,144.529,43842530000
USDJPY,20240105,1700,144.523,144.829,144.521,144.745,32811560000
USDJPY,20240105,1800,144.746,144.894,144.611,144.633,19244330000
USDJPY,20240105,1900,144.631,144.700,144.495,144.660,22317620000
USDJPY,20240105,2000,144.659,144.766,144.624,144.747,9434890000
USDJPY,20240105,2100,144.747,144.789,144.549,144.603,5298680000
USDJPY,20240107,2200,144.453,144.608,144.382,144.540,961850000
USDJPY,20240107,2300,144.540,144.917,144.528,144.721,8885500000
USDJPY,20240108,0000,144.721,144.797,144.586,144.594,12155020000
USDJPY,20240108,0100,144.595,144.664,144.318,144.373,24426630000
USDJPY,20240108,0200,144.374,144.562,144.374,144.524,11391280000
USDJPY,20240108,0300,144.521,144.553,144.312,144.488,13927090001
USDJPY,20240108,0400,144.488,144.538,144.393,144.462,14933090000
USDJPY,20240108,0500,144.467,144.478,144.361,144.365,12328790000
USDJPY,20240108,0600,144.363,144.368,144.169,144.180,17269190000
USDJPY,20240108,0700,144.180,144.468,144.089,144.415,33210550000
USDJPY,20240108,0800,144.415,144.611,144.377,144.521,44459120000
USDJPY,20240108,0900,144.519,144.573,144.185,144.233,29606440001
USDJPY,20240108,1000,144.232,144.495,144.199,144.399,22221040000
USDJPY,20240108,1100,144.398,144.586,144.323,144.578,25306260000
USDJPY,20240108,1200,144.578,144.683,144.431,144.475,23623990000
USDJPY,20240108,1300,144.472,144.573,144.264,144.453,34175660000
USDJPY,20240108,1400,144.453,144.468,144.077,144.095,42472510000
USDJPY,20240108,1500,144.098,144.165,143.852,143.935,39327860001
USDJPY,20240108,1600,143.933,143.956,143.661,143.897,30426760000
USDJPY,20240108,1700,143.897,143.986,143.805,143.963,19139760000
USDJPY,20240108,1800,143.966,144.182,143.955,144.142,12073410000
USDJPY,20240108,1900,144.141,144.172,144.070,144.103,15778680000
USDJPY,20240108,2000,144.104,144.269,144.071,144.157,11859390000
USDJPY,20240108,2100,144.159,144.238,144.113,144.223,5318630000
USDJPY,20240108,2200,144.223,144.241,144.184,144.222,1833760000
USDJPY,20240108,2300,144.229,144.280,144.101,144.224,4980360000
USDJPY,20240109,0000,144.223,144.258,143.852,143.928,20156350000
USDJPY,20240109,0100,143.928,143.974,143.451,143.481,26656230000
USDJPY,20240109,0200,143.480,143.703,143.419,143.680,19621030000
USDJPY,20240109,0300,143.679,143.689,143.498,143.625,12137710000
USDJPY,20240109,0400,143.625,143.688,143.569,143.585,11626150000
USDJPY,20240109,0500,143.587,143.882,143.581,143.789,10319820000
USDJPY,20240109,0600,143.787,144.103,143.787,144.067,14780030000
