<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USDJPY,20231229,2155,140.984,140.984,140.968,140.975,27000000
USDJPY,20240101,2200,140.843,140.852,140.840,140.840,4800000
USDJPY,20240101,2205,140.841,140.842,140.841,140.842,2400000
USDJPY,20240101,2210,140.848,140.885,140.839,140.839,21920000
USDJPY,20240101,2215,140.841,140.844,140.841,140.844,6900000
USDJPY,20240101,2220,140.848,140.860,140.843,140.860,96520000
USDJPY,20240101,2225,140.850,140.931,140.850,140.874,135770000
USDJPY,20240101,2230,140.874,140.899,140.874,140.891,40100000
USDJPY,20240101,2235,140.898,140.961,140.858,140.859,66450000
USDJPY,20240101,2240,140.859,140.869,140.859,140.868,37350000
USDJPY,20240101,2245,140.868,140.882,140.868,140.875,42300000
USDJPY,20240101,2250,140.878,140.878,140.859,140.869,30300000
USDJPY,20240101,2255,140.865,140.882,140.861,140.875,93070000
USDJPY,20240101,2300,140.883,140.902,140.859,140.877,461270000
USDJPY,20240101,2305,140.877,140.878,140.817,140.819,504710000
USDJPY,20240101,2310,140.819,140.828,140.811,140.822,520720000
USDJPY,20240101,2315,140.821,140.896,140.821,140.883,723150000
USDJPY,20240101,2320,140.882,140.899,140.861,140.898,862350000
USDJPY,20240101,2325,140.898,140.939,140.893,140.936,680170000
USDJPY,20240101,2330,140.935,140.957,140.921,140.934,453800000
USDJPY,20240101,2335,140.932,140.944,140.901,140.941,408300000
USDJPY,20240101,2340,140.940,140.973,140.940,140.969,267600000
USDJPY,20240101,2345,140.968,141.110,140.966,141.089,523450000
USDJPY,20240101,2350,141.088,141.111,141.054,141.108,1074340000
USDJPY,20240101,2355,141.106,141.128,141.102,141.110,1114830000
USDJPY,20240102,0000,141.110,141.138,141.096,141.107,1095880000
USDJPY,20240102,0005,141.106,141.167,141.106,141.143,836160000
USDJPY,20240102,0010,141.145,141.175,141.128,141.169,338310000
USDJPY,20240102,0015,141.171,141.263,141.154,141.258,877050000
USDJPY,20240102,0020,141.258,141.331,141.254,141.325,865440000
USDJPY,20240102,0025,141.323,141.378,141.291,141.307,889750000
USDJPY,20240102,0030,141.310,141.331,141.253,141.259,1412059999
USDJPY,20240102,0035,141.260,141.296,141.234,141.288,946640001
USDJPY,20240102,0040,141.288,141.290,141.243,141.276,1113640000
USDJPY,20240102,0045,141.276,141.301,141.208,141.226,1335800000
