<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USDJPY,20251231,2100,156.672,156.673,156.652,156.658,119550000
USDJPY,20260101,2200,156.501,156.679,156.497,156.657,561170000
USDJPY,20260101,2300,156.680,156.879,156.642,156.722,2959370000
USDJPY,20260102,0000,156.720,156.766,156.542,156.565,3251610000
USDJPY,20260102,0100,156.564,156.655,156.517,156.636,3523390000
USDJPY,20260102,0200,156.638,156.687,156.594,156.681,1680320000
USDJPY,20260102,0300,156.682,156.723,156.650,156.715,1323610000
USDJPY,20260102,0400,156.716,156.858,156.716,156.822,1511740000
USDJPY,20260102,0500,156.823,156.942,156.817,156.909,1617820000
USDJPY,20260102,0600,156.909,156.994,156.909,156.953,3511990000
USDJPY,20260102,0700,156.953,156.992,156.830,156.861,4900640000
USDJPY,20260102,0800,156.860,156.996,156.817,156.877,6345790000
USDJPY,20260102,0900,156.878,156.916,156.767,156.914,5723450000
USDJPY,20260102,1000,156.912,156.926,156.802,156.840,3274220000
USDJPY,20260102,1100,156.840,156.946,156.823,156.917,2933010000
USDJPY,20260102,1200,156.917,156.999,156.870,156.941,2883030000
USDJPY,20260102,1300,156.938,156.959,156.830,156.904,5410350000
USDJPY,20260102,1400,156.905,156.918,156.806,156.851,7049560000
USDJPY,20260102,1500,156.852,156.893,156.562,156.588,9967990000
USDJPY,20260102,1600,156.587,156.769,156.560,156.724,6161780000
USDJPY,20260102,1700,156.723,156.781,156.707,156.771,2906460000
USDJPY,20260102,1800,156.768,156.948,156.763,156.894,3190900000
USDJPY,20260102,1900,156.892,156.954,156.844,156.855,2828590000
USDJPY,20260102,2000,156.855,156.910,156.844,156.874,2721900000
USDJPY,20260102,2100,156.874,156.887,156.802,156.840,2420980000
USDJPY,20260104,2200,156.699,156.807,156.699,156.784,1756280000
USDJPY,20260104,2300,156.784,157.015,156.719,156.998,4513550000
USDJPY,20260105,0000,156.998,157.250,156.918,157.147,9478270000
USDJPY,20260105,0100,157.146,157.182,156.939,157.014,7339420000
USDJPY,20260105,0200,157.011,157.203,156.951,157.148,4248080000
USDJPY,20260105,0300,157.146,157.237,157.127,157.232,4247020000
USDJPY,20260105,0400,157.233,157.296,157.222,157.281,2931170000
USDJPY,20260105,0500,157.283,157.292,157.116,157.180,3029250000
USDJPY,20260105,0600,157.183,157.231,157.016,157.028,4221840000
USDJPY,20260105,0700,157.027,157.079,156.974,156.988,5623830000
USDJPY,20260105,0800,156.987,157.040,156.685,156.833,10290380000
USDJPY,20260105,0900,156.831,156.999,156.782,156.927,5397520000
USDJPY,20260105,1000,156.925,156.939,156.573,156.602,7890870000
USDJPY,20260105,1100,156.603,156.660,156.531,156.620,9772520000
USDJPY,20260105,1200,156.622,156.686,156.464,156.646,7206780000
USDJPY,20260105,1300,156.647,156.977,156.642,156.825,11771300000
USDJPY,20260105,1400,156.821,156.853,156.705,156.736,11570720000
USDJPY,20260105,1500,156.742,156.751,156.453,156.578,13221240000
USDJPY,20260105,1600,156.577,156.586,156.303,156.323,8390580000
USDJPY,20260105,1700,156.325,156.383,156.265,156.328,4857050000
USDJPY,20260105,1800,156.331,156.356,156.181,156.186,4163520000
USDJPY,20260105,1900,156.186,156.244,156.116,156.233,7630400000
USDJPY,20260105,2000,156.233,156.338,156.183,156.336,5132520000
USDJPY,20260105,2100,156.335,156.417,156.321,156.359,2462730000
USDJPY,20260105,2200,156.359,156.511,156.270,156.511,1410980000
USDJPY,20260105,2300,156.511,156.642,156.476,156.614,2505700000
USDJPY,20260106,0000,156.615,156.797,156.527,156.538,8091600000
USDJPY,20260106,0100,156.536,156.708,156.451,156.452,6001940000
USDJPY,20260106,0200,156.451,156.499,156.271,156.310,4200690000
USDJPY,20260106,0300,156.312,156.436,156.295,156.361,3548090000
USDJPY,20260106,0400,156.360,156.437,156.238,156.380,3982390000
USDJPY,20260106,0500,156.382,156.446,156.288,156.429,3714490000
USDJPY,20260106,0600,156.428,156.476,156.331,156.367,5530690000
USDJPY,20260106,0700,156.367,156.371,156.230,156.334,7869460000
USDJPY,20260106,0800,156.334,156.388,156.163,156.319,7789530000
USDJPY,20260106,0900,156.318,156.483,156.230,156.379,7893510000
USDJPY,20260106,1000,156.378,156.464,156.278,156.445,6030880000
USDJPY,20260106,1100,156.444,156.535,156.406,156.447,5363590000
USDJPY,20260106,1200,156.446,156.515,156.296,156.494,6101130000
USDJPY,20260106,1300,156.494,156.580,156.350,156.369,11448370000
USDJPY,20260106,1400,156.368,156.476,156.300,156.406,9260110000
USDJPY,20260106,1500,156.406,156.690,156.403,156.575,12148740000
USDJPY,20260106,1600,156.575,156.735,156.569,156.705,8143010000
USDJPY,20260106,1700,156.704,156.742,156.672,156.691,4146840000
USDJPY,20260106,1800,156.689,156.747,156.663,156.737,2490090000
USDJPY,20260106,1900,156.735,156.744,156.609,156.629,4117390000
USDJPY,20260106,2000,156.629,156.651,156.569,156.649,2797490000
USDJPY,20260106,2100,156.649,156.685,156.621,156.622,1906120000
USDJPY,20260106,2200,156.623,156.646,156.575,156.619,1025990000
USDJPY,20260106,2300,156.614,156.705,156.613,156.666,1286430000
USDJPY,20260107,0000,156.663,156.806,156.541,156.635,6428770000
USDJPY,20260107,0100,156.633,156.745,156.561,156.714,4239210000
USDJPY,20260107,0200,156.717,156.730,156.642,156.646,2693830000
USDJPY,20260107,0300,156.647,156.653,156.506,156.561,2905490000
USDJPY,20260107,0400,156.562,156.582,156.510,156.539,2977730000
USDJPY,20260107,0500,156.538,156.540,156.366,156.386,2976880000
USDJPY,20260107,0600,156.387,156.392,156.304,156.344,3923760000
USDJPY,20260107,0700,156.339,156.512,156.295,156.486,6477320000
USDJPY,20260107,0800,156.488,156.584,156.458,156.524,5863760000
USDJPY,20260107,0900,156.527,156.575,156.431,156.462,5155090000
USDJPY,20260107,1000,156.463,156.536,156.441,156.527,5765690000
USDJPY,20260107,1100,156.527,156.582,156.510,156.515,2238000000
USDJPY,20260107,1200,156.512,156.564,156.475,156.513,5117340000
USDJPY,20260107,1300,156.514,156.584,156.361,156.416,9126010000
USDJPY,20260107,1400,156.420,156.555,156.394,156.404,11489910000
