<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USDJPY,20131231,2155,105.273,105.273,105.253,105.259,15500000
USDJPY,20140101,2200,105.229,105.328,105.229,105.326,34480000
USDJPY,20140101,2205,105.310,105.351,105.310,105.351,56660000
USDJPY,20140101,2210,105.355,105.379,105.338,105.356,90690000
USDJPY,20140101,2215,105.357,105.376,105.341,105.347,66160000
USDJPY,20140101,2220,105.346,105.368,105.342,105.355,43940000
USDJPY,20140101,2225,105.355,105.381,105.331,105.342,121170000
USDJPY,20140101,2230,105.346,105.349,105.341,105.342,51490000
USDJPY,20140101,2235,105.341,105.360,105.338,105.344,18250000
USDJPY,20140101,2240,105.346,105.360,105.341,105.352,29380000
USDJPY,20140101,2245,105.345,105.355,105.343,105.349,16480000
USDJPY,20140101,2250,105.347,105.369,105.347,105.358,49970000
USDJPY,20140101,2255,105.359,105.372,105.352,105.363,74270000
USDJPY,20140101,2300,105.360,105.400,105.317,105.374,145770000
USDJPY,20140101,2305,105.352,105.370,105.342,105.365,45970000
USDJPY,20140101,2310,105.364,105.384,105.361,105.384,105370000
USDJPY,20140101,2315,105.386,105.388,105.359,105.359,90360000
USDJPY,20140101,2320,105.359,105.365,105.359,105.361,47130000
USDJPY,20140101,2325,105.362,105.363,105.347,105.354,79460000
USDJPY,20140101,2330,105.354,105.360,105.313,105.320,171780000
USDJPY,20140101,2335,105.324,105.333,105.318,105.333,68350000
USDJPY,20140101,2340,105.332,105.332,105.276,105.299,173560000
USDJPY,20140101,2345,105.299,105.315,105.287,105.313,91790000
USDJPY,20140101,2350,105.317,105.343,105.317,105.333,236030000
USDJPY,20140101,2355,105.335,105.342,105.327,105.331,121990000
USDJPY,20140102,0000,105.331,105.331,105.285,105.285,361500000
USDJPY,20140102,0005,105.287,105.293,105.246,105.278,194170000
USDJPY,20140102,0010,105.280,105.286,105.272,105.282,98570000
USDJPY,20140102,0015,105.282,105.297,105.282,105.289,62710000
USDJPY,20140102,0020,105.289,105.297,105.286,105.291,69190000
USDJPY,20140102,0025,105.291,105.297,105.290,105.293,32550000
USDJPY,20140102,0030,105.291,105.296,105.273,105.281,259720000
USDJPY,20140102,0035,105.282,105.285,105.251,105.269,194280000
USDJPY,20140102,0040,105.268,105.275,105.268,105.274,220970000
USDJPY,20140102,0045,105.274,105.291,105.274,105.286,226630000
USDJPY,20140102,0050,105.288,105.313,105.286,105.310,438620000
USDJPY,20140102,0055,105.313,105.320,105.309,105.318,237960000
USDJPY,20140102,0100,105.318,105.331,105.298,105.301,249290000
USDJPY,20140102,0105,105.301,105.306,105.285,105.289,149340000
USDJPY,20140102,0110,105.289,105.324,105.289,105.315,130910000
USDJPY,20140102,0115,105.315,105.315,105.300,105.300,63610000
USDJPY,20140102,0120,105.300,105.300,105.273,105.274,269700000
USDJPY,20140102,0125,105.276,105.316,105.274,105.311,304490000
USDJPY,20140102,0130,105.311,105.318,105.296,105.312,102830000
USDJPY,20140102,0135,105.311,105.314,105.293,105.293,66200000
USDJPY,20140102,0140,105.293,105.302,105.289,105.294,100330000
USDJPY,20140102,0145,105.289,105.303,105.274,105.298,308520000
USDJPY,20140102,0150,105.299,105.299,105.292,105.294,119930000
USDJPY,20140102,0155,105.295,105.303,105.291,105.302,63850000
USDJPY,20140102,0200,105.301,105.324,105.292,105.307,418060000
USDJPY,20140102,0205,105.309,105.311,105.293,105.294,404290000
USDJPY,20140102,0210,105.293,105.295,105.266,105.276,458210000
USDJPY,20140102,0215,105.275,105.290,105.260,105.284,454720000
USDJPY,20140102,0220,105.284,105.294,105.277,105.291,155540000
USDJPY,20140102,0225,105.292,105.293,105.279,105.280,142680000
USDJPY,20140102,0230,105.280,105.288,105.262,105.267,285710000
USDJPY,20140102,0235,105.267,105.273,105.263,105.268,114320000
USDJPY,20140102,0240,105.269,105.270,105.259,105.264,68470000
USDJPY,20140102,0245,105.261,105.261,105.238,105.241,416500000
USDJPY,20140102,0250,105.241,105.245,105.237,105.240,129010000
USDJPY,20140102,0255,105.241,105.247,105.240,105.241,271710000
USDJPY,20140102,0300,105.241,105.253,105.240,105.242,203310000
USDJPY,20140102,0305,105.242,105.247,105.240,105.244,99660000
USDJPY,20140102,0310,105.244,105.276,105.243,105.267,179070000
USDJPY,20140102,0315,105.268,105.285,105.267,105.267,267030000
USDJPY,20140102,0320,105.274,105.281,105.269,105.277,186430000
USDJPY,20140102,0325,105.279,105.292,105.273,105.278,326190000
USDJPY,20140102,0330,105.278,105.283,105.268,105.273,175180000
USDJPY,20140102,0335,105.272,105.282,105.272,105.279,185400000
USDJPY,20140102,0340,105.275,105.299,105.275,105.291,331090000
USDJPY,20140102,0345,105.291,105.293,105.285,105.293,194100000
USDJPY,20140102,0350,105.293,105.293,105.277,105.280,162350000
USDJPY,20140102,0355,105.280,105.284,105.278,105.284,159920000
USDJPY,20140102,0400,105.282,105.287,105.278,105.278,129130000
USDJPY,20140102,0405,105.279,105.284,105.277,105.279,108510000
USDJPY,20140102,0410,105.282,105.284,105.278,105.280,163230000
USDJPY,20140102,0415,105.284,105.293,105.280,105.288,240340000
USDJPY,20140102,0420,105.287,105.287,105.276,105.279,241620000
USDJPY,20140102,0425,105.279,105.282,105.265,105.272,99080000
USDJPY,20140102,0430,105.274,105.291,105.267,105.291,277900000
USDJPY,20140102,0435,105.291,105.292,105.277,105.279,217540000
USDJPY,20140102,0440,105.282,105.295,105.276,105.285,189010000
USDJPY,20140102,0445,105.286,105.302,105.285,105.296,314950000
USDJPY,20140102,0450,105.295,105.304,105.282,105.287,333060000
USDJPY,20140102,0455,105.288,105.297,105.285,105.292,152480000
