<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
XAUUSD,20191231,2100,1516.778,1517.085,1516.685,1516.915,7950
XAUUSD,20200101,2300,1518.768,1521.068,1518.075,1518.285,585320
XAUUSD,20200102,0000,1518.305,1519.305,1518.008,1518.625,671570
XAUUSD,20200102,0100,1518.605,1520.835,1517.115,1519.365,1408770
XAUUSD,20200102,0200,1519.345,1520.855,1518.335,1520.555,955540
XAUUSD,20200102,0300,1520.555,1521.135,1519.785,1520.275,583530
XAUUSD,20200102,0400,1520.275,1520.355,1519.485,1519.485,275050
XAUUSD,20200102,0500,1519.425,1520.375,1518.938,1520.185,635190
XAUUSD,20200102,0600,1520.185,1520.945,1519.158,1520.925,1288650
XAUUSD,20200102,0700,1520.945,1521.375,1519.028,1519.128,1763970
XAUUSD,20200102,0800,1519.135,1520.968,1518.395,1520.748,3020130
XAUUSD,20200102,0900,1520.758,1521.348,1519.515,1520.625,1629270
XAUUSD,20200102,1000,1520.655,1521.348,1519.588,1521.168,1507620
XAUUSD,20200102,1100,1521.188,1522.365,1521.135,1521.955,1259530
XAUUSD,20200102,1200,1521.955,1523.615,1521.555,1523.048,1519700
XAUUSD,20200102,1300,1522.995,1528.978,1522.648,1527.998,3803870
XAUUSD,20200102,1400,1528.008,1530.498,1525.668,1526.255,5420460
XAUUSD,20200102,1500,1526.245,1531.328,1525.788,1529.108,4537910
XAUUSD,20200102,1600,1529.115,1529.168,1525.208,1525.455,3895850
XAUUSD,20200102,1700,1525.468,1526.035,1522.715,1525.208,3080810
XAUUSD,20200102,1800,1525.205,1526.485,1524.848,1526.298,1918970
XAUUSD,20200102,1900,1526.298,1526.908,1525.508,1526.708,1911210
XAUUSD,20200102,2000,1526.708,1528.548,1526.448,1528.298,2304270
XAUUSD,20200102,2100,1528.308,1528.948,1527.835,1528.825,536785
XAUUSD,20200102,2300,1528.568,1529.098,1527.848,1528.728,365580
XAUUSD,20200103,0000,1528.728,1530.588,1528.728,1530.475,658750
XAUUSD,20200103,0100,1530.475,1535.748,1529.868,1534.848,1686970
XAUUSD,20200103,0200,1534.928,1540.968,1532.535,1538.205,3510390
XAUUSD,20200103,0300,1538.255,1540.498,1537.658,1538.548,1803630
XAUUSD,20200103,0400,1538.548,1539.585,1537.398,1538.715,1889060
XAUUSD,20200103,0500,1538.698,1543.768,1538.288,1541.378,3758930
XAUUSD,20200103,0600,1541.398,1542.538,1540.978,1541.215,2119330
XAUUSD,20200103,0700,1541.218,1543.918,1540.108,1543.435,4112660
XAUUSD,20200103,0800,1543.455,1545.378,1543.000,1544.265,3826956
XAUUSD,20200103,0900,1544.285,1550.345,1544.125,1546.765,4226700
XAUUSD,20200103,1000,1546.835,1549.545,1545.255,1548.465,3018720
XAUUSD,20200103,1100,1548.495,1551.445,1547.875,1549.308,2983140
XAUUSD,20200103,1200,1549.318,1549.968,1545.335,1546.365,3643710
XAUUSD,20200103,1300,1546.358,1547.315,1540.848,1546.228,4386250
XAUUSD,20200103,1400,1546.288,1548.068,1544.048,1545.908,5696320
XAUUSD,20200103,1500,1545.948,1550.988,1545.705,1548.808,8210920
XAUUSD,20200103,1600,1548.808,1550.468,1547.528,1548.238,4021170
XAUUSD,20200103,1700,1548.148,1548.838,1546.938,1548.808,2016990
XAUUSD,20200103,1800,1548.738,1553.515,1548.328,1549.475,4061560
XAUUSD,20200103,1900,1549.445,1549.738,1546.158,1547.795,3393270
XAUUSD,20200103,2000,1547.775,1548.978,1546.845,1548.978,2889020
XAUUSD,20200103,2100,1548.978,1552.148,1548.548,1551.515,905615
XAUUSD,20200105,2300,1559.735,1585.625,1559.735,1569.145,3656015
XAUUSD,20200106,0000,1569.145,1570.755,1566.995,1569.475,1930440
XAUUSD,20200106,0100,1569.465,1579.965,1568.725,1577.698,5869070
XAUUSD,20200106,0200,1577.678,1577.935,1575.158,1577.495,2259230
XAUUSD,20200106,0300,1577.475,1579.455,1576.825,1578.045,2129490
XAUUSD,20200106,0400,1578.045,1578.235,1574.805,1576.025,2030300
XAUUSD,20200106,0500,1576.025,1577.305,1573.445,1574.915,2243100
XAUUSD,20200106,0600,1574.905,1577.735,1573.585,1574.325,2841710
XAUUSD,20200106,0700,1574.325,1575.145,1570.145,1574.155,3917220
XAUUSD,20200106,0800,1574.165,1576.435,1571.265,1575.645,4829950
XAUUSD,20200106,0900,1575.635,1577.975,1574.155,1577.215,3024240
XAUUSD,20200106,1000,1577.215,1577.605,1575.015,1577.568,1882810
XAUUSD,20200106,1100,1577.545,1579.278,1576.065,1578.835,1942520
XAUUSD,20200106,1200,1578.765,1578.975,1576.105,1576.595,2505540
XAUUSD,20200106,1300,1576.595,1577.655,1571.388,1574.185,3705280
XAUUSD,20200106,1400,1574.195,1576.608,1572.525,1572.885,5037890
XAUUSD,20200106,1500,1572.885,1574.125,1560.855,1564.165,6288060
XAUUSD,20200106,1600,1564.258,1565.668,1560.755,1564.665,5288210
XAUUSD,20200106,1700,1564.688,1565.288,1562.075,1564.465,2885760
XAUUSD,20200106,1800,1564.475,1568.468,1563.825,1566.478,3531230
XAUUSD,20200106,1900,1566.478,1567.668,1562.935,1564.765,2733766
XAUUSD,20200106,2000,1564.795,1566.795,1564.225,1565.508,2738890
XAUUSD,20200106,2100,1565.508,1566.665,1565.005,1565.445,409340
XAUUSD,20200106,2300,1565.108,1565.625,1563.325,1563.678,612020
XAUUSD,20200107,0000,1563.695,1565.505,1562.515,1564.255,740510
XAUUSD,20200107,0100,1564.235,1564.575,1556.445,1557.805,2180890
XAUUSD,20200107,0200,1557.825,1560.828,1555.248,1558.938,2863250
XAUUSD,20200107,0300,1558.928,1559.905,1558.295,1558.958,1671080
XAUUSD,20200107,0400,1558.955,1559.785,1557.935,1559.165,1040520
XAUUSD,20200107,0500,1559.168,1562.925,1558.965,1562.425,2358120
XAUUSD,20200107,0600,1562.445,1569.218,1562.295,1564.668,4820370
XAUUSD,20200107,0700,1564.668,1570.845,1564.495,1569.675,3337000
XAUUSD,20200107,0800,1569.635,1570.408,1564.485,1564.835,4126990
XAUUSD,20200107,0900,1564.845,1566.795,1563.198,1566.135,2422500
XAUUSD,20200107,1000,1566.095,1567.135,1565.055,1565.608,2436040
