<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
XAUUSD,20251231,2100,4318.055,4318.719,4317.698,4318.679,28690
XAUUSD,20260101,2300,4323.698,4351.005,4323.198,4347.805,863050
XAUUSD,20260102,0000,4347.798,4355.545,4341.075,4353.715,1395360
XAUUSD,20260102,0100,4353.695,4355.575,4344.295,4347.685,1987030
XAUUSD,20260102,0200,4347.635,4362.915,4344.735,4362.585,1653350
XAUUSD,20260102,0300,4362.555,4375.398,4361.785,4374.748,2161360
XAUUSD,20260102,0400,4374.759,4378.135,4371.038,4372.898,1660270
XAUUSD,20260102,0500,4373.215,4381.495,4370.598,4380.335,1382140
XAUUSD,20260102,0600,4380.345,4380.548,4372.965,4374.315,1228500
XAUUSD,20260102,0700,4374.355,4383.165,4371.635,4382.525,1404980
XAUUSD,20260102,0800,4382.545,4397.315,4380.555,4386.598,1676290
XAUUSD,20260102,0900,4386.598,4391.248,4382.858,4385.055,1832260
XAUUSD,20260102,1000,4385.085,4398.235,4384.198,4395.818,1623800
XAUUSD,20260102,1100,4395.915,4398.998,4390.245,4392.535,1315330
XAUUSD,20260102,1200,4392.565,4397.875,4384.705,4393.978,1674260
XAUUSD,20260102,1300,4393.978,4401.928,4361.695,4365.785,4294600
XAUUSD,20260102,1400,4365.905,4373.495,4347.635,4353.275,2783080
XAUUSD,20260102,1500,4352.955,4356.905,4330.065,4335.095,3267710
XAUUSD,20260102,1600,4335.055,4337.095,4314.845,4326.335,3252220
XAUUSD,20260102,1700,4326.305,4333.215,4322.475,4322.825,2349710
XAUUSD,20260102,1800,4322.785,4323.425,4309.618,4314.955,2220810
XAUUSD,20260102,1900,4315.325,4326.005,4315.325,4317.845,1822480
XAUUSD,20260102,2000,4317.815,4331.345,4316.925,4331.325,2220480
XAUUSD,20260102,2100,4331.405,4333.165,4326.635,4331.575,1001610
XAUUSD,20260104,2300,4360.875,4375.665,4344.425,4372.345,2530480
XAUUSD,20260105,0000,4372.275,4396.475,4370.025,4394.765,2361510
XAUUSD,20260105,0100,4394.905,4421.195,4390.558,4401.655,4764380
XAUUSD,20260105,0200,4401.695,4409.095,4388.365,4404.985,4092570
XAUUSD,20260105,0300,4404.948,4413.875,4399.485,4399.615,2885470
XAUUSD,20260105,0400,4399.645,4408.055,4397.005,4403.865,1517550
XAUUSD,20260105,0500,4403.835,4414.335,4400.978,4412.185,2167180
XAUUSD,20260105,0600,4412.125,4426.095,4411.025,4420.235,4550810
XAUUSD,20260105,0700,4420.205,4424.695,4416.475,4421.465,2748740
XAUUSD,20260105,0800,4421.465,4433.675,4419.025,4429.885,3143980
XAUUSD,20260105,0900,4429.655,4438.025,4425.798,4434.525,2587480
XAUUSD,20260105,1000,4434.485,4439.675,4430.505,4436.085,1829810
XAUUSD,20260105,1100,4436.115,4437.305,4410.285,4419.035,2872130
XAUUSD,20260105,1200,4419.065,4421.225,4405.265,4409.455,2189620
XAUUSD,20260105,1300,4409.485,4418.765,4396.045,4416.635,2983290
XAUUSD,20260105,1400,4416.685,4442.575,4416.685,4435.998,3552200
XAUUSD,20260105,1500,4435.998,4455.425,4435.345,4448.275,3455010
XAUUSD,20260105,1600,4448.255,4454.125,4438.125,4441.535,2194560
XAUUSD,20260105,1700,4441.815,4448.855,4432.095,4443.325,2225870
XAUUSD,20260105,1800,4443.295,4448.348,4439.475,4448.348,1602660
XAUUSD,20260105,1900,4448.348,4449.075,4434.585,4439.485,1668080
XAUUSD,20260105,2000,4439.448,4446.715,4437.735,4444.555,1747490
XAUUSD,20260105,2100,4444.545,4449.165,4443.058,4448.345,1628290
XAUUSD,20260105,2300,4446.615,4459.815,4436.555,4440.285,892920
XAUUSD,20260106,0000,4440.285,4444.548,4429.988,4436.285,1221020
XAUUSD,20260106,0100,4436.325,4452.145,4427.725,4450.325,2889120
XAUUSD,20260106,0200,4450.465,4461.125,4448.395,4454.695,2801640
XAUUSD,20260106,0300,4454.695,4467.885,4453.875,4467.305,2001130
XAUUSD,20260106,0400,4467.298,4468.275,4461.475,4467.205,2485960
XAUUSD,20260106,0500,4467.175,4473.915,4449.198,4451.725,3345040
XAUUSD,20260106,0600,4452.115,4466.655,4451.205,4465.595,2171650
XAUUSD,20260106,0700,4465.565,4470.035,4456.695,4459.125,1476640
XAUUSD,20260106,0800,4459.105,4475.485,4456.975,4467.948,3005470
XAUUSD,20260106,0900,4467.948,4468.185,4444.498,4446.055,5003310
XAUUSD,20260106,1000,4446.085,4455.549,4442.095,4451.455,2587500
XAUUSD,20260106,1100,4451.425,4464.198,4448.285,4462.948,2732830
XAUUSD,20260106,1200,4463.048,4466.065,4458.478,4463.365,3773200
XAUUSD,20260106,1300,4463.345,4470.175,4453.535,4467.695,4930010
XAUUSD,20260106,1400,4467.735,4489.448,4464.165,4487.425,4608930
XAUUSD,20260106,1500,4487.255,4490.615,4462.955,4478.025,5552290
XAUUSD,20260106,1600,4477.978,4488.575,4471.178,4487.915,3416500
XAUUSD,20260106,1700,4487.945,4491.248,4481.345,4489.148,2610610
XAUUSD,20260106,1800,4489.098,4493.775,4481.728,4488.215,4199060
XAUUSD,20260106,1900,4488.245,4489.165,4477.195,4481.195,3945120
XAUUSD,20260106,2000,4481.155,4496.498,4480.135,4493.448,3771500
XAUUSD,20260106,2100,4493.448,4497.048,4491.548,4493.185,1042530
XAUUSD,20260106,2300,4494.298,4500.348,4491.935,4493.235,839620
XAUUSD,20260107,0000,4493.185,4494.475,4481.999,4491.735,1414140
XAUUSD,20260107,0100,4491.695,4495.595,4460.625,4465.275,3824020
XAUUSD,20260107,0200,4465.255,4478.405,4459.308,4474.255,3089070
XAUUSD,20260107,0300,4474.305,4479.965,4471.365,4474.505,1867080
XAUUSD,20260107,0400,4474.525,4475.755,4463.165,4464.515,1736740
XAUUSD,20260107,0500,4464.495,4470.155,4442.935,4453.975,2488254
XAUUSD,20260107,0600,4453.975,4460.105,4441.248,4443.798,2496400
XAUUSD,20260107,0700,4443.798,4464.625,4441.375,4460.935,1672610
XAUUSD,20260107,0800,4460.785,4474.648,4459.085,4468.075,1479580
XAUUSD,20260107,0900,4467.895,4468.415,4459.215,4463.215,2741780
XAUUSD,20260107,1000,4463.165,4467.475,4458.495,4464.095,2273070
XAUUSD,20260107,1100,4464.065,4464.745,4446.255,4447.135,1803460
XAUUSD,20260107,1200,4447.505,4454.805,4439.135,4444.685,2711730
XAUUSD,20260107,1300,4444.609,4452.895,4427.505,4452.648,3621410
XAUUSD,20260107,1400,4452.655,4454.095,4435.485,4444.548,3294800
XAUUSD,20260107,1500,4444.548,4452.055,4423.135,4445.895,3531380
XAUUSD,20260107,1600,4445.845,4468.075,4443.615,4463.865,4532510
XAUUSD,20260107,1700,4463.875,4465.095,4449.455,4451.725,3346870
XAUUSD,20260107,1800,4451.685,4458.655,4446.815,4451.835,2287080
XAUUSD,20260107,1900,4451.865,4457.915,4445.105,4456.875,2168220
XAUUSD,20260107,2000,4456.835,4461.365,4450.325,4451.805,3330820
XAUUSD,20260107,2100,4452.075,4456.505,4449.688,4455.635,609490
XAUUSD,20260107,2300,4457.498,4463.735,4456.898,4463.205,642620
XAUUSD,20260108,0000,4463.145,4466.075,4446.395,4449.815,2244150
XAUUSD,20260108,0100,4449.835,4460.025,4441.678,4448.065,3148040
XAUUSD,20260108,0200,4448.065,4449.205,4433.275,4440.975,2975310
XAUUSD,20260108,0300,4440.965,4446.195,4437.005,4439.925,2713240
XAUUSD,20260108,0400,4439.925,4440.255,4429.838,4431.275,2364780
XAUUSD,20260108,0500,4431.225,4432.105,4415.215,4425.395,2963040
XAUUSD,20260108,0600,4425.375,4437.348,4415.415,4433.025,3052150
XAUUSD,20260108,0700,4432.995,4439.448,4428.005,4430.745,1844370
XAUUSD,20260108,0800,4430.725,4433.175,4419.438,4431.435,2336560
XAUUSD,20260108,0900,4431.239,4435.145,4425.825,4432.405,1450440
XAUUSD,20260108,1000,4432.425,4434.615,4422.755,4433.048,1453250
XAUUSD,20260108,1100,4433.048,4433.048,4421.885,4422.675,1439910
XAUUSD,20260108,1200,4422.735,4431.055,4407.485,4427.415,2180240
XAUUSD,20260108,1300,4427.375,4435.605,4417.095,4423.515,6509660
XAUUSD,20260108,1400,4423.575,4439.185,4418.915,4432.755,3243390
XAUUSD,20260108,1500,4432.725,4456.315,4427.615,4454.015,3329800
XAUUSD,20260108,1600,4454.035,4464.255,4446.695,4462.935,2977040
XAUUSD,20260108,1700,4462.945,4465.165,4457.275,4463.165,1856190
XAUUSD,20260108,1800,4463.175,4463.175,4447.675,4449.235,2376130
XAUUSD,20260108,1900,4449.208,4452.775,4444.565,4451.895,1787260
XAUUSD,20260108,2000,4451.875,4477.898,4451.285,4475.925,2402390
XAUUSD,20260108,2100,4475.835,4479.398,4472.398,4477.555,956510
XAUUSD,20260108,2300,4478.698,4483.548,4472.515,4475.485,739950
XAUUSD,20260109,0000,4475.445,4476.675,4459.525,4462.218,1668070
XAUUSD,20260109,0100,4462.238,4469.805,4452.585,4468.745,3004150
XAUUSD,20260109,0200,4468.715,4476.295,4465.425,4469.305,1716950
XAUUSD,20260109,0300,4469.275,4469.765,4460.215,4463.905,1566800
XAUUSD,20260109,0400,4463.875,4466.785,4460.558,4464.465,876210
XAUUSD,20260109,0500,4464.445,4471.535,4457.985,4467.845,1368810
XAUUSD,20260109,0600,4468.335,4477.125,4465.815,4473.805,1860480
XAUUSD,20260109,0700,4473.875,4475.235,4468.299,4469.935,1093510
XAUUSD,20260109,0800,4470.025,4476.685,4463.905,4468.345,1623320
XAUUSD,20260109,0900,4468.295,4477.445,4468.245,4470.815,1251430
XAUUSD,20260109,1000,4470.785,4473.935,4466.798,4472.248,1291150
XAUUSD,20260109,1100,4472.248,4475.898,4468.385,4475.048,1121690
XAUUSD,20260109,1200,4474.995,4480.335,4460.705,4465.685,1655230
XAUUSD,20260109,1300,4465.765,4491.595,4458.595,4482.178,3791690
XAUUSD,20260109,1400,4482.178,4497.898,4478.985,4494.095,4465390
XAUUSD,20260109,1500,4494.075,4516.898,4489.818,4511.988,4778220
XAUUSD,20260109,1600,4511.988,4513.908,4499.498,4506.305,4704160
XAUUSD,20260109,1700,4506.315,4511.455,4481.615,4484.205,3273040
XAUUSD,20260109,1800,4484.105,4504.305,4482.655,4495.755,5424870
XAUUSD,20260109,1900,4495.755,4501.498,4492.425,4498.925,4012050
XAUUSD,20260109,2000,4498.865,4509.805,4497.405,4507.275,5253690
XAUUSD,20260109,2100,4507.265,4510.998,4504.748,4509.015,782840
XAUUSD,20260111,2300,4520.298,4544.735,4511.898,4539.855,1944800
XAUUSD,20260112,0000,4539.775,4601.048,4536.055,4588.548,2904780
XAUUSD,20260112,0100,4588.548,4594.498,4569.755,4569.755,4637190
