<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AUDJPY,20181231,2100,77.198,77.198,77.158,77.174,9000000
AUDJPY,20190101,2200,77.333,77.338,77.247,77.256,2682510000
AUDJPY,20190101,2300,77.254,77.348,77.245,77.300,5017850000
AUDJPY,20190102,0000,77.300,77.305,77.152,77.189,6452240000
AUDJPY,20190102,0100,77.189,77.249,76.974,76.997,7448870000
AUDJPY,20190102,0200,76.995,76.997,76.557,76.759,11322760000
AUDJPY,20190102,0300,76.754,76.754,76.659,76.716,5613900000
AUDJPY,20190102,0400,76.716,76.789,76.597,76.782,5948760000
AUDJPY,20190102,0500,76.782,76.886,76.767,76.801,6927870000
AUDJPY,20190102,0600,76.799,76.897,76.774,76.888,7490980000
AUDJPY,20190102,0700,76.887,76.955,76.767,76.879,12913410000
AUDJPY,20190102,0800,76.878,76.909,76.376,76.467,19261620000
AUDJPY,20190102,0900,76.470,76.493,76.326,76.430,14657730000
AUDJPY,20190102,1000,76.430,76.494,76.340,76.430,11070060000
AUDJPY,20190102,1100,76.431,76.545,76.429,76.471,10517360000
AUDJPY,20190102,1200,76.470,76.609,76.452,76.452,9726200000
AUDJPY,20190102,1300,76.450,76.463,75.986,76.285,12152610000
AUDJPY,20190102,1400,76.285,76.484,76.275,76.452,12947590000
AUDJPY,20190102,1500,76.451,76.571,76.380,76.486,16292210000
AUDJPY,20190102,1600,76.488,76.635,76.444,76.444,11094370000
AUDJPY,20190102,1700,76.443,76.611,76.442,76.597,9911230000
AUDJPY,20190102,1800,76.596,76.602,76.497,76.538,6669400000
AUDJPY,20190102,1900,76.538,76.539,76.408,76.419,6836620000
AUDJPY,20190102,2000,76.419,76.423,76.296,76.361,7423570000
AUDJPY,20190102,2100,76.362,76.384,76.024,76.043,4169890000
AUDJPY,20190102,2200,76.044,76.054,70.406,73.286,10905680000
AUDJPY,20190102,2300,73.286,74.581,72.981,74.303,18071170000
AUDJPY,20190103,0000,74.304,74.785,74.303,74.584,9248090000
AUDJPY,20190103,0100,74.585,74.775,74.350,74.591,11138420007
AUDJPY,20190103,0200,74.591,74.592,74.299,74.349,9936590000
AUDJPY,20190103,0300,74.350,74.435,74.279,74.297,6417640000
AUDJPY,20190103,0400,74.298,74.497,74.284,74.388,4467110000
AUDJPY,20190103,0500,74.390,74.436,73.972,74.261,7904650000
AUDJPY,20190103,0600,74.261,74.267,74.074,74.182,8221000000
AUDJPY,20190103,0700,74.185,74.963,74.182,74.873,19563539999
AUDJPY,20190103,0800,74.874,75.265,74.761,74.986,18840420000
AUDJPY,20190103,0900,74.986,75.178,74.957,74.958,12981229998
AUDJPY,20190103,1000,74.958,75.032,74.794,75.000,12635519999
AUDJPY,20190103,1100,75.000,75.040,74.750,74.794,7533030000
AUDJPY,20190103,1200,74.793,75.043,74.775,74.988,6167130000
AUDJPY,20190103,1300,74.987,75.300,74.932,75.285,12625210000
AUDJPY,20190103,1400,75.286,75.434,75.232,75.268,13342830000
AUDJPY,20190103,1500,75.274,75.465,74.846,75.239,25021279999
AUDJPY,20190103,1600,75.239,76.013,75.160,75.822,20098660000
AUDJPY,20190103,1700,75.822,75.830,75.586,75.790,14525150000
AUDJPY,20190103,1800,75.790,75.794,75.485,75.585,12011920000
AUDJPY,20190103,1900,75.584,75.643,75.427,75.434,9512420000
AUDJPY,20190103,2000,75.438,75.469,75.189,75.290,11974530000
AUDJPY,20190103,2100,75.289,75.429,75.271,75.411,3976490000
AUDJPY,20190103,2200,75.397,75.445,75.340,75.413,3962920000
AUDJPY,20190103,2300,75.412,75.680,75.374,75.559,8246080000
AUDJPY,20190104,0000,75.558,75.624,75.238,75.240,13979450000
AUDJPY,20190104,0100,75.239,75.747,75.239,75.665,11673480000
AUDJPY,20190104,0200,75.667,75.973,75.637,75.915,12059540002
AUDJPY,20190104,0300,75.915,76.233,75.914,76.149,10443300002
AUDJPY,20190104,0400,76.149,76.201,76.031,76.090,7829790000
AUDJPY,20190104,0500,76.087,76.118,75.943,75.989,7191450000
AUDJPY,20190104,0600,75.989,76.012,75.834,75.956,6917170000
AUDJPY,20190104,0700,75.955,76.047,75.714,75.742,12731800000
AUDJPY,20190104,0800,75.740,75.953,75.717,75.945,15525240000
AUDJPY,20190104,0900,75.944,76.197,75.914,76.132,13550080000
AUDJPY,20190104,1000,76.134,76.147,76.008,76.033,11131179999
AUDJPY,20190104,1100,76.033,76.127,76.024,76.059,9050620000
AUDJPY,20190104,1200,76.059,76.121,76.029,76.102,9144130000
AUDJPY,20190104,1300,76.102,76.378,76.076,76.280,17542800000
AUDJPY,20190104,1400,76.280,76.450,76.229,76.356,16344840000
AUDJPY,20190104,1500,76.357,76.906,76.169,76.815,23670470000
AUDJPY,20190104,1600,76.814,77.045,76.743,76.959,17796280000
AUDJPY,20190104,1700,76.960,77.227,76.943,77.109,12818800001
AUDJPY,20190104,1800,77.108,77.250,77.104,77.183,10293399999
AUDJPY,20190104,1900,77.184,77.293,77.157,77.219,9827040000
AUDJPY,20190104,2000,77.219,77.226,77.133,77.173,8328120000
AUDJPY,20190104,2100,77.173,77.259,77.144,77.237,2316460000
AUDJPY,20190106,2200,77.207,77.232,77.107,77.197,1963360000
AUDJPY,20190106,2300,77.193,77.358,77.162,77.323,8644460000
AUDJPY,20190107,0000,77.325,77.363,77.176,77.179,11998320001
AUDJPY,20190107,0100,77.178,77.355,77.176,77.260,11033450000
AUDJPY,20190107,0200,77.262,77.291,77.128,77.140,10409240000
