<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CHFJPY,20211231,2100,126.169,126.173,126.147,126.153,25440000
CHFJPY,20220102,2200,125.981,126.221,125.981,126.054,196240000
CHFJPY,20220102,2300,126.041,126.246,126.041,126.236,1811660000
CHFJPY,20220103,0000,126.235,126.268,126.210,126.258,2492880000
CHFJPY,20220103,0100,126.253,126.284,126.114,126.184,2509760000
CHFJPY,20220103,0200,126.182,126.182,126.063,126.071,1975760000
CHFJPY,20220103,0300,126.072,126.115,126.003,126.090,2013570000
CHFJPY,20220103,0400,126.091,126.100,126.002,126.018,981490000
CHFJPY,20220103,0500,126.023,126.074,126.014,126.049,1409710000
CHFJPY,20220103,0600,126.049,126.182,126.048,126.162,1789040000
CHFJPY,20220103,0700,126.160,126.241,126.074,126.153,3211320000
CHFJPY,20220103,0800,126.153,126.273,126.036,126.266,5702080000
CHFJPY,20220103,0900,126.267,126.301,126.129,126.292,5567090000
CHFJPY,20220103,1000,126.292,126.313,126.071,126.083,5213650000
CHFJPY,20220103,1100,126.083,126.205,126.008,126.150,6155310000
CHFJPY,20220103,1200,126.152,126.154,125.983,125.993,5864940000
CHFJPY,20220103,1300,125.994,126.005,125.794,125.862,8375750000
CHFJPY,20220103,1400,125.864,125.884,125.527,125.549,10927460000
CHFJPY,20220103,1500,125.550,125.600,125.339,125.473,11140050000
CHFJPY,20220103,1600,125.477,125.611,125.391,125.436,8256430000
CHFJPY,20220103,1700,125.436,125.488,125.337,125.444,2667230000
CHFJPY,20220103,1800,125.447,125.544,125.429,125.492,2129210000
CHFJPY,20220103,1900,125.492,125.577,125.486,125.575,1842610000
CHFJPY,20220103,2000,125.570,125.570,125.493,125.532,2043650000
CHFJPY,20220103,2100,125.531,125.572,125.468,125.469,1409840000
CHFJPY,20220103,2200,125.434,125.476,125.353,125.409,280870000
CHFJPY,20220103,2300,125.395,125.571,125.394,125.568,2438330000
CHFJPY,20220104,0000,125.568,125.736,125.531,125.724,4101480000
CHFJPY,20220104,0100,125.724,125.829,125.698,125.776,3522820000
CHFJPY,20220104,0200,125.774,125.909,125.766,125.892,3810580000
CHFJPY,20220104,0300,125.892,126.026,125.862,125.945,4687690000
CHFJPY,20220104,0400,125.943,126.125,125.942,126.102,2589210000
CHFJPY,20220104,0500,126.102,126.124,126.036,126.077,3252950000
CHFJPY,20220104,0600,126.076,126.108,126.012,126.096,2316270000
CHFJPY,20220104,0700,126.094,126.094,125.844,125.918,5316070000
CHFJPY,20220104,0800,125.921,126.164,125.915,126.123,6833420000
CHFJPY,20220104,0900,126.123,126.247,126.045,126.193,6769260000
CHFJPY,20220104,1000,126.191,126.341,126.148,126.310,6062470000
CHFJPY,20220104,1100,126.311,126.469,126.241,126.397,7139660000
CHFJPY,20220104,1200,126.397,126.642,126.379,126.582,8740170000
CHFJPY,20220104,1300,126.582,126.801,126.578,126.718,8472920000
CHFJPY,20220104,1400,126.716,126.927,126.712,126.778,9184350000
CHFJPY,20220104,1500,126.778,127.072,126.734,127.045,14283690000
CHFJPY,20220104,1600,127.041,127.044,126.741,126.831,10244370000
CHFJPY,20220104,1700,126.830,126.912,126.811,126.886,3303800000
CHFJPY,20220104,1800,126.885,126.891,126.682,126.686,3100420000
CHFJPY,20220104,1900,126.686,126.741,126.671,126.702,2474220000
CHFJPY,20220104,2000,126.703,126.719,126.652,126.704,1853870000
