<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
EURJPY,20211230,2300,130.300,130.300,130.300,130.300,4
EURJPY,20220102,2200,130.930,130.960,130.900,130.930,240
EURJPY,20220102,2300,130.930,130.980,130.900,130.960,240
EURJPY,20220103,0000,130.960,130.980,130.780,130.840,240
EURJPY,20220103,0100,130.830,130.840,130.730,130.730,240
EURJPY,20220103,0200,130.730,130.830,130.730,130.820,240
EURJPY,20220103,0300,130.820,130.820,130.690,130.700,240
EURJPY,20220103,0400,130.700,130.750,130.680,130.720,240
EURJPY,20220103,0500,130.720,130.840,130.720,130.810,240
EURJPY,20220103,0600,130.810,130.830,130.690,130.810,240
EURJPY,20220103,0700,130.800,130.820,130.650,130.750,240
EURJPY,20220103,0800,130.760,130.780,130.580,130.730,240
EURJPY,20220103,0900,130.730,130.780,130.660,130.680,240
EURJPY,20220103,1000,130.690,130.770,130.550,130.630,240
EURJPY,20220103,1100,130.630,130.710,130.590,130.670,240
EURJPY,20220103,1200,130.660,130.700,130.490,130.680,240
EURJPY,20220103,1300,130.690,130.700,130.310,130.370,240
EURJPY,20220103,1400,130.360,130.380,130.160,130.160,240
EURJPY,20220103,1500,130.170,130.260,130.030,130.090,240
EURJPY,20220103,1600,130.080,130.140,130.010,130.120,240
EURJPY,20220103,1700,130.120,130.230,130.090,130.180,240
EURJPY,20220103,1800,130.180,130.240,130.180,130.240,240
EURJPY,20220103,1900,130.250,130.290,130.210,130.260,240
EURJPY,20220103,2000,130.250,130.310,130.250,130.280,240
EURJPY,20220103,2100,130.280,130.290,130.220,130.260,240
EURJPY,20220103,2200,130.250,130.320,130.220,130.300,240
EURJPY,20220103,2300,130.320,130.470,130.310,130.430,240
EURJPY,20220104,0000,130.440,130.520,130.400,130.480,240
EURJPY,20220104,0100,130.480,130.650,130.460,130.630,240
EURJPY,20220104,0200,130.640,130.830,130.600,130.720,240
EURJPY,20220104,0300,130.720,130.850,130.710,130.830,240
EURJPY,20220104,0400,130.830,130.870,130.810,130.830,240
EURJPY,20220104,0500,130.840,130.840,130.720,130.740,240
EURJPY,20220104,0600,130.740,130.750,130.510,130.640,240
EURJPY,20220104,0700,130.650,130.840,130.640,130.780,240
EURJPY,20220104,0800,130.790,130.950,130.730,130.900,240
EURJPY,20220104,0900,130.900,130.980,130.870,130.890,240
EURJPY,20220104,1000,130.890,131.040,130.860,130.960,240
EURJPY,20220104,1100,130.950,131.170,130.940,131.120,240
EURJPY,20220104,1200,131.110,131.290,131.080,131.140,240
EURJPY,20220104,1300,131.130,131.240,131.100,131.150,240
EURJPY,20220104,1400,131.160,131.440,131.090,131.340,240
EURJPY,20220104,1500,131.350,131.350,131.000,131.130,240
EURJPY,20220104,1600,131.140,131.220,131.120,131.200,240
EURJPY,20220104,1700,131.200,131.200,131.020,131.020,240
EURJPY,20220104,1800,131.030,131.110,131.000,131.100,240
EURJPY,20220104,1900,131.090,131.090,130.960,130.990,240
EURJPY,20220104,2000,130.990,131.070,130.990,131.060,240
EURJPY,20220104,2100,131.050,131.070,130.990,131.070,240
EURJPY,20220104,2200,131.060,131.150,131.020,131.060,240
EURJPY,20220104,2300,131.060,131.080,131.000,131.040,240
EURJPY,20220105,0000,131.030,131.080,130.820,130.910,240
EURJPY,20220105,0100,130.900,131.000,130.890,130.960,240
EURJPY,20220105,0200,130.970,131.020,130.880,131.010,240
EURJPY,20220105,0300,131.020,131.020,130.920,130.980,240
EURJPY,20220105,0400,130.990,131.040,130.960,131.020,240
EURJPY,20220105,0500,131.010,131.070,130.970,130.990,240
EURJPY,20220105,0600,130.990,131.130,130.930,131.100,240
EURJPY,20220105,0700,131.100,131.140,130.960,131.020,240
EURJPY,20220105,0800,131.010,131.070,130.870,130.970,240
EURJPY,20220105,0900,130.970,130.990,130.880,130.880,240
EURJPY,20220105,1000,130.890,130.990,130.870,130.910,240
EURJPY,20220105,1100,130.900,131.030,130.870,130.900,240
EURJPY,20220105,1200,130.910,131.120,130.870,131.110,240
EURJPY,20220105,1300,131.120,131.190,131.060,131.160,240
EURJPY,20220105,1400,131.170,131.340,131.170,131.260,240
EURJPY,20220105,1500,131.250,131.390,131.220,131.340,240
EURJPY,20220105,1600,131.350,131.560,131.350,131.510,240
EURJPY,20220105,1700,131.510,131.580,131.450,131.510,240
EURJPY,20220105,1800,131.520,131.560,131.290,131.370,240
EURJPY,20220105,1900,131.360,131.370,131.250,131.300,240
EURJPY,20220105,2000,131.310,131.350,131.280,131.320,240
EURJPY,20220105,2100,131.320,131.360,131.270,131.320,240
EURJPY,20220105,2200,131.320,131.340,131.280,131.330,240
EURJPY,20220105,2300,131.330,131.400,131.190,131.260,240
EURJPY,20220106,0000,131.260,131.270,131.110,131.150,240
EURJPY,20220106,0100,131.160,131.210,131.030,131.210,240
EURJPY,20220106,0200,131.220,131.230,131.040,131.070,240
EURJPY,20220106,0300,131.070,131.100,131.030,131.090,240
EURJPY,20220106,0400,131.080,131.130,130.970,131.020,240
EURJPY,20220106,0500,131.020,131.020,130.850,130.880,240
EURJPY,20220106,0600,130.890,130.930,130.740,130.780,240
EURJPY,20220106,0700,130.790,130.880,130.650,130.710,240
EURJPY,20220106,0800,130.720,130.860,130.680,130.800,240
EURJPY,20220106,0900,130.810,131.230,130.810,131.050,240
EURJPY,20220106,1000,131.050,131.070,130.890,130.990,240
EURJPY,20220106,1100,130.980,131.110,130.920,130.990,240
EURJPY,20220106,1200,131.000,131.090,130.860,130.890,240
EURJPY,20220106,1300,130.900,131.200,130.890,131.080,240
EURJPY,20220106,1400,131.070,131.080,130.730,130.750,240
