<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GBPJPY,20131231,1900,174.320,174.320,174.310,174.310,4
GBPJPY,20140101,2300,174.630,174.810,174.540,174.580,236
GBPJPY,20140102,0000,174.570,174.610,174.420,174.560,240
GBPJPY,20140102,0100,174.560,174.630,174.480,174.610,240
GBPJPY,20140102,0200,174.600,174.630,174.470,174.480,240
GBPJPY,20140102,0300,174.480,174.610,174.480,174.600,240
GBPJPY,20140102,0400,174.590,174.630,174.550,174.610,240
GBPJPY,20140102,0500,174.610,174.790,174.600,174.780,240
GBPJPY,20140102,0600,174.790,174.800,174.650,174.730,240
GBPJPY,20140102,0700,174.740,174.740,174.490,174.590,240
GBPJPY,20140102,0800,174.600,174.630,174.410,174.560,240
GBPJPY,20140102,0900,174.570,174.690,174.310,174.320,240
GBPJPY,20140102,1000,174.310,174.450,174.220,174.430,236
GBPJPY,20140102,1100,174.440,174.440,174.130,174.150,240
GBPJPY,20140102,1200,174.160,174.160,173.550,173.580,240
GBPJPY,20140102,1300,173.590,173.610,173.180,173.200,240
GBPJPY,20140102,1400,173.190,173.230,172.440,172.480,240
GBPJPY,20140102,1500,172.470,172.470,172.030,172.400,240
GBPJPY,20140102,1600,172.390,172.690,172.240,172.320,240
GBPJPY,20140102,1700,172.310,172.400,172.150,172.370,240
GBPJPY,20140102,1800,172.360,172.380,171.950,172.000,240
GBPJPY,20140102,1900,171.990,172.070,171.810,171.920,236
GBPJPY,20140102,2000,171.910,172.150,171.890,172.140,240
GBPJPY,20140102,2100,172.150,172.400,172.080,172.360,240
GBPJPY,20140102,2200,172.370,172.410,172.240,172.360,240
GBPJPY,20140102,2300,172.350,172.450,172.290,172.400,240
GBPJPY,20140103,0000,172.410,172.460,172.360,172.420,236
GBPJPY,20140103,0100,172.420,172.470,172.260,172.280,240
GBPJPY,20140103,0200,172.270,172.280,171.030,171.280,240
GBPJPY,20140103,0300,171.290,171.570,171.190,171.310,236
GBPJPY,20140103,0400,171.320,171.510,171.320,171.320,240
GBPJPY,20140103,0500,171.310,171.360,171.090,171.250,240
GBPJPY,20140103,0600,171.260,171.410,171.070,171.370,240
GBPJPY,20140103,0700,171.380,171.820,171.300,171.730,240
GBPJPY,20140103,0800,171.720,171.720,171.400,171.600,240
GBPJPY,20140103,0900,171.590,171.700,171.470,171.610,240
GBPJPY,20140103,1000,171.600,171.950,171.600,171.950,240
GBPJPY,20140103,1100,171.940,172.000,171.810,171.920,240
GBPJPY,20140103,1200,171.910,171.910,171.360,171.610,240
GBPJPY,20140103,1300,171.600,171.610,171.330,171.390,240
GBPJPY,20140103,1400,171.380,171.440,171.110,171.370,240
GBPJPY,20140103,1500,171.380,171.620,171.180,171.610,240
GBPJPY,20140103,1600,171.620,171.880,171.490,171.500,240
GBPJPY,20140103,1700,171.490,171.640,171.470,171.560,240
GBPJPY,20140103,1800,171.570,171.650,171.490,171.570,240
GBPJPY,20140103,1900,171.560,171.810,171.540,171.790,240
GBPJPY,20140103,2000,171.800,172.010,171.780,171.830,240
GBPJPY,20140105,2300,172.020,172.190,171.950,172.160,240
GBPJPY,20140106,0000,172.150,172.190,171.590,171.710,240
GBPJPY,20140106,0100,171.700,171.720,170.380,170.450,240
GBPJPY,20140106,0200,170.460,170.790,170.460,170.580,240
GBPJPY,20140106,0300,170.590,170.880,170.500,170.840,240
GBPJPY,20140106,0400,170.830,170.880,170.540,170.710,240
GBPJPY,20140106,0500,170.700,170.710,170.500,170.560,240
GBPJPY,20140106,0600,170.550,170.900,170.500,170.820,240
GBPJPY,20140106,0700,170.830,170.850,170.600,170.640,240
GBPJPY,20140106,0800,170.650,171.140,170.640,170.970,240
GBPJPY,20140106,0900,170.960,171.250,170.800,170.990,240
