<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
XAGUSD,20211231,2100,23.297,23.307,23.270,23.299,131150
XAGUSD,20220102,2300,23.297,23.399,23.273,23.278,9056010
XAGUSD,20220103,0000,23.283,23.293,23.233,23.242,11274100
XAGUSD,20220103,0100,23.241,23.284,23.176,23.201,15012500
XAGUSD,20220103,0200,23.203,23.203,23.121,23.141,19305200
XAGUSD,20220103,0300,23.138,23.184,23.132,23.181,10931000
XAGUSD,20220103,0400,23.176,23.191,23.151,23.161,4656800
XAGUSD,20220103,0500,23.161,23.161,23.095,23.144,6352200
XAGUSD,20220103,0600,23.143,23.158,23.080,23.157,10487580
XAGUSD,20220103,0700,23.158,23.158,23.062,23.144,26761300
XAGUSD,20220103,0800,23.143,23.186,23.102,23.163,31533800
XAGUSD,20220103,0900,23.166,23.262,23.155,23.253,22399800
XAGUSD,20220103,1000,23.253,23.293,23.225,23.238,13511700
XAGUSD,20220103,1100,23.240,23.250,23.196,23.225,19461400
XAGUSD,20220103,1200,23.227,23.227,23.150,23.172,20316600
XAGUSD,20220103,1300,23.170,23.172,22.685,22.728,98808290
XAGUSD,20220103,1400,22.726,22.835,22.659,22.748,168696400
XAGUSD,20220103,1500,22.748,22.980,22.726,22.847,152773120
XAGUSD,20220103,1600,22.847,22.848,22.735,22.827,77684040
XAGUSD,20220103,1700,22.828,22.842,22.790,22.824,24615700
XAGUSD,20220103,1800,22.818,22.875,22.760,22.871,26535180
XAGUSD,20220103,1900,22.870,22.897,22.838,22.885,15070970
XAGUSD,20220103,2000,22.881,22.921,22.847,22.885,17432860
XAGUSD,20220103,2100,22.885,22.895,22.865,22.865,3303550
XAGUSD,20220103,2300,22.845,22.915,22.845,22.910,5041000
XAGUSD,20220104,0000,22.908,22.934,22.892,22.925,20720500
XAGUSD,20220104,0100,22.924,23.020,22.738,22.790,125522000
XAGUSD,20220104,0200,22.787,22.815,22.722,22.747,50752700
XAGUSD,20220104,0300,22.740,22.778,22.693,22.749,27813800
XAGUSD,20220104,0400,22.748,22.774,22.738,22.763,23320100
XAGUSD,20220104,0500,22.763,22.809,22.758,22.789,20513200
XAGUSD,20220104,0600,22.789,22.790,22.727,22.736,35073200
XAGUSD,20220104,0700,22.735,22.871,22.725,22.837,64508900
XAGUSD,20220104,0800,22.838,22.873,22.780,22.790,63287400
XAGUSD,20220104,0900,22.785,22.850,22.754,22.824,50269300
XAGUSD,20220104,1000,22.823,22.849,22.796,22.818,44818400
XAGUSD,20220104,1100,22.816,22.825,22.755,22.785,48406100
XAGUSD,20220104,1200,22.781,22.874,22.665,22.704,64187720
XAGUSD,20220104,1300,22.699,22.923,22.631,22.909,141419100
XAGUSD,20220104,1400,22.909,23.029,22.889,23.017,194964990
XAGUSD,20220104,1500,23.021,23.094,22.950,23.033,152711960
XAGUSD,20220104,1600,23.035,23.048,22.933,22.983,83548400
XAGUSD,20220104,1700,22.983,23.047,22.974,23.016,27047200
XAGUSD,20220104,1800,23.016,23.040,23.000,23.025,28593520
XAGUSD,20220104,1900,23.026,23.053,23.008,23.041,13900810
XAGUSD,20220104,2000,23.040,23.066,23.031,23.049,12977220
XAGUSD,20220104,2100,23.049,23.054,23.022,23.025,3315790
XAGUSD,20220104,2300,23.035,23.054,23.019,23.042,3547100
XAGUSD,20220105,0000,23.047,23.061,23.025,23.034,8604000
XAGUSD,20220105,0100,23.029,23.037,22.996,23.001,26436720
XAGUSD,20220105,0200,23.001,23.009,22.957,22.987,31152900
XAGUSD,20220105,0300,22.994,22.999,22.943,22.960,26336000
XAGUSD,20220105,0400,22.965,22.967,22.942,22.960,11226800
XAGUSD,20220105,0500,22.959,22.978,22.874,22.911,25853600
XAGUSD,20220105,0600,22.910,22.938,22.864,22.881,41542220
XAGUSD,20220105,0700,22.882,22.925,22.844,22.874,22928020
XAGUSD,20220105,0800,22.875,22.963,22.872,22.926,40043500
XAGUSD,20220105,0900,22.920,23.047,22.915,23.036,29936600
XAGUSD,20220105,1000,23.036,23.076,23.032,23.042,37602500
XAGUSD,20220105,1100,23.040,23.091,23.010,23.039,35253000
XAGUSD,20220105,1200,23.039,23.062,22.986,23.020,45453420
XAGUSD,20220105,1300,23.022,23.247,22.993,23.154,162662890
XAGUSD,20220105,1400,23.154,23.248,23.083,23.147,126380290
XAGUSD,20220105,1500,23.142,23.174,23.040,23.093,115504530
XAGUSD,20220105,1600,23.093,23.130,23.071,23.094,49161900
XAGUSD,20220105,1700,23.095,23.148,23.070,23.075,31701600
XAGUSD,20220105,1800,23.076,23.133,23.066,23.128,30111800
XAGUSD,20220105,1900,23.130,23.130,22.804,22.821,118524510
XAGUSD,20220105,2000,22.822,22.839,22.717,22.720,50220200
XAGUSD,20220105,2100,22.720,22.795,22.710,22.769,9063440
XAGUSD,20220105,2300,22.754,22.809,22.736,22.771,6155300
XAGUSD,20220106,0000,22.772,22.809,22.748,22.805,12744100
XAGUSD,20220106,0100,22.804,22.820,22.712,22.750,54984420
XAGUSD,20220106,0200,22.751,22.758,22.652,22.698,52494130
XAGUSD,20220106,0300,22.701,22.704,22.642,22.657,20668460
XAGUSD,20220106,0400,22.657,22.662,22.604,22.609,16675400
XAGUSD,20220106,0500,22.609,22.688,22.598,22.610,25112260
XAGUSD,20220106,0600,22.609,22.614,22.506,22.565,50658890
XAGUSD,20220106,0700,22.564,22.606,22.423,22.465,71145180
XAGUSD,20220106,0800,22.459,22.476,22.185,22.224,119050520
XAGUSD,20220106,0900,22.224,22.239,22.131,22.174,51025050
XAGUSD,20220106,1000,22.174,22.399,22.143,22.347,73694770
XAGUSD,20220106,1100,22.347,22.359,22.201,22.233,48387000
XAGUSD,20220106,1200,22.232,22.292,22.094,22.094,72078800
XAGUSD,20220106,1300,22.095,22.156,21.994,22.028,145479860
XAGUSD,20220106,1400,22.028,22.296,21.990,22.162,179632670
XAGUSD,20220106,1500,22.163,22.241,21.997,22.063,128520040
XAGUSD,20220106,1600,22.065,22.161,22.024,22.156,66901810
XAGUSD,20220106,1700,22.156,22.229,22.140,22.164,39290110
XAGUSD,20220106,1800,22.161,22.199,22.109,22.110,37851300
XAGUSD,20220106,1900,22.111,22.188,22.089,22.175,34165590
XAGUSD,20220106,2000,22.175,22.200,22.137,22.178,25919760
XAGUSD,20220106,2100,22.172,22.186,22.137,22.186,6197750
XAGUSD,20220106,2300,22.165,22.192,22.156,22.183,5973300
XAGUSD,20220107,0000,22.183,22.209,22.170,22.175,17740600
XAGUSD,20220107,0100,22.176,22.184,22.098,22.119,55230900
XAGUSD,20220107,0200,22.119,22.149,22.096,22.137,30612500
XAGUSD,20220107,0300,22.143,22.157,22.127,22.150,15001100
XAGUSD,20220107,0400,22.151,22.152,22.126,22.148,7259100
XAGUSD,20220107,0500,22.150,22.157,22.080,22.085,20274700
XAGUSD,20220107,0600,22.085,22.101,21.996,22.065,40533600
XAGUSD,20220107,0700,22.070,22.108,22.018,22.090,32059100
XAGUSD,20220107,0800,22.088,22.165,22.059,22.164,36239000
XAGUSD,20220107,0900,22.158,22.220,22.128,22.198,23107500
XAGUSD,20220107,1000,22.199,22.221,22.138,22.143,18795900
XAGUSD,20220107,1100,22.144,22.205,22.111,22.200,18068300
XAGUSD,20220107,1200,22.197,22.231,22.106,22.115,25425260
XAGUSD,20220107,1300,22.113,22.266,21.935,22.105,165766840
XAGUSD,20220107,1400,22.105,22.262,22.097,22.165,149964340
XAGUSD,20220107,1500,22.163,22.168,22.015,22.079,135484800
XAGUSD,20220107,1600,22.081,22.283,22.075,22.276,91568100
XAGUSD,20220107,1700,22.277,22.341,22.226,22.310,59057400
XAGUSD,20220107,1800,22.311,22.431,22.297,22.356,78801700
XAGUSD,20220107,1900,22.350,22.388,22.310,22.349,35370400
XAGUSD,20220107,2000,22.348,22.379,22.289,22.299,24510350
XAGUSD,20220107,2100,22.296,22.360,22.295,22.353,4097470
XAGUSD,20220109,2300,22.343,22.390,22.304,22.350,23506600
XAGUSD,20220110,0000,22.351,22.409,22.319,22.338,25181500
XAGUSD,20220110,0100,22.337,22.360,22.258,22.275,55577200
XAGUSD,20220110,0200,22.269,22.324,22.236,22.271,53754300
XAGUSD,20220110,0300,22.271,22.283,22.217,22.224,33143900
XAGUSD,20220110,0400,22.223,22.259,22.218,22.242,12857700
XAGUSD,20220110,0500,22.242,22.293,22.226,22.252,21042400
XAGUSD,20220110,0600,22.258,22.270,22.200,22.217,30592800
XAGUSD,20220110,0700,22.220,22.347,22.178,22.274,26309500
XAGUSD,20220110,0800,22.275,22.363,22.253,22.360,41167540
XAGUSD,20220110,0900,22.362,22.430,22.356,22.392,50001200
XAGUSD,20220110,1000,22.392,22.482,22.387,22.457,46828900
XAGUSD,20220110,1100,22.452,22.500,22.428,22.438,46590600
XAGUSD,20220110,1200,22.444,22.457,22.266,22.274,58991790
XAGUSD,20220110,1300,22.277,22.371,22.236,22.307,99025770
XAGUSD,20220110,1400,22.308,22.368,22.233,22.315,147341400
XAGUSD,20220110,1500,22.316,22.425,22.265,22.370,120815000
XAGUSD,20220110,1600,22.372,22.426,22.347,22.366,49577600
XAGUSD,20220110,1700,22.367,22.472,22.337,22.457,46853200
XAGUSD,20220110,1800,22.458,22.510,22.406,22.428,62390100
XAGUSD,20220110,1900,22.430,22.484,22.416,22.454,27995400
XAGUSD,20220110,2000,22.453,22.472,22.399,22.461,33468300
XAGUSD,20220110,2100,22.461,22.485,22.444,22.444,5888250
XAGUSD,20220110,2300,22.441,22.485,22.433,22.478,7829620
XAGUSD,20220111,0000,22.473,22.504,22.465,22.499,17130100
