<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USDJPY,20181231,2100,109.601,109.601,109.554,109.556,29220000
USDJPY,20190101,2200,109.648,109.698,109.606,109.677,8801150047
USDJPY,20190101,2300,109.676,109.726,109.646,109.670,4823880000
USDJPY,20190102,0000,109.669,109.680,109.542,109.625,7498800000
USDJPY,20190102,0100,109.625,109.674,109.582,109.597,7640480000
USDJPY,20190102,0200,109.597,109.611,109.336,109.412,10524440000
USDJPY,20190102,0300,109.411,109.426,109.343,109.420,5766890000
USDJPY,20190102,0400,109.420,109.429,109.342,109.387,6559680001
USDJPY,20190102,0500,109.387,109.423,109.297,109.303,6667770004
USDJPY,20190102,0600,109.302,109.302,109.126,109.256,5382550000
USDJPY,20190102,0700,109.256,109.346,109.181,109.308,9872660000
USDJPY,20190102,0800,109.308,109.323,108.902,108.950,20474259999
USDJPY,20190102,0900,108.949,108.977,108.707,108.941,16183770001
USDJPY,20190102,1000,108.942,109.102,108.879,109.045,13739580000
USDJPY,20190102,1100,109.045,109.176,109.043,109.107,12859230000
USDJPY,20190102,1200,109.104,109.285,109.101,109.142,12204010000
USDJPY,20190102,1300,109.141,109.194,108.820,109.188,15813030000
USDJPY,20190102,1400,109.187,109.359,109.175,109.337,17578750000
USDJPY,20190102,1500,109.337,109.392,109.266,109.283,17056530000
USDJPY,20190102,1600,109.282,109.356,109.213,109.219,11731060000
USDJPY,20190102,1700,109.220,109.464,109.219,109.442,11711120000
USDJPY,20190102,1800,109.442,109.455,109.379,109.448,7267970000
USDJPY,20190102,1900,109.449,109.449,109.181,109.196,7737060000
USDJPY,20190102,2000,109.196,109.201,109.037,109.081,11486750000
USDJPY,20190102,2100,109.082,109.121,108.867,108.874,4692370001
USDJPY,20190102,2200,108.872,108.898,104.736,106.700,12498679999
USDJPY,20190102,2300,106.700,107.871,106.498,107.427,20340330004
USDJPY,20190103,0000,107.433,107.854,107.427,107.642,10814789998
USDJPY,20190103,0100,107.643,107.802,107.431,107.535,14155640002
USDJPY,20190103,0200,107.534,107.549,107.073,107.134,10493990000
USDJPY,20190103,0300,107.134,107.204,107.022,107.156,8028150000
USDJPY,20190103,0400,107.157,107.284,107.151,107.152,6420280000
USDJPY,20190103,0500,107.153,107.161,106.746,106.967,9910360000
USDJPY,20190103,0600,106.968,106.976,106.797,106.849,10043750000
USDJPY,20190103,0700,106.849,107.672,106.849,107.551,23906109999
USDJPY,20190103,0800,107.552,107.958,107.428,107.643,18566010000
USDJPY,20190103,0900,107.644,107.846,107.644,107.657,10341250000
USDJPY,20190103,1000,107.658,107.683,107.505,107.639,9539749999
USDJPY,20190103,1100,107.639,107.679,107.513,107.549,8031540000
USDJPY,20190103,1200,107.550,107.713,107.523,107.662,6643010000
USDJPY,20190103,1300,107.660,107.999,107.594,107.747,18329630003
USDJPY,20190103,1400,107.746,107.966,107.702,107.746,18388150000
USDJPY,20190103,1500,107.746,107.942,107.104,107.541,31502080000
USDJPY,20190103,1600,107.546,108.304,107.495,108.095,24484329999
USDJPY,20190103,1700,108.091,108.109,107.825,108.024,19822099999
USDJPY,20190103,1800,108.024,108.028,107.742,107.839,16564960000
USDJPY,20190103,1900,107.838,107.891,107.724,107.733,11405760000
USDJPY,20190103,2000,107.733,107.776,107.393,107.522,15612060001
USDJPY,20190103,2100,107.521,107.673,107.465,107.646,4189920000
USDJPY,20190103,2200,107.646,107.706,107.631,107.673,7049390000
USDJPY,20190103,2300,107.672,107.969,107.641,107.849,11093510000
USDJPY,20190104,0000,107.848,107.934,107.514,107.518,17903780001
USDJPY,20190104,0100,107.518,107.949,107.512,107.840,17242620000
USDJPY,20190104,0200,107.839,108.194,107.805,108.112,13118490000
USDJPY,20190104,0300,108.111,108.445,108.110,108.329,11294140001
USDJPY,20190104,0400,108.328,108.433,108.311,108.334,6956820001
USDJPY,20190104,0500,108.335,108.376,108.210,108.252,5819530000
USDJPY,20190104,0600,108.253,108.282,108.063,108.186,6229810000
USDJPY,20190104,0700,108.185,108.231,107.821,107.851,13828380000
USDJPY,20190104,0800,107.848,108.043,107.825,108.036,16449620000
USDJPY,20190104,0900,108.035,108.039,107.865,108.031,12120020000
USDJPY,20190104,1000,108.032,108.062,107.928,107.965,9221670000
USDJPY,20190104,1100,107.965,108.017,107.943,107.988,8622950000
USDJPY,20190104,1200,107.988,108.058,107.960,108.003,8047620000
USDJPY,20190104,1300,108.003,108.452,107.998,108.300,19905010000
USDJPY,20190104,1400,108.300,108.589,108.276,108.473,23617380000
USDJPY,20190104,1500,108.474,108.481,108.104,108.110,29973530000
USDJPY,20190104,1600,108.109,108.349,108.064,108.288,19452000001
USDJPY,20190104,1700,108.289,108.572,108.282,108.449,12732520000
USDJPY,20190104,1800,108.449,108.586,108.352,108.433,11255850000
USDJPY,20190104,1900,108.435,108.557,108.418,108.514,12010720000
USDJPY,20190104,2000,108.514,108.522,108.428,108.460,8344210000
USDJPY,20190104,2100,108.459,108.554,108.433,108.518,2220500000
USDJPY,20190106,2200,108.503,108.559,108.425,108.472,2991040000
USDJPY,20190106,2300,108.472,108.622,108.352,108.550,7227870000
USDJPY,20190107,0000,108.550,108.604,108.457,108.474,12567310000
USDJPY,20190107,0100,108.475,108.539,108.321,108.369,10983910000
USDJPY,20190107,0200,108.371,108.391,108.234,108.234,7877260000
USDJPY,20190107,0300,108.234,108.269,108.068,108.137,8232500000
USDJPY,20190107,0400,108.135,108.303,108.019,108.301,8495290000
USDJPY,20190107,0500,108.301,108.313,108.147,108.191,5699140000
USDJPY,20190107,0600,108.193,108.260,108.161,108.210,4377730000
USDJPY,20190107,0700,108.211,108.273,108.091,108.187,13292930000
USDJPY,20190107,0800,108.187,108.262,108.067,108.195,9238580000
USDJPY,20190107,0900,108.195,108.228,108.120,108.196,7947530000
USDJPY,20190107,1000,108.196,108.363,108.146,108.350,7844690000
USDJPY,20190107,1100,108.353,108.404,108.321,108.356,5794180000
USDJPY,20190107,1200,108.355,108.355,108.228,108.260,6612910000
USDJPY,20190107,1300,108.258,108.407,108.211,108.354,10335620000
USDJPY,20190107,1400,108.354,108.374,108.215,108.314,16550790001
USDJPY,20190107,1500,108.314,108.544,108.208,108.435,23396420001
USDJPY,20190107,1600,108.435,108.636,108.423,108.622,13467580000
USDJPY,20190107,1700,108.622,108.647,108.559,108.604,10580250000
USDJPY,20190107,1800,108.606,108.676,108.515,108.568,10305700000
USDJPY,20190107,1900,108.568,108.632,108.539,108.596,9060550000
USDJPY,20190107,2000,108.595,108.747,108.591,108.706,6200370000
USDJPY,20190107,2100,108.707,108.742,108.663,108.705,2615220000
USDJPY,20190107,2200,108.702,108.707,108.628,108.654,3494420000
USDJPY,20190107,2300,108.656,108.673,108.594,108.626,3661780000
USDJPY,20190108,0000,108.627,108.773,108.612,108.735,8958800000
USDJPY,20190108,0100,108.735,108.749,108.512,108.560,11674540000
USDJPY,20190108,0200,108.559,108.750,108.527,108.712,9227160000
USDJPY,20190108,0300,108.713,108.917,108.617,108.878,7810300000
USDJPY,20190108,0400,108.878,108.997,108.876,108.987,7157220000
USDJPY,20190108,0500,108.987,108.996,108.780,108.785,7517820000
USDJPY,20190108,0600,108.784,108.889,108.736,108.883,5566150000
USDJPY,20190108,0700,108.882,109.087,108.826,108.981,12419240000
USDJPY,20190108,0800,108.979,109.018,108.880,108.911,10538890000
USDJPY,20190108,0900,108.912,108.946,108.805,108.872,8428790000
USDJPY,20190108,1000,108.875,108.902,108.674,108.719,8431570000
USDJPY,20190108,1100,108.718,108.790,108.686,108.726,7058020000
USDJPY,20190108,1200,108.726,108.767,108.601,108.765,7627520000
USDJPY,20190108,1300,108.765,108.880,108.704,108.872,13465090000
USDJPY,20190108,1400,108.873,108.960,108.815,108.858,14889910000
USDJPY,20190108,1500,108.860,108.894,108.596,108.617,16892739999
USDJPY,20190108,1600,108.618,108.670,108.441,108.582,15846480001
USDJPY,20190108,1700,108.581,108.645,108.497,108.589,9709800000
USDJPY,20190108,1800,108.588,108.676,108.561,108.643,9489200000
USDJPY,20190108,1900,108.643,108.683,108.621,108.649,7437720000
USDJPY,20190108,2000,108.648,108.799,108.622,108.763,5733010000
USDJPY,20190108,2100,108.761,108.833,108.714,108.723,2870210000
USDJPY,20190108,2200,108.727,108.858,108.689,108.785,6994790000
USDJPY,20190108,2300,108.784,108.830,108.749,108.751,3314320000
USDJPY,20190109,0000,108.752,108.846,108.692,108.711,10399189999
USDJPY,20190109,0100,108.711,108.801,108.681,108.790,9393710000
USDJPY,20190109,0200,108.790,109.001,108.776,108.907,10375160000
USDJPY,20190109,0300,108.907,108.946,108.831,108.898,5594960000
USDJPY,20190109,0400,108.900,108.944,108.835,108.864,5212270000
USDJPY,20190109,0500,108.867,108.923,108.819,108.854,5396730000
USDJPY,20190109,0600,108.853,108.892,108.815,108.834,4711270000
USDJPY,20190109,0700,108.834,108.990,108.816,108.914,8738930000
USDJPY,20190109,0800,108.914,108.930,108.790,108.871,9164110000
USDJPY,20190109,0900,108.874,108.965,108.869,108.906,6648420000
USDJPY,20190109,1000,108.907,108.942,108.877,108.886,6306520000
USDJPY,20190109,1100,108.887,108.926,108.841,108.912,6602620000
USDJPY,20190109,1200,108.911,108.941,108.865,108.882,7713060000
