<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
XAUUSD,20151231,2100,1060.899,1060.972,1060.741,1060.881,1570
XAUUSD,20160103,2300,1062.341,1066.321,1061.729,1063.059,1611360
XAUUSD,20160104,0000,1063.059,1064.740,1062.729,1064.459,2779030
XAUUSD,20160104,0100,1064.460,1065.310,1062.239,1063.459,2908360
XAUUSD,20160104,0200,1063.459,1064.609,1063.249,1064.259,3260460
XAUUSD,20160104,0300,1064.238,1064.660,1063.721,1063.738,2833120
XAUUSD,20160104,0400,1063.738,1065.359,1063.438,1065.309,3315830
XAUUSD,20160104,0500,1065.358,1068.949,1065.049,1068.659,3965560
XAUUSD,20160104,0600,1068.660,1070.119,1067.909,1069.801,2406550
XAUUSD,20160104,0700,1069.809,1073.052,1068.518,1071.321,3455420
XAUUSD,20160104,0800,1071.419,1074.110,1070.469,1072.612,3647610
XAUUSD,20160104,0900,1072.659,1073.729,1071.272,1073.610,2414680
XAUUSD,20160104,1000,1073.608,1073.930,1072.449,1072.699,1842000
XAUUSD,20160104,1100,1072.699,1074.642,1070.339,1072.578,3695750
XAUUSD,20160104,1200,1072.578,1072.979,1071.159,1072.331,3025110
XAUUSD,20160104,1300,1072.359,1079.502,1070.500,1078.489,5911820
XAUUSD,20160104,1400,1078.498,1081.629,1077.348,1080.362,3890710
XAUUSD,20160104,1500,1080.401,1083.488,1076.681,1077.932,5792540
XAUUSD,20160104,1600,1077.912,1078.732,1071.271,1073.351,4124480
XAUUSD,20160104,1700,1073.351,1077.159,1073.148,1076.109,3241360
XAUUSD,20160104,1800,1076.099,1076.470,1074.979,1074.999,4185620
XAUUSD,20160104,1900,1074.989,1075.638,1074.838,1075.118,3484890
XAUUSD,20160104,2000,1075.118,1075.418,1073.941,1075.048,2735490
XAUUSD,20160104,2100,1075.090,1075.129,1073.338,1074.232,1604350
XAUUSD,20160104,2300,1073.550,1073.739,1072.979,1072.979,2048010
XAUUSD,20160105,0000,1072.990,1076.568,1072.629,1075.749,2692270
XAUUSD,20160105,0100,1075.749,1076.949,1074.429,1076.178,3295280
XAUUSD,20160105,0200,1076.178,1076.458,1075.669,1076.068,1984700
XAUUSD,20160105,0300,1076.069,1076.920,1075.848,1076.899,1650730
XAUUSD,20160105,0400,1076.899,1077.709,1076.309,1077.368,2042020
XAUUSD,20160105,0500,1077.368,1078.861,1076.898,1078.291,2013910
XAUUSD,20160105,0600,1078.291,1079.119,1077.481,1078.949,2085090
XAUUSD,20160105,0700,1078.949,1079.694,1076.389,1076.748,3835070
XAUUSD,20160105,0800,1076.731,1077.369,1076.309,1076.849,3059180
XAUUSD,20160105,0900,1076.869,1079.729,1076.741,1077.951,2753660
XAUUSD,20160105,1000,1077.931,1080.122,1077.011,1077.429,2949430
XAUUSD,20160105,1100,1077.478,1080.858,1077.041,1079.798,2473840
XAUUSD,20160105,1200,1079.798,1082.048,1079.062,1079.272,3577380
XAUUSD,20160105,1300,1079.328,1081.931,1075.261,1075.261,5886510
XAUUSD,20160105,1400,1075.308,1078.179,1075.182,1076.861,6625400
XAUUSD,20160105,1500,1076.871,1079.252,1075.748,1076.949,5840060
XAUUSD,20160105,1600,1076.952,1080.235,1076.922,1079.672,4873930
XAUUSD,20160105,1700,1079.672,1081.238,1078.451,1079.611,2808140
XAUUSD,20160105,1800,1079.611,1079.678,1076.729,1078.478,4189640
XAUUSD,20160105,1900,1078.478,1078.630,1077.611,1078.611,2423570
XAUUSD,20160105,2000,1078.611,1078.920,1078.078,1078.511,2364830
XAUUSD,20160105,2100,1078.511,1078.652,1077.031,1077.232,1218210
XAUUSD,20160105,2300,1076.969,1078.090,1076.969,1077.632,1796740
XAUUSD,20160106,0000,1077.632,1078.339,1077.201,1077.498,2861740
XAUUSD,20160106,0100,1077.498,1077.658,1074.928,1075.739,3908290
XAUUSD,20160106,0200,1075.739,1076.970,1075.352,1076.749,3283060
XAUUSD,20160106,0300,1076.759,1079.249,1076.729,1078.101,2413940
XAUUSD,20160106,0400,1078.142,1078.719,1077.741,1078.289,1390930
XAUUSD,20160106,0500,1078.290,1079.339,1077.939,1079.188,2110140
XAUUSD,20160106,0600,1079.209,1081.052,1078.848,1080.341,3102270
XAUUSD,20160106,0700,1080.348,1083.290,1079.029,1081.890,2962900
XAUUSD,20160106,0800,1081.889,1085.669,1081.098,1083.130,3930150
XAUUSD,20160106,0900,1083.079,1083.830,1082.749,1083.269,2960510
XAUUSD,20160106,1000,1083.251,1086.139,1082.199,1085.271,3727280
XAUUSD,20160106,1100,1085.321,1088.042,1084.511,1084.991,4127940
XAUUSD,20160106,1200,1085.041,1089.528,1084.502,1088.402,3843140
XAUUSD,20160106,1300,1088.602,1088.953,1081.059,1084.628,6926200
XAUUSD,20160106,1400,1084.628,1092.954,1084.271,1090.102,7292170
XAUUSD,20160106,1500,1090.151,1091.439,1086.241,1087.601,4894380
XAUUSD,20160106,1600,1087.601,1091.389,1087.459,1090.649,4091940
XAUUSD,20160106,1700,1090.689,1091.548,1089.729,1090.879,2516330
XAUUSD,20160106,1800,1090.879,1094.578,1090.642,1093.769,3084490
XAUUSD,20160106,1900,1093.770,1095.180,1092.222,1093.731,2764850
XAUUSD,20160106,2000,1093.740,1094.221,1092.721,1093.660,1819490
XAUUSD,20160106,2100,1093.660,1094.689,1092.759,1093.222,1471000
XAUUSD,20160106,2300,1093.410,1094.910,1092.511,1092.559,2073710
XAUUSD,20160107,0000,1092.559,1094.020,1092.139,1092.501,2971850
XAUUSD,20160107,0100,1092.501,1097.180,1091.350,1097.089,4185820
XAUUSD,20160107,0200,1097.090,1102.699,1096.481,1098.148,5825080
XAUUSD,20160107,0300,1098.152,1100.030,1097.690,1097.719,4049720
XAUUSD,20160107,0400,1097.759,1099.359,1097.512,1099.308,2420860
XAUUSD,20160107,0500,1099.408,1099.748,1097.859,1098.771,2581230
XAUUSD,20160107,0600,1098.789,1100.639,1098.601,1099.532,3035200
XAUUSD,20160107,0700,1099.621,1099.938,1096.262,1097.019,3470080
XAUUSD,20160107,0800,1096.992,1097.499,1092.418,1095.439,5949810
XAUUSD,20160107,0900,1095.488,1098.508,1095.108,1096.301,6385780
XAUUSD,20160107,1000,1096.292,1096.489,1095.271,1095.778,3570270
XAUUSD,20160107,1100,1095.729,1099.521,1095.729,1097.918,4509310
XAUUSD,20160107,1200,1097.901,1100.571,1097.718,1100.159,4365560
XAUUSD,20160107,1300,1100.159,1104.758,1100.071,1101.272,6088800
XAUUSD,20160107,1400,1101.271,1106.809,1100.199,1105.752,6236530
XAUUSD,20160107,1500,1105.751,1107.519,1099.331,1102.772,7358330
XAUUSD,20160107,1600,1102.772,1106.448,1102.752,1105.729,4333160
XAUUSD,20160107,1700,1105.709,1108.849,1105.441,1108.742,3931190
XAUUSD,20160107,1800,1108.742,1109.008,1107.079,1108.079,4744820
XAUUSD,20160107,1900,1108.080,1109.830,1107.929,1109.729,3387360
XAUUSD,20160107,2000,1109.819,1110.080,1108.229,1109.139,3140360
XAUUSD,20160107,2100,1109.158,1109.690,1108.409,1108.671,1107820
XAUUSD,20160107,2300,1108.269,1109.639,1108.269,1109.210,1349750
XAUUSD,20160108,0000,1109.199,1112.949,1108.269,1108.360,2267170
XAUUSD,20160108,0100,1108.359,1108.599,1101.669,1103.659,3813680
XAUUSD,20160108,0200,1103.659,1104.768,1101.292,1104.518,4465400
XAUUSD,20160108,0300,1104.518,1104.518,1102.418,1103.368,3016290
XAUUSD,20160108,0400,1103.399,1103.519,1102.849,1102.852,1519390
XAUUSD,20160108,0500,1102.852,1103.479,1102.149,1103.278,2765670
XAUUSD,20160108,0600,1103.378,1104.049,1101.729,1102.122,3060010
XAUUSD,20160108,0700,1102.122,1102.122,1098.478,1100.969,5168300
XAUUSD,20160108,0800,1100.970,1101.478,1099.098,1099.198,3974710
XAUUSD,20160108,0900,1099.198,1099.350,1095.859,1096.078,3982000
XAUUSD,20160108,1000,1096.059,1098.198,1095.982,1097.749,2996970
XAUUSD,20160108,1100,1097.750,1099.992,1096.598,1099.291,3273040
XAUUSD,20160108,1200,1099.292,1101.589,1098.590,1099.509,4872500
XAUUSD,20160108,1300,1099.548,1101.991,1092.229,1099.269,9092330
XAUUSD,20160108,1400,1099.218,1104.579,1098.829,1101.131,7201620
XAUUSD,20160108,1500,1101.171,1104.660,1101.079,1102.978,7597130
XAUUSD,20160108,1600,1102.978,1105.551,1101.938,1103.130,5379630
XAUUSD,20160108,1700,1103.129,1103.520,1100.358,1100.609,3640280
XAUUSD,20160108,1800,1100.609,1100.610,1097.829,1098.272,5121590
XAUUSD,20160108,1900,1098.272,1102.790,1098.109,1102.440,2720370
XAUUSD,20160108,2000,1102.439,1104.240,1101.889,1104.000,2140390
XAUUSD,20160108,2100,1104.029,1104.589,1102.690,1104.031,967750
XAUUSD,20160110,2300,1103.751,1108.151,1103.531,1106.622,596380
XAUUSD,20160111,0000,1106.622,1108.401,1106.071,1106.592,1071220
XAUUSD,20160111,0100,1106.581,1108.132,1104.682,1105.392,2165500
XAUUSD,20160111,0200,1105.392,1105.559,1103.388,1104.688,1390380
XAUUSD,20160111,0300,1104.668,1105.449,1103.538,1103.948,1599710
XAUUSD,20160111,0400,1103.909,1104.479,1102.598,1103.908,1085890
XAUUSD,20160111,0500,1103.908,1105.268,1103.148,1104.991,2082130
XAUUSD,20160111,0600,1104.982,1107.759,1104.881,1106.812,1786980
XAUUSD,20160111,0700,1106.828,1107.272,1104.161,1106.079,3628710
XAUUSD,20160111,0800,1106.129,1106.228,1100.049,1100.171,6067850
XAUUSD,20160111,0900,1100.171,1101.809,1098.969,1099.488,4433670
XAUUSD,20160111,1000,1099.488,1104.619,1099.431,1103.939,4428440
XAUUSD,20160111,1100,1103.988,1103.988,1102.311,1102.811,3383500
XAUUSD,20160111,1200,1102.839,1104.998,1102.729,1103.342,4753120
XAUUSD,20160111,1300,1103.341,1105.669,1099.148,1100.889,7713620
XAUUSD,20160111,1400,1100.889,1103.342,1100.338,1101.430,6381640
XAUUSD,20160111,1500,1101.429,1101.699,1096.258,1099.418,7161980
XAUUSD,20160111,1600,1099.418,1101.629,1097.388,1098.248,6977960
XAUUSD,20160111,1700,1098.248,1099.859,1098.019,1099.129,4821200
XAUUSD,20160111,1800,1099.178,1099.178,1095.938,1096.639,6502780
XAUUSD,20160111,1900,1096.648,1096.819,1094.229,1096.229,4458600
XAUUSD,20160111,2000,1096.229,1096.820,1094.409,1094.939,5039210
XAUUSD,20160111,2100,1094.870,1095.659,1093.559,1093.881,1812060
XAUUSD,20160111,2300,1093.439,1096.119,1093.439,1095.690,1728320
XAUUSD,20160112,0000,1095.699,1097.030,1094.729,1094.899,2613490
XAUUSD,20160112,0100,1094.899,1095.779,1093.020,1095.258,4148870
XAUUSD,20160112,0200,1095.209,1096.549,1094.989,1095.529,2816040
XAUUSD,20160112,0300,1095.529,1097.309,1094.899,1096.911,1611530
XAUUSD,20160112,0400,1096.889,1098.049,1096.281,1097.791,1155730
XAUUSD,20160112,0500,1097.791,1097.791,1095.202,1095.789,2098390
XAUUSD,20160112,0600,1095.768,1096.288,1093.939,1094.312,2294800
XAUUSD,20160112,0700,1094.309,1095.768,1094.019,1094.811,2920380
XAUUSD,20160112,0800,1094.811,1099.192,1094.738,1096.189,3410520
XAUUSD,20160112,0900,1096.238,1096.698,1094.379,1094.829,2716960
XAUUSD,20160112,1000,1094.778,1095.448,1090.181,1091.682,4661480
XAUUSD,20160112,1100,1091.682,1093.201,1090.838,1090.932,3580850
XAUUSD,20160112,1200,1090.981,1092.529,1086.008,1087.128,4883490
XAUUSD,20160112,1300,1087.161,1089.309,1085.378,1088.408,7708790
XAUUSD,20160112,1400,1088.369,1089.878,1083.449,1085.312,7475350
XAUUSD,20160112,1500,1085.312,1089.229,1084.529,1088.308,6775620
XAUUSD,20160112,1600,1088.230,1089.522,1086.069,1086.158,5591590
XAUUSD,20160112,1700,1086.179,1086.878,1084.798,1086.280,5401220
XAUUSD,20160112,1800,1086.280,1086.989,1084.989,1086.879,5908460
XAUUSD,20160112,1900,1086.929,1093.200,1086.839,1089.750,5893610
XAUUSD,20160112,2000,1089.759,1091.309,1089.121,1089.429,4179430
XAUUSD,20160112,2100,1089.560,1090.051,1085.941,1086.091,1351070
XAUUSD,20160112,2300,1086.689,1087.941,1086.422,1086.459,1615950
XAUUSD,20160113,0000,1086.448,1087.110,1084.891,1085.992,3442490
XAUUSD,20160113,0100,1085.992,1087.682,1084.411,1085.461,3811810
XAUUSD,20160113,0200,1085.462,1085.938,1082.909,1084.409,3799000
XAUUSD,20160113,0300,1084.409,1085.151,1083.288,1083.708,2009180
XAUUSD,20160113,0400,1083.730,1084.399,1083.049,1083.301,1916740
XAUUSD,20160113,0500,1083.301,1085.188,1082.999,1085.129,3087200
XAUUSD,20160113,0600,1085.129,1085.668,1084.438,1085.168,3072030
XAUUSD,20160113,0700,1085.159,1085.159,1081.159,1082.248,4046650
XAUUSD,20160113,0800,1082.259,1082.817,1079.760,1082.218,4106860
XAUUSD,20160113,0900,1082.251,1083.138,1080.082,1081.229,2872900
XAUUSD,20160113,1000,1081.229,1082.750,1080.859,1082.140,2171110
XAUUSD,20160113,1100,1082.131,1083.548,1081.758,1082.699,2459220
XAUUSD,20160113,1200,1082.699,1083.448,1080.469,1082.678,4162050
XAUUSD,20160113,1300,1082.678,1082.908,1080.479,1081.608,5729840
XAUUSD,20160113,1400,1081.639,1089.459,1081.108,1088.108,6753320
XAUUSD,20160113,1500,1088.148,1091.298,1085.929,1088.801,6874360
XAUUSD,20160113,1600,1088.791,1091.859,1088.012,1091.678,5354580
