symbol,adx_min,min_bars,trail,sl_buf,trades,win_pct,pf,ret_pct,max_dd_pct,exp
AUDJPY,0.0,4,2.5,0.1,51,35.29,1.87,4.84,-2.27,94.8889
AUDJPY,0.0,4,2.5,0.2,51,35.29,1.86,4.74,-2.24,93.0176
AUDJPY,0.0,6,2.5,0.1,49,34.69,1.90,4.71,-2.14,96.0618
AUDJPY,0.0,6,2.5,0.2,49,34.69,1.90,4.61,-2.12,94.0872
AUDJPY,0.0,4,2.5,0.4,51,35.29,1.85,4.57,-2.18,89.5141
AUDJPY,0.0,6,2.5,0.4,49,34.69,1.88,4.43,-2.07,90.3967
AUDJPY,0.0,5,2.5,0.1,50,34.00,1.75,4.22,-2.60,84.4469
AUDJPY,0.0,5,2.5,0.2,50,34.00,1.74,4.14,-2.56,82.7149
AUDJPY,0.0,5,2.5,0.4,50,34.00,1.73,3.97,-2.50,79.4797
AUDJPY,0.0,3,2.5,0.1,58,34.48,1.53,3.70,-3.08,63.7933
AUDJPY,0.0,3,2.5,0.2,58,34.48,1.53,3.63,-3.03,62.6177
AUDJPY,0.0,3,2.5,0.4,58,34.48,1.53,3.50,-2.94,60.4083
AUDJPY,18.0,3,2.5,0.1,40,35.00,1.80,3.09,-2.17,77.1925
AUDJPY,18.0,4,2.5,0.1,36,36.11,1.82,3.02,-2.24,83.8650
AUDJPY,18.0,3,2.5,0.2,40,35.00,1.79,3.01,-2.15,75.2965
AUDJPY,18.0,4,2.5,0.2,36,36.11,1.81,2.95,-2.21,81.8747
AUDJPY,22.0,3,2.5,0.1,25,40.00,2.52,2.91,-1.51,116.4424
AUDJPY,18.0,3,2.5,0.4,40,35.00,1.77,2.87,-2.10,71.7843
AUDJPY,22.0,3,2.5,0.2,25,40.00,2.51,2.84,-1.49,113.7325
AUDJPY,0.0,4,3.0,0.1,51,35.29,1.45,2.82,-3.28,55.3101
AUDJPY,18.0,4,2.5,0.4,36,36.11,1.79,2.81,-2.15,78.1852
AUDJPY,22.0,4,2.5,0.1,22,40.91,2.58,2.81,-1.51,127.6077
AUDJPY,0.0,4,2.0,0.1,51,37.25,1.54,2.78,-2.64,54.4669
AUDJPY,0.0,4,3.0,0.2,51,35.29,1.45,2.76,-3.24,54.0205
AUDJPY,22.0,3,3.0,0.1,25,44.00,2.39,2.75,-1.73,109.9068
AUDJPY,22.0,4,2.5,0.2,22,40.91,2.57,2.74,-1.49,124.7280
AUDJPY,0.0,4,2.0,0.2,51,37.25,1.54,2.73,-2.60,53.4593
AUDJPY,22.0,3,2.5,0.4,25,40.00,2.48,2.72,-1.44,108.7217
AUDJPY,22.0,3,3.0,0.2,25,44.00,2.38,2.69,-1.70,107.4884
AUDJPY,0.0,4,3.0,0.4,51,35.29,1.44,2.63,-3.16,51.6200
AUDJPY,0.0,4,2.0,0.4,51,37.25,1.53,2.63,-2.54,51.5600
AUDJPY,22.0,4,2.5,0.4,22,40.91,2.54,2.63,-1.44,119.4007
AUDJPY,22.0,3,3.0,0.4,25,44.00,2.36,2.58,-1.65,103.0039
AUDJPY,0.0,6,3.0,0.1,49,34.69,1.42,2.57,-3.52,52.4018
AUDJPY,0.0,6,2.0,0.1,49,36.73,1.53,2.55,-2.86,51.9625
AUDJPY,20.0,3,2.5,0.1,30,40.00,1.88,2.51,-1.86,83.5002
AUDJPY,0.0,6,3.0,0.2,49,34.69,1.42,2.50,-3.48,51.0728
AUDJPY,0.0,6,2.0,0.2,49,36.73,1.52,2.50,-2.82,50.9384
AUDJPY,20.0,3,2.5,0.2,30,40.00,1.87,2.44,-1.84,81.3802
AUDJPY,20.0,4,2.5,0.1,27,40.74,1.88,2.40,-1.96,88.9528
AUDJPY,0.0,6,2.0,0.4,49,36.73,1.52,2.40,-2.75,49.0141
