symbol,adx_min,min_bars,trail,sl_buf,trades,win_pct,pf,ret_pct,max_dd_pct,exp
SPX500,18.0,5,3.0,0.1,15,66.67,3.01,1.39,-0.70,92.8774
SPX500,18.0,5,3.0,0.2,15,66.67,3.00,1.38,-0.69,91.7439
SPX500,18.0,5,3.0,0.4,15,66.67,2.99,1.34,-0.67,89.5891
SPX500,20.0,3,2.0,0.1,18,50.00,2.11,1.29,-0.53,71.7927
SPX500,18.0,5,2.0,0.1,15,53.33,3.70,1.29,-0.37,86.1509
SPX500,18.0,5,2.0,0.2,15,53.33,3.68,1.27,-0.37,84.8567
SPX500,20.0,3,2.0,0.2,18,50.00,2.11,1.27,-0.53,70.5369
SPX500,18.0,5,2.0,0.4,15,53.33,3.64,1.24,-0.36,82.3968
SPX500,20.0,3,2.0,0.4,18,50.00,2.10,1.23,-0.51,68.1617
SPX500,18.0,5,2.5,0.1,15,60.00,2.62,1.04,-0.60,69.6455
SPX500,18.0,5,2.5,0.2,15,60.00,2.61,1.03,-0.58,68.6969
SPX500,18.0,3,2.0,0.1,24,41.67,1.67,1.02,-0.64,42.4989
SPX500,18.0,5,2.5,0.4,15,60.00,2.59,1.00,-0.56,66.8870
SPX500,18.0,3,2.0,0.2,24,41.67,1.66,1.00,-0.63,41.6980
SPX500,18.0,3,2.0,0.4,24,41.67,1.65,0.96,-0.61,40.1887
SPX500,0.0,5,3.0,0.1,26,50.00,1.41,0.88,-0.98,33.9410
SPX500,0.0,5,3.0,0.2,26,50.00,1.41,0.87,-0.97,33.4377
SPX500,0.0,5,3.0,0.4,26,50.00,1.40,0.84,-0.96,32.4879
SPX500,0.0,5,2.0,0.1,26,38.46,1.47,0.82,-0.86,31.5392
SPX500,20.0,3,2.5,0.1,18,55.56,1.55,0.81,-0.96,45.0366
SPX500,0.0,5,2.0,0.2,26,38.46,1.46,0.80,-0.85,30.9036
SPX500,20.0,3,2.5,0.2,18,55.56,1.55,0.80,-0.94,44.3176
SPX500,20.0,3,2.5,0.4,18,55.56,1.54,0.77,-0.90,42.9544
SPX500,0.0,5,2.0,0.4,26,38.46,1.45,0.77,-0.84,29.7021
SPX500,0.0,6,2.0,0.1,24,37.50,1.50,0.77,-0.66,32.0241
SPX500,0.0,6,2.0,0.2,24,37.50,1.49,0.76,-0.65,31.5498
SPX500,0.0,6,2.0,0.4,24,37.50,1.49,0.74,-0.64,30.6386
SPX500,20.0,3,3.0,0.1,18,55.56,1.40,0.71,-0.99,39.4598
SPX500,20.0,3,3.0,0.2,18,55.56,1.40,0.70,-0.97,38.9133
SPX500,20.0,3,3.0,0.4,18,55.56,1.40,0.68,-0.92,37.8856
SPX500,20.0,4,2.0,0.1,16,50.00,1.65,0.68,-0.53,42.5809
SPX500,20.0,4,2.0,0.2,16,50.00,1.65,0.67,-0.53,41.9883
SPX500,20.0,4,2.0,0.4,16,50.00,1.65,0.65,-0.51,40.8600
SPX500,18.0,4,2.0,0.1,19,47.37,1.50,0.61,-0.58,32.0345
SPX500,18.0,4,2.0,0.2,19,47.37,1.50,0.60,-0.57,31.6060
SPX500,18.0,4,2.0,0.4,19,47.37,1.50,0.59,-0.55,30.7914
SPX500,18.0,3,2.5,0.1,24,50.00,1.27,0.56,-1.23,23.1370
SPX500,18.0,5,1.5,0.1,15,60.00,2.52,0.55,-0.33,36.4283
SPX500,18.0,3,2.5,0.2,24,50.00,1.27,0.55,-1.21,22.7457
SPX500,18.0,5,1.5,0.2,15,60.00,2.51,0.54,-0.33,35.7843
SPX500,18.0,3,2.5,0.4,24,50.00,1.27,0.53,-1.16,22.0086
SPX500,18.0,5,1.5,0.4,15,60.00,2.49,0.52,-0.32,34.5850
SPX500,0.0,6,2.5,0.1,24,41.67,1.25,0.48,-0.96,19.8737
SPX500,0.0,6,2.5,0.2,24,41.67,1.25,0.47,-0.95,19.5723
SPX500,0.0,6,2.5,0.4,24,41.67,1.24,0.46,-0.94,18.9935
SPX500,18.0,3,3.0,0.1,24,54.17,1.18,0.45,-1.23,18.6148
SPX500,18.0,3,3.0,0.2,24,54.17,1.18,0.44,-1.20,18.3803
SPX500,18.0,3,3.0,0.4,24,54.17,1.18,0.43,-1.15,17.9467
SPX500,0.0,5,2.5,0.1,26,42.31,1.18,0.39,-1.20,14.8851
SPX500,0.0,5,2.5,0.2,26,42.31,1.18,0.38,-1.19,14.5244
SPX500,0.0,6,3.0,0.1,24,45.83,1.17,0.37,-1.06,15.4849
SPX500,0.0,6,3.0,0.2,24,45.83,1.17,0.37,-1.05,15.3220
SPX500,0.0,6,3.0,0.4,24,45.83,1.17,0.36,-1.04,15.0082
SPX500,0.0,5,2.5,0.4,26,42.31,1.17,0.36,-1.17,13.8446
SPX500,20.0,4,3.0,0.1,16,56.25,1.22,0.36,-0.99,22.1907
SPX500,20.0,4,3.0,0.2,16,56.25,1.23,0.35,-0.97,22.1365
SPX500,20.0,4,3.0,0.4,16,56.25,1.23,0.35,-0.92,22.0319
SPX500,20.0,4,2.5,0.1,16,56.25,1.25,0.33,-0.96,20.5445
SPX500,20.0,4,2.5,0.2,16,56.25,1.25,0.33,-0.94,20.4231
SPX500,20.0,4,2.5,0.4,16,56.25,1.25,0.32,-0.90,20.1820
SPX500,0.0,3,2.0,0.1,35,34.29,1.09,0.28,-1.59,8.1091
SPX500,18.0,4,3.0,0.4,19,57.89,1.16,0.28,-1.15,14.6630
SPX500,18.0,4,3.0,0.2,19,57.89,1.15,0.28,-1.20,14.5446
SPX500,18.0,4,3.0,0.1,19,57.89,1.15,0.28,-1.23,14.4823
SPX500,0.0,3,2.0,0.2,35,34.29,1.09,0.28,-1.57,7.8579
SPX500,0.0,3,2.0,0.4,35,34.29,1.09,0.26,-1.53,7.3891
SPX500,18.0,4,2.5,0.4,19,52.63,1.10,0.15,-1.16,7.7697
SPX500,18.0,4,2.5,0.2,19,52.63,1.09,0.15,-1.21,7.7321
SPX500,18.0,4,2.5,0.1,19,52.63,1.09,0.15,-1.23,7.7096
SPX500,18.0,4,1.5,0.1,19,52.63,1.05,0.04,-0.46,2.3374
SPX500,18.0,4,1.5,0.2,19,52.63,1.05,0.04,-0.46,2.2505
SPX500,18.0,4,1.5,0.4,19,52.63,1.05,0.04,-0.44,2.1057
SPX500,20.0,4,1.5,0.1,16,50.00,0.99,-0.00,-0.46,-0.2800
SPX500,20.0,4,1.5,0.2,16,50.00,0.99,-0.01,-0.46,-0.3975
SPX500,20.0,4,1.5,0.4,16,50.00,0.99,-0.01,-0.44,-0.5955
SPX500,20.0,3,1.5,0.1,18,50.00,0.94,-0.05,-0.46,-2.7807
SPX500,20.0,3,1.5,0.2,18,50.00,0.94,-0.05,-0.46,-2.8757
SPX500,20.0,3,1.5,0.4,18,50.00,0.93,-0.05,-0.44,-3.0319
SPX500,0.0,4,2.0,0.4,30,36.67,0.96,-0.12,-1.30,-3.9407
SPX500,0.0,4,2.0,0.2,30,36.67,0.95,-0.12,-1.33,-4.0778
SPX500,0.0,4,2.0,0.1,30,36.67,0.95,-0.12,-1.34,-4.1501
SPX500,18.0,3,1.5,0.4,24,50.00,0.83,-0.18,-0.62,-7.5696
SPX500,18.0,3,1.5,0.2,24,50.00,0.84,-0.18,-0.64,-7.6084
SPX500,18.0,3,1.5,0.1,24,50.00,0.84,-0.18,-0.65,-7.6179
SPX500,0.0,3,3.0,0.4,35,45.71,0.94,-0.22,-1.79,-6.3290
SPX500,0.0,3,3.0,0.2,35,45.71,0.94,-0.23,-1.84,-6.6086
SPX500,0.0,3,3.0,0.1,35,45.71,0.94,-0.24,-1.87,-6.7519
SPX500,0.0,3,2.5,0.4,35,40.00,0.91,-0.31,-1.97,-8.9106
