variant,symbol,files,bars,trades,win_pct,pf,ret_pct,max_dd_pct,expectancy,final_equity
baseline_default,AUDJPY_H1,15,79554,51,35.29,0.48,-3.86,-4.05,-75.7797,96135.23
baseline_default,USDJPY_H1,13,75964,77,49.35,3.53,14.57,-1.41,189.2014,114568.51
baseline_default,EURJPY_H1,11,66552,54,38.89,0.79,-0.93,-2.10,-17.1413,99074.37
baseline_default,GBPJPY_H1,11,66543,44,54.55,3.51,2.78,-0.58,63.2586,102783.38
baseline_default,CHFJPY_H1,13,76986,41,53.66,3.45,5.55,-1.26,135.3047,105547.49
baseline_default,XAUUSD_H1,14,73418,51,45.10,1.00,-0.01,-2.96,-0.2344,99988.04
baseline_default,SILVER_H1,1,2274,0,0.00,0.00,0.00,0.00,0.0000,100000.00
baseline_default,NAS100_H1,13,67397,24,45.83,1.45,0.93,-1.56,38.8875,100933.30
baseline_default,SPX500_H1,13,68999,24,41.67,1.96,2.53,-1.43,105.5754,102533.81
long_only,AUDJPY_H1,15,79554,35,22.86,0.35,-4.40,-4.42,-125.6402,95602.59
long_only,USDJPY_H1,13,75964,48,54.17,4.94,12.39,-1.31,258.1111,112389.33
long_only,EURJPY_H1,11,66552,15,6.67,0.08,-1.57,-1.60,-104.8512,98427.23
long_only,GBPJPY_H1,11,66543,37,54.05,3.52,2.63,-0.58,71.1093,102631.04
long_only,CHFJPY_H1,13,76986,28,60.71,5.55,5.79,-0.85,206.8312,105791.27
long_only,XAUUSD_H1,14,73418,17,52.94,1.38,0.28,-1.02,16.4601,100279.82
long_only,SILVER_H1,1,2274,0,0.00,0.00,0.00,0.00,0.0000,100000.00
long_only,NAS100_H1,13,67397,24,45.83,1.45,0.93,-1.56,38.8875,100933.30
long_only,SPX500_H1,13,68999,22,45.45,2.64,3.24,-1.30,147.3385,103241.45
short_only,AUDJPY_H1,15,79554,16,62.50,1.95,0.56,-0.49,34.8214,100557.14
short_only,USDJPY_H1,13,75964,29,41.38,1.80,1.94,-1.18,66.8604,101938.95
short_only,EURJPY_H1,11,66552,39,51.28,1.24,0.66,-0.73,16.8585,100657.48
short_only,GBPJPY_H1,11,66543,7,57.14,3.28,0.15,-0.18,21.2045,100148.43
short_only,CHFJPY_H1,13,76986,13,38.46,0.76,-0.23,-0.91,-17.7257,99769.57
short_only,XAUUSD_H1,14,73418,34,41.18,0.91,-0.29,-2.30,-8.5577,99709.04
short_only,SILVER_H1,1,2274,0,0.00,0.00,0.00,0.00,0.0000,100000.00
short_only,NAS100_H1,13,67397,0,0.00,0.00,0.00,0.00,0.0000,100000.00
short_only,SPX500_H1,13,68999,2,0.00,0.00,-0.69,-0.69,-342.7091,99314.58
tp_fib618,AUDJPY_H1,15,79554,51,23.53,0.11,-8.45,-8.48,-165.7812,91545.16
tp_fib618,USDJPY_H1,13,75964,77,50.65,0.75,-2.10,-2.75,-27.2131,97904.59
tp_fib618,EURJPY_H1,11,66552,54,42.59,0.62,-2.23,-3.46,-41.3862,97765.14
tp_fib618,GBPJPY_H1,11,66543,44,20.45,0.83,-0.38,-0.97,-8.6752,99618.29
tp_fib618,CHFJPY_H1,13,76986,41,17.07,0.09,-9.05,-9.05,-220.6826,90952.01
tp_fib618,XAUUSD_H1,14,73418,51,41.18,0.68,-2.02,-3.74,-39.5641,97982.23
tp_fib618,SILVER_H1,1,2274,0,0.00,0.00,0.00,0.00,0.0000,100000.00
tp_fib618,NAS100_H1,13,67397,24,37.50,0.47,-2.17,-3.09,-90.4208,97829.90
tp_fib618,SPX500_H1,13,68999,24,50.00,0.53,-1.80,-2.20,-75.0162,98199.61
tp_fib1618,AUDJPY_H1,15,79554,51,21.57,0.42,-5.87,-6.83,-115.1623,94126.72
tp_fib1618,USDJPY_H1,13,75964,77,54.55,1.97,9.52,-1.49,123.6216,109518.86
tp_fib1618,EURJPY_H1,11,66552,54,27.78,1.30,2.18,-3.21,40.2876,102175.53
tp_fib1618,GBPJPY_H1,11,66543,44,22.73,0.27,-2.49,-2.49,-56.5081,97513.65
tp_fib1618,CHFJPY_H1,13,76986,41,21.95,0.78,-1.19,-3.19,-29.0080,98810.67
tp_fib1618,XAUUSD_H1,14,73418,51,7.84,0.09,-15.67,-15.89,-307.1819,84333.72
tp_fib1618,SILVER_H1,1,2274,0,0.00,0.00,0.00,0.00,0.0000,100000.00
tp_fib1618,NAS100_H1,13,67397,24,20.83,0.39,-2.70,-3.83,-112.5467,97298.88
tp_fib1618,SPX500_H1,13,68999,24,25.00,0.86,-0.82,-2.75,-34.0619,99182.51
tp_trail,AUDJPY_H1,15,79554,51,35.29,0.48,-3.86,-4.05,-75.7797,96135.23
tp_trail,USDJPY_H1,13,75964,77,49.35,3.53,14.57,-1.41,189.2014,114568.51
tp_trail,EURJPY_H1,11,66552,54,38.89,0.79,-0.93,-2.10,-17.1413,99074.37
tp_trail,GBPJPY_H1,11,66543,44,54.55,3.51,2.78,-0.58,63.2586,102783.38
tp_trail,CHFJPY_H1,13,76986,41,53.66,3.45,5.55,-1.26,135.3047,105547.49
tp_trail,XAUUSD_H1,14,73418,51,45.10,1.00,-0.01,-2.96,-0.2344,99988.04
tp_trail,SILVER_H1,1,2274,0,0.00,0.00,0.00,0.00,0.0000,100000.00
tp_trail,NAS100_H1,13,67397,24,45.83,1.45,0.93,-1.56,38.8875,100933.30
tp_trail,SPX500_H1,13,68999,24,41.67,1.96,2.53,-1.43,105.5754,102533.81
