variant,symbol,bars,trades,win_pct,pf,ret_pct,max_dd_pct,expectancy
v2_default,AUDJPY,79554,58,34.48,1.25,1.55,-3.72,26.6771
v2_default,USDJPY,75964,40,35.00,1.06,0.21,-1.70,5.2667
v2_default,EURJPY,66552,36,30.56,0.73,-0.86,-1.32,-23.8995
v2_default,GBPJPY,66543,39,41.03,0.73,-0.83,-1.71,-21.2686
v2_default,CHFJPY,76986,43,27.91,1.04,0.18,-2.74,4.2352
v2_default,XAUUSD,73418,44,31.82,0.60,-2.04,-2.39,-46.3105
v2_default,NAS100,67397,26,30.77,0.84,-0.34,-1.43,-13.0190
v2_default,SPX500,68999,35,34.29,1.09,0.28,-1.57,7.8579
v2_min5,AUDJPY,79554,50,36.00,1.42,2.13,-3.17,42.6692
v2_min5,USDJPY,75964,38,31.58,0.65,-1.14,-1.68,-30.1039
v2_min5,EURJPY,66552,34,35.29,1.10,0.27,-0.93,7.9932
v2_min5,GBPJPY,66543,33,42.42,0.80,-0.54,-1.60,-16.3628
v2_min5,CHFJPY,76986,38,34.21,1.36,1.22,-1.78,32.0115
v2_min5,XAUUSD,73418,39,38.46,0.94,-0.23,-1.54,-6.0052
v2_min5,NAS100,67397,25,28.00,0.71,-0.69,-1.83,-27.7838
v2_min5,SPX500,68999,26,38.46,1.46,0.80,-0.85,30.9036
v2_adx20,AUDJPY,79554,30,43.33,1.43,1.16,-1.77,38.8202
v2_adx20,USDJPY,75964,20,40.00,1.52,0.96,-1.20,47.9763
v2_adx20,EURJPY,66552,20,30.00,0.78,-0.39,-1.33,-19.5237
v2_adx20,GBPJPY,66543,20,45.00,0.93,-0.12,-1.19,-5.7638
v2_adx20,CHFJPY,76986,20,25.00,1.67,1.26,-1.25,62.8370
v2_adx20,XAUUSD,73418,26,26.92,0.33,-2.48,-2.94,-95.2122
v2_adx20,NAS100,67397,17,29.41,0.80,-0.33,-1.21,-19.6826
v2_adx20,SPX500,68999,18,50.00,2.11,1.27,-0.53,70.5369
v2_adx25,AUDJPY,79554,16,37.50,1.24,0.34,-0.95,21.3636
v2_adx25,USDJPY,75964,15,46.67,2.21,1.52,-1.22,101.6097
v2_adx25,EURJPY,66552,8,25.00,0.59,-0.36,-0.99,-44.6851
v2_adx25,GBPJPY,66543,6,33.33,0.43,-0.53,-0.63,-88.2725
v2_adx25,CHFJPY,76986,10,30.00,3.65,1.75,-1.10,175.3861
v2_adx25,XAUUSD,73418,16,37.50,0.44,-1.12,-1.59,-69.7208
v2_adx25,NAS100,67397,12,25.00,0.11,-1.10,-1.21,-91.5890
v2_adx25,SPX500,68999,8,50.00,1.42,0.28,-0.75,35.4377
v2_session,AUDJPY,79554,35,31.43,1.19,0.69,-2.20,19.8086
v2_session,USDJPY,75964,20,30.00,1.05,0.09,-1.15,4.4046
v2_session,EURJPY,66552,21,28.57,0.85,-0.26,-1.10,-12.3464
v2_session,GBPJPY,66543,25,40.00,0.80,-0.41,-1.53,-16.5954
v2_session,CHFJPY,76986,23,30.43,0.90,-0.21,-1.48,-9.1005
v2_session,XAUUSD,73418,29,34.48,0.62,-1.30,-2.05,-44.7169
v2_session,NAS100,67397,16,18.75,0.33,-1.02,-1.44,-63.6649
v2_session,SPX500,68999,25,40.00,1.54,1.05,-0.90,42.0819
v2_strength,AUDJPY,79554,27,29.63,0.61,-1.18,-2.65,-43.7801
v2_strength,USDJPY,75964,18,33.33,0.76,-0.49,-1.46,-26.9468
v2_strength,EURJPY,66552,12,16.67,0.20,-0.88,-1.16,-72.9784
v2_strength,GBPJPY,66543,21,42.86,0.87,-0.18,-1.00,-8.3622
v2_strength,CHFJPY,76986,17,35.29,2.35,1.97,-1.30,116.1685
v2_strength,XAUUSD,73418,5,0.00,0.00,-0.74,-0.78,-147.2838
v2_strength,NAS100,67397,0,0.00,0.00,0.00,0.00,0.0000
v2_strength,SPX500,68999,0,0.00,0.00,0.00,0.00,0.0000
v2_trail3,AUDJPY,79554,58,34.48,1.28,2.12,-3.84,36.5816
v2_trail3,USDJPY,75964,40,35.00,0.97,-0.15,-2.41,-3.8067
v2_trail3,EURJPY,66552,36,38.89,0.57,-1.90,-2.33,-52.9110
v2_trail3,GBPJPY,66543,39,38.46,0.88,-0.47,-2.66,-11.9992
v2_trail3,CHFJPY,76986,43,27.91,0.99,-0.08,-4.30,-1.7640
v2_trail3,XAUUSD,73418,44,31.82,0.86,-0.90,-3.03,-20.4957
v2_trail3,NAS100,67397,26,30.77,0.62,-0.96,-1.71,-36.7649
v2_trail3,SPX500,68999,35,45.71,0.94,-0.23,-1.84,-6.6086
v2_trail1,AUDJPY,79554,58,20.69,0.22,-3.63,-3.68,-62.6284
v2_trail1,USDJPY,75964,40,27.50,0.28,-1.82,-1.86,-45.4807
v2_trail1,EURJPY,66552,36,19.44,0.26,-1.83,-1.83,-50.7003
v2_trail1,GBPJPY,66543,39,30.77,0.35,-1.42,-1.60,-36.4619
v2_trail1,CHFJPY,76986,43,25.58,0.26,-2.08,-2.24,-48.2941
v2_trail1,XAUUSD,73418,44,22.73,0.57,-1.36,-1.73,-30.8980
v2_trail1,NAS100,67397,26,30.77,0.71,-0.44,-1.09,-16.8528
v2_trail1,SPX500,68999,35,37.14,0.36,-1.22,-1.35,-34.8163
v2_long,AUDJPY,79554,28,42.86,1.54,1.56,-1.79,55.5621
v2_long,USDJPY,75964,19,42.11,0.46,-1.22,-1.69,-64.0282
v2_long,EURJPY,66552,18,50.00,1.66,0.69,-0.86,38.3317
v2_long,GBPJPY,66543,17,41.18,0.86,-0.16,-0.82,-9.6462
v2_long,CHFJPY,76986,22,31.82,0.52,-1.06,-1.52,-48.3745
v2_long,XAUUSD,73418,27,29.63,0.39,-2.05,-2.39,-75.9415
v2_long,NAS100,67397,18,27.78,0.58,-0.57,-1.04,-31.9340
v2_long,SPX500,68999,17,29.41,0.49,-0.46,-0.82,-26.8819
v2_no_swing,AUDJPY,79554,65,38.46,1.43,3.07,-3.74,47.2380
v2_no_swing,USDJPY,75964,57,26.32,0.64,-2.08,-2.69,-36.4768
v2_no_swing,EURJPY,66552,45,28.89,0.36,-3.88,-4.28,-86.3308
v2_no_swing,GBPJPY,66543,48,27.08,0.31,-4.05,-4.13,-84.2932
v2_no_swing,CHFJPY,76986,52,32.69,0.60,-2.54,-4.40,-48.8254
v2_no_swing,XAUUSD,73418,56,30.36,0.49,-3.37,-3.50,-60.2619
v2_no_swing,NAS100,67397,34,26.47,0.56,-1.50,-2.05,-44.2564
v2_no_swing,SPX500,68999,46,30.43,1.34,1.36,-2.33,29.5283
v2_adx20_min5,AUDJPY,79554,28,39.29,1.19,0.52,-2.23,18.6227
v2_adx20_min5,USDJPY,75964,19,31.58,0.78,-0.37,-1.17,-19.5814
v2_adx20_min5,EURJPY,66552,20,35.00,1.27,0.43,-0.91,21.3864
v2_adx20_min5,GBPJPY,66543,16,50.00,1.12,0.15,-1.08,9.2456
v2_adx20_min5,CHFJPY,76986,19,31.58,1.97,1.56,-1.21,82.1861
v2_adx20_min5,XAUUSD,73418,20,35.00,0.65,-0.87,-1.44,-43.5935
v2_adx20_min5,NAS100,67397,17,23.53,0.61,-0.80,-1.63,-47.2518
v2_adx20_min5,SPX500,68999,13,53.85,3.62,1.19,-0.38,91.9148
v2_adx20_long,AUDJPY,79554,15,53.33,3.09,1.77,-0.59,118.2207
v2_adx20_long,USDJPY,75964,9,44.44,0.45,-0.60,-1.00,-66.1760
v2_adx20_long,EURJPY,66552,11,45.45,1.28,0.20,-0.73,17.9976
v2_adx20_long,GBPJPY,66543,8,50.00,2.01,0.41,-0.35,51.3008
v2_adx20_long,CHFJPY,76986,12,25.00,0.73,-0.28,-0.81,-23.0810
v2_adx20_long,XAUUSD,73418,13,23.08,0.08,-1.89,-2.28,-145.1806
v2_adx20_long,NAS100,67397,13,23.08,0.28,-0.84,-0.93,-64.3047
v2_adx20_long,SPX500,68999,9,44.44,0.90,-0.04,-0.36,-4.3036
v2_adx18_min4,AUDJPY,79554,36,41.67,1.72,2.34,-1.91,65.0469
v2_adx18_min4,USDJPY,75964,24,29.17,0.90,-0.24,-1.21,-10.0334
v2_adx18_min4,EURJPY,66552,30,36.67,1.16,0.39,-1.32,13.1171
v2_adx18_min4,GBPJPY,66543,23,43.48,0.76,-0.46,-1.35,-20.0597
v2_adx18_min4,CHFJPY,76986,27,37.04,1.80,2.01,-1.71,74.4997
v2_adx18_min4,XAUUSD,73418,27,29.63,0.59,-1.44,-2.51,-53.4745
v2_adx18_min4,NAS100,67397,24,33.33,0.79,-0.48,-1.77,-20.1952
v2_adx18_min4,SPX500,68999,19,47.37,1.50,0.60,-0.57,31.6060
v2_adx22_min4,AUDJPY,79554,22,45.45,1.92,1.51,-1.04,68.8021
v2_adx22_min4,USDJPY,75964,17,35.29,1.33,0.55,-1.22,32.6083
v2_adx22_min4,EURJPY,66552,17,35.29,1.43,0.57,-1.11,33.3504
v2_adx22_min4,GBPJPY,66543,12,50.00,0.87,-0.15,-0.92,-12.5671
v2_adx22_min4,CHFJPY,76986,14,28.57,2.09,1.39,-1.27,99.4855
v2_adx22_min4,XAUUSD,73418,20,30.00,0.40,-1.68,-2.09,-83.9748
v2_adx22_min4,NAS100,67397,16,25.00,0.60,-0.74,-1.61,-46.2695
v2_adx22_min4,SPX500,68999,9,44.44,0.37,-0.53,-0.84,-58.7311
v2_adx20_session,AUDJPY,79554,17,41.18,1.63,1.00,-1.24,58.6653
v2_adx20_session,USDJPY,75964,13,38.46,1.75,0.70,-0.75,54.2048
v2_adx20_session,EURJPY,66552,14,28.57,0.78,-0.29,-0.96,-20.8572
v2_adx20_session,GBPJPY,66543,13,46.15,0.91,-0.09,-1.01,-7.1971
v2_adx20_session,CHFJPY,76986,12,25.00,0.86,-0.13,-0.74,-10.7856
v2_adx20_session,XAUUSD,73418,16,37.50,0.57,-0.92,-1.73,-57.3663
v2_adx20_session,NAS100,67397,10,10.00,0.04,-1.15,-1.15,-114.6111
v2_adx20_session,SPX500,68999,13,53.85,2.68,1.33,-0.53,101.9320
v2_adx20_strength,AUDJPY,79554,16,43.75,1.50,0.62,-1.10,38.5169
